---
Bogennummer: 27913
Ort: Neuhof
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: Kathrin Wollenschläger
Anmerkungen: ''
...
WS01	Em Wenter flege de trockene Bläer duech de Luft erem.
WS02	Es heiert gliech uf z'ſchneie nocht wierd's Wäer wiere bäſſer.
WS03	Do Koll in der Owe, daß de Melich ball o z'koche fängt.
WS04	Dr got ol Mān es mirem Gull dorchs Is g'broche o is kahl Waſſer g'falle.
WS05	Hä es für vier äwer ſächs Woche g'ſtorbe.
WS06	Des Feier wor z'heiß, de Koche ſen önge ganz ſchworz g'brānt.
WS07	Hä eßt de Eier immer ohne Sālz o Päffer.
WS08	De Föß tommer himmel weh, ich glei ich honſe dorch g'laufe.
WS09	Ich ſen bei d'r Frau g'weſt o hon ſer g'ſaat, o ſe wells jerer Dortter ſoa.
WS10	Ich wells net me wiere do.
WS11	Ieg ſchloan dieg gleich mirem Kochläffel henger de Orn du Aff.
WS12	Bo gehſt du hie, ſommer mit dr geh?
WS13	S'en ſchlächte Ziere!
WS14	Mie leb Keind blie he he onne ſtenn, de böſſe Gäns biſſe dieg todt.
WS15	Du hoſt hütt om meiſte gelent, o wiſt oartig geweſt, du defſt fröher hei geh be de annen.
WS16	Du wiſt noch net groß genunk äm e Flaſch Wie uszetrenke du moßt erſcht noch e Eng woas o größer wär.
WS17	Geh ſei ſo got o ſoa dinner Schwäſter, ſe ſoll de Kleier für de Motter fätig näh o mier Börſcht rei mach.
WS18	Häſt du'en gekānt da wärſch aneſcht komme o es dät aneſcht ömmen ſteim.
WS19	Bär hot mer min Kuerb mit Fleiſch geſtohle?
WS20	Hä tät ſo als häre ſen zom dräſche beſtält; ſe hons ewer ſelweſcht geto.
WS21	Bem hote de neu Geſchicht derzahlt.
WS22	Mer moß lut ſchwatz ſönſt verſtete ons nät.
WS23	Mir ſen möd o hon Dorſcht.
WS24	Bemer geſſer Aweds zeröck kome, da lage de Annen ſcho im Bett o woarn feſt om ſchlaffe.
WS25	Der Schnee es de Noat bei ons len blewe, ewer hütt Morn geſchmolz.
WS26	Henger onſem Hus ſtenn drei ſchönne Äpelbaimere mit rore Äpelere.
WS27	Konnter net noch en Augenblieck of ons gewoart do gemer mir euch.
WS28	Ihr deft nät ſo'e Kengerei trie.
WS29	Onſe Bärg ſen nät ſähr hoch, der eiere ſen vill höcher.
WS30	Befill Pont Worſcht o befill Brot wollter ho.
WS31	Ieg verſtenn euch net dir moßt ewenk lütter ſchwatz.
WS32	Hotter kei Stöckele wiß Seife für mieg uf mim Tüſch gefonge.
WS33	Sin Broer well ſieg zwo ſchönne neie Hüſer ie eien Goarte bau.
WS34	Das Wuert komem vom Häz.
WS35	Das war rächt vo inne.
WS36	Bas ſetze da für Vögelere dowe of dan Mänere.
WS37	De Bauer häre fönef Orſe o nü Schäffere o zwölef Köh fürſch Duerf broat, de wollte ſe verkaif.
WS38	De Lüt ſen hüt all uf'm Fäld o mäwe.
WS39	Geh nur d'r bru Haund dotter nüſcht.
WS40	Ieg ſen mieren Lüt da henge üwer de Wieſe ies Korn g'foarn.
