---
Bogennummer: 28010
Ort: Nonnenroth
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Em Wenter fleije däi troackene Blärrer dourch däi Loft e’rimm.
WS02	s’ hirrt kleich ouff s’schneire, dou wirrd doas Werrer wirrer bässer.
WS03	Dou Kounn enn d’Owe, doas däi Mälch baal o s’koache fingt.
WS04	D’r goure aale Mann iß met d’m Gaul douchs Eis g’brouge enn iers irns Wasser g,fann.
WS05	R’ is ferr väir oauwer seks Woche g’storwe.
WS06	D’s Fauer woar s, haais, däi Kuchge sai unne gaans schwoarz g’brannt.
WS07	E’ est dai Eijer emmer ohne Saals orn Peffer.
WS08	Däi Fouß thaou merr ork wieh, aich klawe, aich hu mersche dourch g’laafe. 
WS09	Aich sai bei d’r Frae g’werst orn hunser g’,saagt, orn s’ saagt, säi wöllst aach iier Doachter saa.
WS10	Aich wöllst aag neit wirrer doan.
WS11	Aich schloog d’r klaich mer’rem Koachlöewfel hinner däi Uure, doau Aff!
WS12	Wou giist doau hii, sonn merr met d’r giih?
WS13	S’sai schlägte Zaire.
WS14	Mai laib Kernd, blaib häi onne stiih, däi biise Gaihs baise daich toaud.
WS15	Doau hoast haaut omm maihste g,lernt urn bâest orig g’werst, dou dürfst fräier noach Haus giih, als däi annen.
WS16	Doau birst noach nett grouß g’nunk, emm ä Flasch Wai auss’tränke, doau moust irst noach a Enn woachse enn grüsser werre.
WS17	Gih, sai s’gout onn saas daier Schwerrster, säi soll däi Klaarer fürr oau Motter fertig näwe eenn mett d’ Boarste raih mache.
WS18	Hoast doau ereen g’kaant! doa würsch anners g’komme, erenn s’tät besser imm erenn stiieh.
WS19	W’rr hott merr main Koap mett Fleisch g’stoin.
WS20	Ä toaut sou, als härrn senn zoum Dresche bestaalt; säi huns oawer sellwer g’don.
WS21	Weem horre däi naue G’schichte verzaolt?
WS22	M’a muß laut schreie, soast verstiet r’ ous nait.
WS23	M’r sai mouit ernn hong Dourst.
WS24	Alls mrr gestern owett s’rekk koame, do läeg dai annen schoun erm Bett ornn worn feast erenn Schlofe.
WS25	D’ Schniie iss dert Noacht bei ons laie g’bliwwe, ower haut Morge is s’r verschmolze.
WS26	Hinner usemm Haaes stiih drei schiene Appelbäum mett roure Appel. 
WS27	Kenn t’r neet noach aan Aagebloeck off us wotte, doa giih merr mett auch.
WS28	Ä derft nait sou Kinnerei treiwe.
WS29	Uus Berk sai naiht sou huuch, däi aure sai fäil hieher.
WS30	Wäiväil Ponn Wourst ernn wäiväil Bruut woll’tr huuh?
WS31	Aich verstiih uuch naiht, irr merst aa bessi laurer schwätze.
WS32	Horrer kaa Stöck wais Saife ferr maich off main Tesch g’fonne?
WS33	Sai Braurer well sich zwei schiene naue Häuser ernn auem Goarte baue.
WS34	Doas Woatt koohm emm vou Herze
WS35	Doas woer räegt voemm
WS36	Woas sezze doa ferr Viel’chern off d’m Mäuerche?
WS37	Däi Bauern hou finf Ousse ernn nau Käuh erenn zwöelf Schoof f’rr d’s Doarf g’ broogt, däi wonn se verkaafe.
WS38	Däi Leut sai haut all daus off d’m Fellt erenn mähwe.
WS39	Gih nurr d’r brau Hoond toaut d’r naut
WS40	Aich sai met de Leut doo herrne üwer där Wisse irns Koarn g’fohn.
