---
Bogennummer: 28025
Ort: Einartshausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Stephanie Leser
Anmerkungen: ''
...
WS01	Iem Wieenter fliede die trokne Blärrer durch die Loft erim.
WS02	Es hirt gleich off se schneire, dann werd das Wärrer besser.
WS03	Dou Koen nan de Owe, daß die Melch baal on se koche fängt.
WS04	Der goure aale Mann eas mit dem Gaul durchs Eis gebroche un ean dasmkaalt Wasser gefann.
WS05	Er eas vor vier ober sechs Woche gestorbe.
WS06	Des Fauer woar zou heas, die Kuche sein jo unne ganz schwoarz gebrah<(n)>t.
WS07	Er eßt die Ajer immer ohne Saalz ean Peaffer.
WS08	Die Föüß thu<(n)> mir gorsche wih, eich gleawe, eich hu'se durchgelafe.
WS09	Eich sei<(n)> bei der Fre geweast un hu'ser gesaat, ean säi saat, säi wulls aach ihrer dochter sa<(n)>.
WS10	Eich wilss aach nit wirrer du.
WS11	Eich schlo dich gleich met dem Kuchlöffel im die Aan, dou Aff.
WS12	Wu gihst dou hi<(n)>, sonn mir met dir gih<(n)>
WS13	Es sei<(n)> schlechte Zeire.
WS14	Mein läib Kiand, blei häi unnse stih, die bise Gäns seiße dich dut.
WS15	Dou host haut am meste gelernt ean bist ortig geweast, dou derfst froüher haim gih els die Annern.
WS16	Dou bist noch nit grouß gnunk, im a<(n)> Flasche Wei<(n)> aussetrinke, dou mußt erscht noch a<(n)> En woae ean grisser weäre.
WS17	Gih, sei segout ean se deier Schweaster, säi soll die Klarer fer eure Motter fertig nähwe ean mit der Berschte ra<(n)> mache.
WS18	Häst dou ihn gekah<(n)>t! dann wersch annescht gekomme, ean es thit bässer im ihn stih<(n)>.
WS19	Wer hot mir mein Korb met Flaesch gestoen.
WS20	Er thät so, els härre's'en zoum dresche bestaalt; säi hu's ober sealbst getho<(n)>.
WS21	Weam horr'e die nau Geschichte verzohlt?
WS22	Ma<(n)> muß laut kreische, sost verstih're uhs nit.
WS23	Mir sein moüd ean hu<(n)> doascht.
WS24	Als mir Geastrowed sereck kome, do lige die Annern schut im Bätt eanwon fest am schloffe.
WS25	Der Schnih ias die Noacht bei uhs leiege bliwe, ober haut Morge easse' geschmolze.
WS26	Hinner usem Haus stih<(n)> drei schine Aeppelbämerchen met ruhre Aeppelchen.
WS27	Konnt ihr nit noch a<(n)> Augebkiackche off uhs gewoarte, dann gih mir met auch.
WS28	Ihr düaft nit solche Kianereie treibe.
WS29	Uhs Berje sein nit so gorsche huch, au sein väil hiher.
WS30	Wäi väil Pont Woascht ean wäiväil Brud wollt ihr hu<(n)>.
WS31	Eich verstih<(n)> auch nit, ihr mußt e<(n)> bissi laurer schwätze.
WS32	Dein Brourer will sich zwe naue Häuser ean aurm Goatte baue.
WS33	Hot ihr ka<(n)> Steckelche weiße Säfe für meich off meim desch gefonne?
WS34	Das Wort kom ihm von Herze.
WS35	Doas woar rägt von ihn'n.
WS36	Woas sitze do feo Vielchen owe off'em Mäuerchen?
WS37	Die Bauern harre fünf Oasse ean neu<(n)> Koüh ean zwülef Schäferchen für des Dorf gebrogt, die wollte s'e verkaufe.
WS38	Die Leut sei<(n)> haut all druß aff'em Feald ean mehwe.
WS39	Gih nur </ewer>, der brau<(n)> Hond dout dir naut.
WS40	Eich sei<(n)> met d'Leut doheane üwwer die Wisse eans Korn gefoan.
