---
Bogennummer: 28033
Ort: Engelrod
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: Sabine Krause
Anmerkungen: ''
...
WS01	Em Wenter fliege die terckene Bleter ich der Luft erem.
WS02	'S hört gleich uf se schneie, dann wird das Wäte wieder besser.
WS03	Duh Kohl ich de Owe, doß die Melch bahld offängt se koche.
WS04	Der gute ahle Mann is mit dem Gaul durchs Eis gebroche und in das kahle Wasser gefalle.
WS05	He is für 4 äber sächs Woche gestorbe.
WS06	Das Feuer woar se haaß, die Kuche sei onne ganz schwoarz gebrahnt.
WS07	He eßt die Aer emmer ohne Saalz on Paffer.
WS08	Die Füßß duh mer sähr weh, ich glab, ich glab ich habb se durch gelafe.
WS09	Ich sei bei der Frau gewest und ho's ihr gesäht, on sie säht, se wollt's ach ihrer Tochter sah.
WS10	Ich well's och net meh wiehder duh.
WS11	Ich schloch dich gleich mit demm Kochläffel omm die Uhrn, du Aff.
WS12	Wu gehst de hieh, solle mer mit dir geh?
WS13	Er sei schlächte Zeite.
WS14	Mei liebes Kend, bleib hieh onne steh, die böße Gäns beiße dich dodt.
WS15	De hoaßt heit om menste gelarnt und bist oartig gewast; du dürfst ender hamme geh als die Annern.
WS16	Du wist noch nert groß genunk em e Flasch Wie aussetrinke, du must erscht noch e Enn woase und grösser warn.
WS17	Geh, sei se gut on sak deinr Schwaster, se sollt die Klader für eier Motter fertig nähe und mit der Bürscht rain mache.
WS18	Hättste in gekahnt, dann wärsch anneesch gekamme on nes hätt besser em in gestanne.
WS19	Wer hoatt mer mein Korb met Flasch gestohln?
WS20	He därrt so ols hätte se in zom dresche bestellt, se hohs ewer nert gethoan.
WS21	Bem hoatt er die neie Geschicht ezehlt?
WS22	Mer muß laut schreie, sost veesteht er ämm nert.
WS23	Mer sei müdt on hoh Durscht,
WS24	Als mer nerts Obend se reck koame, do locke die Annern schoh em Bett on woare feest ihgeschlofe.
WS25	Der Schnih is die Noacht bei ens leige gebliewe, awer heit Morje is e geschmolze.
WS26	Henner enserm Haaus steh drei schöne Appelbäm mit rothe Appelchen.
WS27	Konnt ihr neet noch en Ageblick uf ens waate, dann geh mer mit eich.
WS28	Ihr dürrft nert so Kennerei treibe.
WS29	Onser Berg sei neet sahr hoch die eien sei viel högger.
WS30	Bi vill Pond Wurscht en bi vill Brod wollt ihr hoh?
WS31	Ich  veesteh eich nert ihr müßt e wink lauter spreche.
WS32	Hoat ihr ka Stöckelche weiß Safe fär mich uf meim Tesch gefonne?
WS33	Sei Bruder well sich zwa schöne neie Haiser kafe on ich eiern Goarte buae.
WS34	Doaß Wort kom im vr Herzen.
WS35	Doaß woar recht voh ihnn.
WS36	Woas setze do für Vügelche obe uf dem Maieeche.
WS37	Die Bauern hoatte fenf Ochse en nei Küh en zwölf Schäfche für daß Dorf gebratt, die won se verkafe.
WS38	Die Leit sei heit all douße uf dem Feld en mähe.
WS39	Geh nur dr brau Hond duht der niks.
WS40	Ich sei met de Leit de hennr die Wiehs ifes Korn gefoahrn.
