---
Bogennummer: 28168
Ort: Göbelnrod
Sprache: Deutsch
Bogentyp: NMD_1879/0
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Eam Wörntr fläije die trockene Blerrer dorch die Loft herim.
WS02	’s hirrt glag of se schnnirn,dah wird ds Werrer wirrer besser.
WS03	dou koin ean de Owe, ders die Melch bal oh‘ se koche fingt.
WS04	de goure ahle Mann ies met d’m Gaul dorchs Eis gebroche, irn irns kahle Wasser gefann.
WS05	he is für väijer oawer sechs Woche gestoarwe.
WS06	ds Feuer wiar se hähs, die Kugge seihn je onne ganz schwoarz gebraht.
WS07	He eßt die Äjer immer uhne Saalz irn Päffer.
WS08	Die Fois duhn mr se wih, ag gläwe, ag huh se dorch gelaawe.
WS09	Ag seih bei dr Fraa gewäest irn huh sr gesaht, irn säi saht, säi well’s aach ährer doachtr sah.
WS10	Ag wills aach nit mih wirrer duh.
WS11	Ag schlou dr glag met dem Kochläffil im die Uhre, du Aff!
WS12	Wu giste hih, sinn mr met d’r gih?
WS13	´s sai schlächte Zeire.
WS14	Maih läib Keand, blei häi onne stih, die bise Gens beiße dag dut.
WS15	du host hau ohm meste gelernt irn beast oatig gewärst, du dörfst froijer hem gih ers die annere.
WS16	du beast noch nit gruß genunk, im e Flasche Weih aus se treake, du mist erscht noch e Steck woase, irn grüsser wärn.
WS17	Gih, sei se gout irn sahs deier Schwärster, se sell die Klärer för au Motter firtik newe, irn met dr Bürschte reh mache
WS18	häst du n gekaat! dann wirsch ahnescht gekomme, irn’s det besser im en stih.
WS19	Wer hot m’r mein Koarb met Fläsch gestoahn?
WS20	he dout so, ers härre sen zoum dräsche bestaalt. se hu’hs oawer sälbst gedoh.
WS21	Wem hot he die nau Geschichte vezahlt?
WS22	Mr muß lau greische, sost verstirre ihs nit.
WS23	Mir seih moi irn huh dorscht.
WS24	Wäo m’r gester Owent serek kuhme, do loage die Ahnrn schuht irm Bett, irn woarn fest om schlofe.
WS25	dr Schnäi irs die Noacht bei ihs laje geblöwe, oawer hou Moarget irse geschmolze.
WS26	hinner insem haus stih drei schine Äppilbemercher met rure Äppilcher.
WS27	Kinnt’r nit noch e Ahchebleckilche of’s gewoarte, dah gih mr met aih.
WS28	Ihr dirft so keh Kirnerei treiwe.
WS29	Ihs Berje seih nit sihr huch, au seih vill hijer.
WS30	Wäivill Pond Wirscht, irn wäivill Brut wellt’r huh?
WS31	Ag vestih ach nit, ihr mußt e bessi lauer schwätze.
WS32	hot’r keh Steckilche weiß Säfe für mag of meim desch gefonne?
WS33	Seih Brourer will sich zwä schine naue häuser irn auen Goarte baue.
WS34	doas Woart kam em voh herze.
WS35	doas woar rächt von em.
WS36	Woas setze do für Vigelcher owe of dm Mäuerche?
WS37	die Bauern harre fünf Oasse, irn noi Koi, irn zwölf Schöfercher für d’s doarf gebrocht, däi wollte se vekäfe.
WS38	die Leu seih hau all daus of’m Feahl irn mewe.
WS39	Gih nu, dr braune hond dout dr naut.
WS40	Ag seih met de Leu do hirne uwer die Wisse irns Koarn gefoahn.
