---
Bogennummer: 28230
Ort: Günthers
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wäinter flege de draokne Bleder in der Luft räom.
WS02	Eß häut gläich uf zäe scnäie, nàuchet wüd dàuß Weder wier bäesser.
WS03	Do Kaol in de Ofe, dàuß de Mällig ball oufäingt ze kaoche.
WS04	Dàer got all Moh eß mit dämm Guill durch das Is gebrache onn ins Wasser gefalle
WS05	Häe es fier vier oder säechs Wache gestarbe.
WS06	Daes Führ war ze heiß, de Koche senn jao aonne ganz schwaz gebrant
WS07	Häe esst de Eier ümmer ohne Saalz onn Pfäeffer.
WS08	De Föß donn mäi weh, ich gleii, ich honn se durch gelaufe
WS09	Ich bin bäi däir Frau gewäst onn honn's ühr gesaït, and sö sock, sö wöll's äh ünner Dochter sai.
WS10	Ich will's ah nümmë wier do.
WS11	Ich schlann dich gläich mitdem Kachläffel äm de Ounn, dau Aff!
WS12	Bo geßt dau hie, sonn mäï mit däï geh?
WS13	Eß senn schläichte Zäte.
WS14	Mie got Käind, blie dao aonne stenn, dee böse Gäns bisse dich dodt.
WS15	Dau hast hüt anan meiste gelännt onn bist atig gewäst, dau däfst eher heii geh be de Annere.
WS16	Dau bist noch nett groß genunk, eh Flasche Wie ze dräinke, dau moßt noch eh Beßche wass und grösser wär.
WS17	Geh, säi so gat onn san dinner Schwäster, se söll de Kaider fer eure Motter fettig näh onn mit der  Büschte raii mach.
WS18	Häßt dau en gekahnt! nachet wärsch annersch gekamme, onn es stönn bässer äom en.
WS19	Bet hoat maii min Kurb mit Fleiisch gestohle?
WS20	Häe deht so, als hättese ün zam draische bestahlt; sö honns aober säilber getho.
WS21	Bem het ehr de neu Geschichte derzehlt?
WS22	Me moß lut grisch, sonst verstett hes nett.
WS23	Mäi senn möth onn honn Duscht.
WS24	Als mäi näich z[a]bet seii kome, dah làke de Annere schon im Baitt onn wainn fest om schlaffe.
WS25	Derr Schnäh es des Naicht bäi onns länn bläigt, aber desse murge esse geschmaolze.
WS26	Häier onnsrem Hus stenn dräi schönne Äpfelsbäiim mit rothe Äpfelerche.
WS27	Watt noch eh Besche, naichst geh meh mit euch.
WS28	Eui daift nett so Kaingerei trie.
WS29	Ons Bärg senn nett sähr hoch, euere senn viel höcher.
WS30	Bevell Pfaoind Wirscht wolltè hao.
WS31	Ich verstenn euch nett, eu mott eh besche luhter schwatz.
WS32	Hatte u nett eh Stöckche Seiife fär mich off mim Dösch gefaonge.
WS33	Siè Brpder will sich eh baar schönne neue Hüser in euen Gaite bau.
WS34	Daos Wuit komm em vom Heze
WS35	Daos wahr räicht vonn ünne.
WS36	Baos setze dao für Vogelerche obe off daim M[ei]berche.
WS37	De Buwer haitte fönnev Assè onn nëch Köh onn zwälev Schäferche fürsch Durf braicht, de wolle se verrkäif.
WS38	De Lüt senn hüt all dusse offem Fäill onn mäbe.
WS39	Geh nur, derr brui Haoind dot deii nüscht.
WS40	Ich bin mitt de Lüte dao hänige über de Wiese ins Kuinn gefainn.
