---
Bogennummer: '28527'
Ort: Ober-Dieten
Gid: 94883
Transliterent: Lars Vorberger
Transliterationsprojekt: REDE
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	Im Wenter fligge die dorre Blarer dorch die Loft rim.
WS2	Es hort gläich of z schnie, da word deis Wärrer bässer
WS3	Du Kohle i den Uwe, desz die Melche bale o z kouche fengt.
WS4	Der gurre ale Mann es met dem Pärd dorch Eis gebrouche on i dois kale Wasser gefalle.
WS5	Er es ver vier Woche gestärwe.
WS6	Dois Feier woir z häis, die Kuche sei ja onne ganz schworz verbrant.
WS7	Er est die Äiger immer ohne Sahlz on Päfer.
WS8	Die Fisse du mer sehr wih, aich gläwe aich ho s dorch gelafe.
WS9	Äich ben bei der Fra gewest on ho es er gesat, on sie sate, sie es ach ehrer Dochter sah.
WS10	Äich well es ach net werrer du!
WS11	Äich schlo Däich gläich met dem Koichläffel im d Uhrn, du Affe!
WS12	Bu gest du hi, sin mer met der gih?
WS13	Es sei schläichte Zeire!
WS14	Mei liebes Kend, bleib hi onne stie, die biese Genze bäise däich dut.
WS15	Du häst haure om mäiste gelärnt on best artig gewest, du darfst früher häim gih als die Anern.
WS16	Du bäst noich net grusz genung, um ä Flasche Wäi auszedrenke, du muszt orscht noich ä Enne wässe on gresser were.
WS17	Geh, säi so gutt on säik deier Schwäster, sie sell die Kläirer fer aue Motter fertig nehe on met der Borste räh mache
WS18	Häst du ih gekant! da wer es annersch komme, on äs det bässer im n stih.
WS19	Wer hät mer mein Kerb met dem Fläisch gestohle?
WS20	"He det su als härre sie ih zum Dräsche bestahlt	 se ho es awer sälbst getho."
WS21	Wem hät er die naue Geschichte erzahlt?
WS22	Mer musz laurer kräische, sonst versted he ins net.
WS23	Mer säi mire on ho Darst
WS24	Als mer gestern Owet zreck kome, do loige die Annere scho z Bätt on woire fest om schlofe.
WS25	Der Schni es dere Nocht bei ins läige geblewe, awer haure Märige es er geschmolze
WS26	Henner inserm Haus stih drei schiene Abbelbäme met rure Abbelcher.
WS27	Kint er net nach äi Agebläikche of ins gewarte, da gih mer met auch.
WS28	Er därft net selche Kenerei treiwe.
WS29	Inse Bärge sei net sehr huck, aue säi vel heger.
WS30	Wie vel Pond Wärst on wie vel Brud wellt er ho?
WS31	Äich verstih auch net, er muszt ä beszche laurer schwätze.
WS32	Hät er kä Steckche wäise Säfe fer mäich of meim Desch gefonne?
WS33	Säi Brurer well seich zwa schiene Haiser i auem Gorte baue.
WS34	Dois Wart kom em vo Härze
WS35	Dois war rächt vo em!
WS36	Wois setze do fer Väigelcher uwe of dem Meierche?
WS37	Die Bauern harre finf Ochse on näi Kih on zwälf Schefcher ver dois Dairf gebrocht, die wollte sie verkäfe.
WS38	Die Leire säi haure all douse of dem Feld on mehe.
WS39	Geh nur, der braune Hond dut der naut.
WS40	Äich säi met den Laire do henne ewer die Wesse is Koirn gefoihrn.
