---
Bogennummer: 28567
Ort: Albshausen
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Em Wenter fliege die trokele Blärrer derch die Luft rim.
WS02	's herrt glàech off se schneie, da werd dóas Werrer werrer besser.
WS03	Du Kohl en de Owe, deß die Melch bale o se koche fingt.
WS04	Der gurre ale Mann es met dem Gaul derchs Eise gebróache on en's kale Wasser gefall.
WS05	Hä éß ver vier ewer sechs Woche gestóarwe
WS06	Dóas Feiger wóar se häß, die Kuche sei jo onne ganz schwóarz gebrant.
WS07	Hä eßt die Äger immer ohne Saalz on Peffer.
WS08	Die Füß du mer sehr wieh, äech glóawe, äech hunn se derch gelóafe.
WS09	Äech sei bei der Frä gewest on hunn ser gesät, on sie sät, sie wellts óach ärer Dochter spreche.
WS10	Äech wells óach net mie werrer du.
WS11	Äech schlo dich gläech met dem Kóachlöffel im die Ohre, du Affe!
WS12	Bo gehste hin, sinn mer met der gieh?
WS13	's sei schlächte Zeire.
WS14	Mei liewes Kend, bleib hie onne stieh, die böse Gäns bäeße dich dodt.
WS15	Du hóast haure am meste gelernt on bäst óartig gewest, du därfst früher noch Hem gieh's wie die Anner
WS16	Du bäst noch net groß genunk, im e Flasche Wei aussetrenke, du mußt erscht noch e Enne größer wern.
WS17	Gieh, sei so gutt on sprech deiner Schwester, sie sollt die Klärer fer awe Motter fertig nähe on met der Bärschte re mache.
WS18	Häst du en gekaant! da wersch annerscht komme, on es dere besser im en stieh.
WS19	Wer hóat mer mèin Korb met Fläsch gestohl?
WS20	Hä thät so, als härre se en zum Dresche bestaalt; sie hunns äwer selber gedo.
WS21	Wem hóarre die naue Geschichte verzahlt?
WS22	Mer muß laure kräsche, sost versterre ins net.
WS23	Meer sei müre on hunn Dóarscht
WS24	Wie mer gester Owet sereck kome, do lóage die Anner schund em Bett on wóarn fest em schlofe
WS25	Der Schnie eß derre Nóacht bei ins lägge geblewe, ewer derre Móarge esse schmolz
WS26	Henner insem Haus stieh drei schiene Äppelbemercher met rore Äppel.
WS27	Kinnt ehr net nóach e Oageblei<(K)>kche wóarte, da gieh mer met ouch.
WS28	Ehr därft net solche Kennereien treiwe.
WS29	Inse Bärge sei net sehr hoch, awe sei vel höcher.
WS30	Wie vel Pont Woarscht on wie vel Brot wellt ehr hunn?
WS31	Äech verstieh ouch net, ehr müßt e besche laurer spräche.
WS32	Hoat ehr ke Steckche weße Säf fer mäech off meim Desch gefonne.
WS33	Sei Brurer well sich zwä schiene naue Heiser in auwen Goarte baue.
WS34	Doas Woart kom em vo Herze!
WS35	Doas woar räecht vo em!
WS36	Woas setze do fere Vigelcher owe off dem Meierche.
WS37	Die Bauern harre fünf Ochse on nei Kieh on zwälf Schäfercher ver doas Därf gebroacht, die wollte se verkoafe.
WS38	Die Leire sei haure all droaß offem Feld on mehe.
WS39	Gieh nur, der braune Hond dut der naut.
WS40	Äech sei me de Leire do henne ewer die Wesse ins Korn gefoarn.
