---
Bogennummer: 30058
Ort: Karkelbeck
Sprache: Litauisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Ziemoje lēke fanfieji Lapai Orę aplink.
WS02	Tuojau palaus fninti, tai bus geresne Pagadą.
WS03	Jdēk {"J" durchgestrichen} Anglū i {"i" durchgestrichen} Krohnį, kad Pienas Auojau pradētu wįrt.
WS04	Geras, fenas Wÿras yra fu Arklu ant Lēdo i {"i" durchgestrichen} luźes ir i {"i" durchgestrichen} fzalta Wandeni i {"i" durchgestrichen} puoles.
WS05	Jis ÿra pirm keturu ar fzefzu Nedēlu mires.
WS06	Ugnis buwo per karfzta, tie Pyrāgai ÿra juk apatczio wifai juo dai fu dēge.
WS07	Jis [w]algo Kiaufzus wįs bę Drufkōs ir Pįpįrū.
WS08	Kojes man labai fkausti, afz mifliju̮, jes ēfas nutrienes.
WS09	Afz ęfu prie Moterifzkēs buwes ir ęfu jei fakes, ir ji fake, jį nor ir fawo Du̮kterei fakīti.
WS10	Afz noru nieka dos tai darÿti.
WS11	Afz mufziu tawe tuojau fu Samtoziu apie Aufis, tu Beź dźanka.
WS12	Kur einį tu, turim mef fu tawim drauge eitį?
WS13	Ÿra biednį Cźēfai.
WS14	Mano miels Kūdikį pafilik fzifzons źemai ftoweti, piktofes Żafys tawe i {"i" durchgestrichen} [nowe] [a] [nol].
WS15	Tu efi fzendien daugiaus mokįnēfi ir efi man dagus buwes, tu gali weikiau Namoneitį, kaip kįtį.
WS16	Tu dar ne dįdęlis gana, wiena Peetczka Wÿna ifzgerti, tu dar teri Gala auktį ir dįdēfnis pastoti.
WS17	Eik, buk taip gēra ir fakik tawo Seferei, ji tur Drabuzius juhu Motinos pafuti ir fu Berfztu nuwalyti.
WS18	Būtum ji pazina, taibuta kitaip atfieje, ir ftowētū geraus fu jusmi.
WS19	Kas ÿra man mano Kiuoti fu Mēfą pawoges.
WS20	Jis darę taip, lÿk butumbit ji Kulimui pawadine, jie yra ale tai patis dāre.
WS21	Kam papafakojo ta nauja Nufidawima.
WS22	Tur but aifzkei fzaukta, fzeip nepermana jis mus.
WS23	Mes efam pailfe ir turim Trofzkuli.
WS24	Kaip mes wakar Wakare atgal parejom, tai gulējo kiti jau Lowo ir drutai miegojio.
WS25	Sniegas ÿra fzitoje Naktije pas mus gulet pafilikes, ale fzī Ryta jis yra futirpes.
WS26	Už mufu Buto ftow tries gražios Obelikles fu raudonais Obuolaitczais.
WS27	Ar negalit jus dar wiena Akiesmirsni ant muhu laukti, tai eikam mesfu jumis drauge.
WS28	Jums ne walna toke Wainÿstes prowÿti.
WS29	Jūsu̮ Kalnai yra nelabai aukfzti, mufz ifzkei ÿra dauk aukfztesni.
WS30	Kiek Swaru Defzros ir Duonos norit jus?
WS31	Afz ne permanau jus, jus turit maźumele aifz kiaus kalbeti.
WS32	Ar net efat rade menka Stekeli balto Muilo ut mans Stalelio.
WS33	Jo Brolis nor fauw du graźiu Butu juhu Darźe budawoti.
WS34	Tas Zodis efo jam ifz Szirdies.
WS35	Tai buwo gerai nuo juhu.
WS36	Kas fed oze per Paukozitozei aukfztai ant Marelo.
WS37	Burai terojo 5 Iautczius, 9 Karwes ir 12 Awelu par Kiema atgabēne, fzituos norojo jie parduoti.
WS38	Zmons fzendien ÿra wifi ant Lauko ir kerta.
WS39	Eik tik, brunafis Szuo taw nieka nedaro.
WS40	Afz ehu fu Źmonems ten ufzpakaly per Piewas i {"i" durchgestrichen} Rugius wežawes.
