---
Bogennummer: 30064
Ort: Melnragen
Sprache: Litauisch
Bogentyp: NMD_1887
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Źiema lakiâ ſauſieje Lapâ per Ara aplinko.
WS02	Tujau paliaus ſnigti, tad bus Pagada wel gereſne.
WS03	Darÿk Angliu i Kraſni, kad Piens weik wirti pradetu.
WS04	Tas geraſis ſenaſis Wÿrs ſu Arkliu per Ledu iluźes ir i ſzalta Wandini ikrites.
WS05	Ans ÿra pirm keturiû ar 6 Nedeliû numires.
WS06	Ugnis buwa per karſzta, Pÿragâ ÿr’ Apate gans joda ſudeguſi.
WS07	Ans walga Kiauſzus wis be Druſka ir be Pipirû.
WS08	Kâjas man didę ſkaud, aſz miſliju aſz buſu parſibeges.
WS09	Aſz eſu pri ta Matriſzke buwes ir eſu ana ſakes, ir ana ſake, ana narinti ir ſawa Duktere ſakÿti.
WS10	Aſz ir nebnaru jau daugiaus darÿti.
WS11	Aſz muſzu taw tujau ſu Samtu per Auſis, tu Bezdanę!
WS12	Kur tu eiti, ar turam mes drauge ete.
WS13	Yra ſzlekti Czieſâ!
WS14	Mana miels Kudiki palik ſziſze apatia ſtaweti, piktaſes Źaſis tawe nukâs.
WS15	Tu ſzende eſi daugiaus makines ir eſi pakajings buwes, tu gali ankſtaus Nome eti kep Kiti
WS16	Tu dar ne eſi didis gana, Butelke Wÿna iſzgerti, tu turi pirmjaus dar Gala augti ir dideſnis paſtâti.
WS17	Ek, buk tep gers  ſakÿk tawa Seſere, ana tur tus Drabuźus juſu Matÿnâ paſiûti ir ſu Berſztu nuczÿſtiti.
WS18	Butumb tu anâ paźines, tad butu tas kitaip parejes, ir ſu anô geriaus ſtowetu.
WS19	Kas mân mana Kiůci ſu Meſa pawage
WS20	Ans dare tep, kep butu anâ ant kulima pawadine, anie ale buwa ta patis padare.
WS21	Kam ans ta Naujÿna paſakaje.
WS22	Reik aiſzke ſzaukti, ſzep ans mumis neparmana.
WS23	Mes eſam nuwarge mumis ſlapin.
WS24	Kad mes wakar Wakare ſugrÿźam, guleja Kiti jau i Lawa ir buwa ſtipre imige.
WS25	Snegs ÿra ſze Nakti prie muſu gulejes, ale ſzi Rÿt ſutirpa.
WS26	Uź muſu Buta ſtaun trÿs puikes Abelikes ſu raudanas Abuleles.
WS27	Ar ne galit dar wiena Akiesmirkſneli laukti, tad eſam mes drauge.
WS28	Jus ne prÿwalot tokia Kudikÿſte warÿti.
WS29	Muſu Kalnâ nier laba aukſzti, jûſieje ÿr daug aukſzteſni.
WS30	Kiek ſwarû Deſzras ir kiek Důnas jus nârat.
WS31	Aſz jumis neparmanau, jus turit biſzki aiſzkiaus kalbeti.
WS32	Ar jus kaki Stukeli baltu Źepu man ant mana Stala neradat?
WS33	Anâ Brâlis nar ſaw du puikiu jaunu Butu i juſu Darźa budawoti.
WS34	Tas Źadis anâm eja nu Szirde!
WS35	Tas buwa riktinga nu juſu.
WS36	Kas tie par Paukſztele ſed ten aukſztâ ant
WS37	Bûra tureja penkis Jautus ir dewÿnes Karwes ir dwÿlaka Aweliu prie Kiema atwede, anie nareja anus pardoti.
WS38	Źmanis wiſi ſzende ÿr ant Laukû iſzeje ir ſzenauj’.
WS39	Ek tik, tas rudaſis Szo taw nieka ne dara.
WS40	Aſz ſu tâs <Źanimis> Źmanimis cze uźpakalie per Piewa i Rugius waźawau.
