---
Bogennummer: 30066
Ort: Schmelz
Sprache: Litauisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Źema lek sause Lapai kiaura i Ora aplinko.
WS02	Jau palaus weik snegti, tad bus Pagada geresne.
WS03	Dek Anglis i Kroasne, kad Pens weike werte pradetu.
WS04	Wens gers sens Wirs yr so Arklo i Ledo iluźes er i szalta Wandene ipoles.
WS05	Ans yr' perm keturu arba szeszu Nedelu pasimeres.
WS06	Ugnis bowo par karszta, tos Kokas yr apato joda apdegosos.
WS07	Ans walgo Kiauszus wiss be Druska er be Peperu.
WS08	Kojes mane skaud dedele, asz mislijo, asz busu jes kiauraij prabēgus.
WS09	Asz eso prie tos Moteriszkes bowes er eso ana sakes, er ana sake, kad ana norente tai ir sawo Doktere sakiti.
WS10	Asz noro dagiaus tep nebdaryte!
WS11	Asz muszu tawe tujaus su to Samto aplink Ausu, tu Bezdone!
WS12	Kur eine tu, turete mes su tawe eiti?
WS13	Yra szlekti Czesai!
WS14	Mana mels Kudiki, palek apato, stowete, pektoses Źases ikas tawe.
WS15	Tu szende ese geraus makes, er ese pakajings bawes, tu gale ankstaus ete Name kap kete.
WS16	Tu dar ese par maźas, Butelke Wyna iszgerte, tu ture dar augte er dedesnes pastote.
WS17	Ek, er buk toks gers sakik sa Sesere, ana tur tus Drabuźus jusu Motina gatawa pasute ir su Bersztu iszpucůti.
WS18	Kad tu ana butai paźines! tad bute antrep ateje, er geraus su ano stoweto.
WS19	Kas yra mana Kiotse su Mesa pawoges?
WS20	Ans dejos, kad ans esas kolte pawadits; ale ana yr patis iszkule.
WS21	Kam yr ans ta nauje Nusedewema papasakojes?
WS22	Tor diktik szaukte, szeip ans mus ne permana.
WS23	Mes esam paelse er isztroszke.
WS24	Kaip mes wakar Wakare pargryźam, tad goleje jau kete i Lowa ir buwa saldei imege.
WS25	Snegs yr szi Nakte prie muso palekes, ale szi Ryt' yr sudrekes.
WS26	Uź muso Bota aug tris Abelekis su raudonais Abelokais.
WS27	Ar ne galet dar kaki Akismirksne ant muso laukte, tad mes esam drauge.
WS28	Jus ne toret tokes Kudikistes waryte.
WS29	Musu Kalnai ner tep aukszti, jusu yr daug auksztesni.
WS30	Keik Swaru Wurszku ir Donas jus noret gaute?
WS31	Asz nebpermanau nieka, jus toret biske aiszkiaus kalbete.
WS32	Ar esat koke Stukele baltujo Źepo ant mana Stala atrade?
WS33	Ano Broles nor dwe nauje Trabe i juso Darźa bodawate.
WS34	Tas Źodes atejo jam nu Szerdes!
WS35	Tas bowo geray nu juso!
WS36	Kas par Pauksztite sed ten aukszte ant Muroko?
WS37	Burai torejo penkes Jautus er dewines Karwes er dwileka Awelo ik Kema atgabene, tus norejo jie pardůte.
WS38	Te Źmones yr szende wese ant Lauko pjauti iszeje.
WS39	Ek nages, tas rodases Szo taw neko ne daris.
WS40	Asz eso su tiems Źmonems ten Uźpakalij per Piewa i Rogus iwaźawes.
