---
Bogennummer: 30070
Ort: Matzken
Sprache: Litauisch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: ''
Transliterent: ''
Anmerkungen: ''
...
WS01	Źemo iszdźuwe Lapai per Ora lek.
WS02	Tůjau palaus sniegant, tada Ors wel geresnis pastos.
WS03	Idek Anglis ɨ Krosni, kad Piens weikei atwirtu.
WS04	Gerasſis séns Wÿrs ÿra su Arkliu per Leda perlauźes ir ɨ szalta Wandeni ipůles.
WS05	Jis ÿra pirm keturu arba szeszu Nedelu mires.
WS06	Ugnis per karszta buwo, Piragai juk apaczio po wisſiam jůdai sudégę.
WS07	Jis walgo Kiauszus wisſ be Druskos ir Pipiru.
WS08	Kojas man labai skaust, man rodos, asz jes busu persibējes.
WS09	Asz prie tos Moteriszkes buwau ir jei pasakiau, ir ji sakę, buk norinti ir sawo Dukterei pasakÿti.
WS10	Asz toksai daugiaus ne darÿsu.
WS11	Asz muszu taw tůjaus su Samtozu aplink Ausis, tu Beszdźone!
WS12	Kur tu eini, ar su tawim eisim?
WS13	Szlekts Cźesas!
WS14	Miels Kudiki, pasilik sziszon apatczio stoweti, piktoses Źasys tawe smertczop nukaus.
WS15	Tu szendien daugiausei mokinaisi ir pakajinks buwai, tu gali ankszcziaus Namo eit usz Kittus.
WS16	Tu dar ne esſi didis gana Butelke Wÿno iszgerti, tu dar turi pirma Gala augti ir didesnis pastoti.
WS17	Eik, buk taip gers ir sakÿk tawo Sėserei kad ji Rubus jusu Motinos pagatawÿtu ir su Bersztu czÿstitu.
WS18	Jei tu ji butumbei paźinnes! Tai wiſkas kittaip butu wirtę, ir geraus aplink ji stowetu.
WS19	Kas man mano Kiotcu su Miesa pawoje?
WS20	Jis dējos, buk jie jÿ Kulimui pastellawo; bet jie patis tai dare.
WS21	Kam jis ta nauja Nusidawima papasakojo?
WS22	Turim aiszkei szaukti, szeip jis mus neiszmano.
WS23	Mies pailsę ir isztroszkę.
WS24	Kaip mies wakar Wakar pargrÿźom, tai Kitti jau Lowo gulējo ir buwo drutai uszmigę.
WS25	Sniegs sze Nakti prie musu pasiliko gulet, alle szÿ Rÿt jis sutirpo.
WS26	Usz musu Trobȏs stow trÿs graźes Obelates su raudonais Obůlaczeis.
WS27	Ar ne galit dar Walandele ant musu laukti, tada mies eisim su jumis.
WS28	Jus ne priwalot, tokias Niekÿstas prowÿti.
WS29	Musu Kalnai ner labia auksti, jusiejei ÿra daug auksztesni.
WS30	Kelis Swarus Deszros ir kelis Swarus Důnos jus norit?
WS31	Asz ne permanau jus, jus turit maźuma aiszkiaus kalbeti?
WS32	Ar jus ne Stukeli balto Muilio man ant mao Stalo radot?
WS33	Jo Brolis nor saw dwi grazes naujas Trobas ɨ jusu Darźa budawoti.
WS34	Tas Źodis atējo jam nů Szirdies.
WS35	Tai buwo gerai nů jû.
WS36	Kas czon per Pauksztelei tup wirszui ant Mûrelio?
WS37	Burai penkis Jauczus ir déwÿnes Karwes ir dwÿlika Awiu isz Kiemo iszgabénę buwo, tus jie norejo pardůti.
WS38	Źmones szendien wiſsi ant Lauko Jawus pjaun.
WS39	Tikt eik, rudasis Szů taw nieko nedaro.
WS40	Asz su Źmonemis ten uszpakalÿ per Piewa ɨ Rugius waźawau.
