---
Bogennummer: 31664
Ort: Kirkel
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winter fliehe die trucknen Blätter in der Luft erom.
WS02	S'hört gleich uf se schneire, dann werd s'Wetter were besser.
WS03	Dhu Kohle in de Owä, daß die Milich ball anfangt se Koche.
WS04	Der gut alt Mann isch met dem Perd affem Eis ingebroch un ins kalte Wasser gefall.
WS05	Er isch vor vier oder sechs Wuche gestorb.
WS06	S'Feuer war se stark, die Kuge sinn jo unne ganz schwarz verbrennt.
WS07	Er eßt die Eier immer ohne Peffer un Salz.
WS08	Die F[ü]ß dhun mer arig weh, ich glab, ich hann se dorchgelof.
WS09	Ich war bei der Frà und han ser gesaht, und sie hat gesaht, se dhäts a ehrer Dochter sahn.
WS10	Ich wills a némè dhun.
WS11	Ich schlahe dr gleich de Kochlöffel hiner die Ohrn, du Aff!
WS12	Wo gehschte hin, solle mr met dr gehn?
WS13	Es sin schlechte Zeire.
WS14	Mei lieb Kind, bleib do june stehn, die böse Gäns beiße dich dod.
WS15	Du hascht heut am menschte gelehrt un warscht brav, du derfscht eschter heimgehn wie die anere.
WS16	Du bischt noch net groß genuk, ome Flasch Wein aussetrinke, do muschte noch ebbes wachse un größer wer.
WS17	Geh, sei so gut un sah deiner Schweschter, sie soll die Kleder for euer Motter fertig mache un mit der Berscht sauber mache.
WS18	Hättsch du ene gekennt, dann wärsch anersch komm un dhät besser met dèr stehe.
WS19	Wer hat mei Korb met Flesch gestohl?
WS20	Er hat gedhun, als wann sene bestellt hätte, vor se dresche; sie han s'aber selber gedhun
WS21	Wem hater die nei Geschicht verzählt?
WS22	Mr muß hart kreische, sunscht versteht er uns net.
WS23	Mr sin müd un han Dorscht.
WS24	Wie mr gischter Owet hèm komm sin, han die annere schun im Bett geleh un han fescht geschloft.
WS25	Dr Schnee isch haint Nagt bei uns leihe blieb; aber de Morje war er enwegg?
WS26	Hiner unserm Haus stehn drei Äbbelbämp mit rore Äbbel.
WS27	Könne er net noch e bißche uf uns warde?, dann gehn mr met eich.
WS28	Ehr derfe net schpiele wie klene Kiner.
WS29	Unsere Berje sin net arig hoch, dè eiere sin viel hechter.
WS30	Wievel Pund Worscht un wievel Brod willener han?
WS31	Ich verstehn eich net, ehr müssene bische härter p?laudere
WS32	Han er ke Stückelche weißi Sef uf meim Disch gefun?
WS33	Sei Bruder will sich zwe schene neie Häuser baue in ehr Gaade.
WS34	Er hat aus em Herz gesproch.
WS35	Das war recht von ihne.
WS36	Was hucke do vor Vöchelcher owe uf dem Mäuerche.
WS37	Die Bauern han fünef Ochse un neim Küh und zwölef Schäfcher vors Dorf brocht, die wìlle se verkao?fe.
WS38	Die Leit sin heit all drauß uf Fèld un mähe.
WS39	Geh nor, der braun Hund dhut dr nichs
WS40	Ich sin met de Leit do hine übwer die Wies ins Korn gefahr.
