---
Bogennummer: 31875
Ort: Esthal
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliejen die truckene Blärer in de Luft erum.
WS02	S'hört glei uff se schneiche, dann werd's Werer wierer besser.
WS03	Dhu Kouhle in de Ouwe, daß die Milich ball anfangt se koche.
WS04	Der gut alt Mann isch mit dem Perd durchs Eis gebroche unn ins kalt Wasser gfalle.
WS05	Er isch vor vier orer sechs Wo̰che gschtorwe.
WS06	's Feuer war so stark, die Kuuche sinn jo̰ unne ganz schwarz gebrennt.
WS07	Er eßt die Ejer immer uhne Salz unn Peffer.
WS08	Die Füß dhun mer so weh, ich gläb, ich häb se durchgeloffe.
WS09	Ich bin bei de Frä geweßt unn häb's er gsagt <(gsakt)>, unn sie hot gsakt, sie will's ach ihre Döchter saje.
WS10	Ich wills a nimmi wierer dhun.
WS11	Ich schlagg dich glei midem Ko̰chlöffel um die Oure, du Aff!
WS12	Wo gehscht'e hi, selle mer mider géih?
WS13	's sinn schlechde Zeire.
WS14	Mei lieb' Kind, bleib' unne stéïh, die bäise Gäns beißen dich doud.
WS15	Du hoscht heut am menschde gelernt unn bischt ardig geweßt, du därfscht früher hem géïh, als die Annere.
WS16	Du bischt no̰nit grouß genunk, um e Flaß <dies scheint mir ein typisch pfälzischer Freudscher Versprecher, weil dem Schreiber beim Schreiben die Flasche zum Faß gerät. Ergebnis: Flaß> Wei' aussetrinke, du muscht serscht no̰ch ebbes wachse unn gräiser werre.
WS17	Geh, sei so gut unn sag deiner Schweschter, sie sell die Klärer for euer Mudder fertig mache unn mit d'r Berscht reimache.
WS18	Hätscht 'n gekennt! dann wär's annerscht kumme unn 's dhät besser um 'n steïh.
WS19	Wer hot mer mei Korb mit Fläsch gschtohle?
WS20	Er hot so gedhu, als hett'n 's 'n zum Dresche beschtellt, sie henn's awer selwer gedhu!
WS21	Wem hot'r die neu Gschicht verzäihlt?
WS22	Mer muß laut schreie, sunscht verschteht 'r uns nit.
WS23	Mer sinn mid unn henn Dorscht.
WS24	Als mer geschter owend serückkumme sinn, do henn die Annere schunn im Bett geläie unn waren fescht am schlofe.
WS25	De Schnee isch die Nacht bei uns lieje geblewe, awer heut morje isch'r gschmolze.
WS26	Hinner unserm Haus stäihn drei schäïne Äbbelbämelcher mit roure Äbbelcher.
WS27	Kennen 'r nit noch e Äjeblickelche uff uns warte, not gèïh mer mir euch.
WS28	Er derfen nit so Kinnereie treiwe.
WS29	Unser Berje sinn nit arig houk, die eure sinn vel höijer.
WS30	Wie vel Pund Worscht unn wie vel Pund Brout wenn 'r hawe?
WS31	Ich verschteh euch nit, ehr mißt e bissel laurer spreche.
WS32	Henn 'r nit e Schtickel weißi Säf for mich uff mein Disch gfunne?
WS33	Sa Brurer will sich zwei schäine neue Häuser in eurem Garde baue.
WS34	Daß Wort isch'm vum Herz kumme.
WS35	Des war erecht vunn Euch.
WS36	Waß sitzen do for Vöjelcher owe uff dem Meierche.
WS37	Die Bauere henn fünf Ochse unn nai Küh unn zwölf Schefelcher fors Dorf gebracht ghatt, die henn se verkäfe welle.
WS38	Die Leut sinn heut all draus uff 'm Feld unn mehen.
WS39	Geh narre, der brau' Hund dhut d'r nix.
WS40	Ich bin mit denne Leut do̰hinne üwer die Wiß in's Korn gfahre.
