---
Bogennummer: 31889
Ort: Meckenheim
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliejen die truckne Blè̱rer in d'Luft rum.
WS02	s hört gleich uff s schneḭche, do werd's werer besser.
WS03	Duh Koule in d'e O̰uwe, daß die Milich ball se̗ koche̗' anfangt.
WS04	Der gut alt Mann isch mit dem Gaul do̰richs Eis gebroche̗ unn ins kalt Wasser gfalle̗
WS05	Er isch vo̰r vier orer sechs Woche̗ gstorwe̗.
WS06	s Feuer war zu stark, die Kuche̗ sinn' jo unne̗ ganz schwarz gebrennt.
WS07	Er ißt die A̰ier immer uhne Salz unn Pfeffer.
WS08	Die Füß tun mĕr sou wèh, ich glab ich häb se̗ dorch geloffe̗
WS09	Ich binn bei der Fraa gewest unn häb's 'r g'saaht, unn sie hott gsaaht, sie wills ihre Tochter aach sage.
WS10	Ich wills ach nimmi thau <(dhau)>
WS11	Ich schlack dr glei mim Kochlöffel uff die Oohre, du Aff.
WS12	Wuu geehscht' n hier sellen mir mit dr gehi?
WS13	Es sinn schlechte Zeire.
WS14	Meḭ liewes Kind, bleib do unne stäh, die böse Gäns beisen dich doot.
WS15	Du hoscht heut am määnschte g'lernt unn bischt andlich ge̗wĕ̗st, du derfscht eder hem gehe als die Annĕrĕ.
WS16	Du bischt noch net groß genung, daßte' Flasch Wei austrinke kannscht, du muscht noch serscht wachse̗ unn größer weerĕ.
WS17	Geeh, sei so gut unn saag deiner Schweschter, sie soll die Kleerer for eure̗ Mutter fertig mache unn mit derr Berscht rei mache.
WS18	Hescht du ihn gekennt, dann wärs annerscht kumme unn es däht besser um ihn stähi.
WS19	Wer hott mĕ̗rr meḭ Korb voll Flääsch gstohle?
WS20	Er hott sou g'dau as wannsn zum Dresche bschstellt he̗rre̗n awer sie henns selber g'dau.
WS21	Wem horrer dann die nei Gschicht verzeehlt?
WS22	Meer muß laut greische schunscht vĕ̖steeht er unns nett.
WS23	Meer sinn müd unn hann Dorscht.
WS24	Wiemĕr geschterd Owerd häm kumme sinn, do waren die Annĕrĕ schunn im Bett gelääje unn henn fescht g'schloofe.
WS25	De' Schnee isch heunt Naacht bai uns liehje gebliewwe awer hait Morje isch'r vergange.
WS26	Hinner unserem Haus steh'n drei schöine Appelböhmillcher mit rourer Ep'lcher.
WS27	Kenn ehr nett noch'n Aageblick uff uns warte d'nod geh mer mirrich.
WS28	Ehr derfen nett solgĕ̗ Kinnerei dreiwe.
WS29	Unser Berje sinn nett so houch, euere sinn viel höcher.
WS30	Wieviel Pund Worscht unn wie viel Broud wenn ehr hawe.
WS31	Ich versteeh euch nett, ehr miss'n e bißl lauter plaudĕ̗rĕ̗.
WS32	Henn 'r ke Stück'l weißi Seef for mich uff meim Tisch g'funne?
WS33	Seḭ Brurer will sich zwä schöinĕ neuĕ Haiser in euerem Gaarte baue.
WS34	Deß Wort isch'm vumm Herzĕ kummĕ
WS35	Deß war recht vunn iihne.
WS36	Was hocken do vor Vögl owĕ uff'm Mäuerlĕ.
WS37	Di Bauerĕ henn finf Ochsĕ unn neḭ Küh unn zwelf Schöflcher vorrs Dorf gebroogt unn henn sĕ wellĕ vĕaafĕ.
WS38	Die Leit sinn heit all drauß uffm Feld unn meejen.
WS39	Geh norre, der Braṵ Hund duhder nix.
WS40	Ich bin mit dennĕ Leit do hinnĕ iwer die Wiß ins Korn g'fahre.
