---
Bogennummer: 32008
Ort: Rehweiler
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliie die drockene Blä̌rrer in der Luft erum.
WS02	's hört gleich uff se schneire, dann werd's Wärrer besser.
WS03	Du Kohle in de Owĕ, daß dieMilch ball anfangt se koche.
WS04	Der gud alt Mann is mett dem Pärd darchs Eis gebroch unn ins kalt Wasser gefall.
WS05	Er is vor vier oder sechs Wuche geschtarb.
WS06	Daß Feier war so schdärk, die Kuche sinn jo unne ganz schwarz gebrännd.
WS07	Er äßt die Eier immer ohne Salz unn Päffer.
WS08	Die Füß dun meer so weh, ich gläb, eich hänn se darchgelääf.
WS09	Eich bin bei der Fra geween unn hanns ĕr gesaat un se hat gesaat, sĕ wollts a ehrer Dochder saan.
WS10	Eich wills a nimme dun.
WS11	Eich schlahn dĕr gleich met dem Kochlöffel um die Ohre, du Aff'.
WS12	Wo geeschd dĕ hèn, sollĕ mer met dĕr gehn?
WS13	Es sin schlèchte Zeite.
WS14	Mei lieb Kind, bleib do unne schdehn,die bése Gäns' beißen dich dot.
WS15	Du hascht heit am meenschte gelehrt un bischt ardig geween, dĕ därfschd ee'nder hämgehn als die annere.
WS16	Du bischt noch net groß genunk far ĕ Flasch Wein̰ aus se trinke, de muschd erscht noch wachse un groß wärre.
WS17	Geh' sei so gut un sah deiner Schwester, sĕ soll die Klärer far auer Motter fertig nähe un met dĕr Bärscht sauber mache.
WS18	Häscht du en ne gekinnt, dann wärsch annerscht kumm un es dät bèsser um ehne schdehn.
WS19	Wer hat mer mei Korb met dem Fleesch geschdohl?
WS20	Er dut so, als härrese ne zum Drèsche beschtellt, sie han es awer selbscht gedun.
WS21	Wem hat er die nei Geschecht verzählt?
WS22	Mer muß hart kreische, sunscht verschteht er uns net.
WS23	Mer sin mied un han Dărscht.
WS24	Wie mer gischter Owend serick kumm sin, do hăn die Anĕre schun im Bett gelèh un ware fescht am Schlofe.
WS25	Der Schnee is heint Nacht bei uns leie bleb, aber heit Morje is er geschmolz.
WS26	Hinner unserm Haus schtehn drei scheene Äbbelbemcher mit rore Äbbelcher.
WS27	Kinnener net noch en Ageblick uff uns waarte, dann gehn mer met auch.
WS28	Ehr dèrfe ken̰ so Kinnereie dreiwe.
WS29	Unsere Berje sin net so hocht, die auere sin vel höchter.
WS30	Wie vel Pund Warscht un wie vel Brod wollen ehr han?
WS31	Eich verschtehn auch net, ehr misse en̰ bißche fèschter schproche.
WS32	Han ehr ken̰ Stickelche weiß Seef far meich uff meim Disch fun.
WS33	Sein̰ Brurer will sich zwee scheene neie Heiser in auere Gaarte baue.
WS34	Daß Wărt is ĕm vum Herze kumm.
WS35	Daß war recht vun ĕne.
WS36	Waß sitze do făr Vöchelcher owĕ uff dem Mäuerche.
WS37	Die Bauere han finf Ochse un neun̰ Küh un zwölf Schäfcher vor Dorf braacht, die wollte sĕ verkäfe.
WS38	Die Leut sin heut all drauß uff'm Feld un mähe.
WS39	Geh noore, der braun Hund dut dĕr nix.
WS40	Eich sin met de Leut do hinne iwer die Wies ins Korn gefahr.
