---
Bogennummer: 32101
Ort: Saarhölzbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Em Wender fliehn die driechen Bläder dorch de Loft.
WS02	Et hiert gleich ob se schneen, dann werd et Wäder widder <(näs)> besser.
WS03	Die Kollen in de Uwen, daat de Milch bal an se koogen fingt.
WS04	De goden aale Maan es met dem Pärd durch et Eis gebrog un in'd kaal Wasser gefaal.
WS05	Hen is für vier Wochen geschtärf.
WS06	Et Feier wor z'häs. d'Koogen sin jo ennen ganz schworz gebrannt.
WS07	Hen ißt d'Är immer uhne Salz un Päfer.
WS08	D'Fies dien mr sier weh, eich gläf , eich hun se durchgelaf.
WS09	Eich senn bei d'r Fra gewiescht, un hun ert gesot, un se hät gesot, sei gäng et ihrer Duder sohn.
WS10	Eich will et nit mei dien.
WS11	Eich schleen dr gleich d'Koogläffel im d'Uhren, dau Aaf.
WS12	Wo gäscht d'hin solle mr mit dr giehn?
WS13	Et sien schlecht Zeiden.
WS14	Mei lief Kind, bleif hei innen stiehn, dei biesen Gäns beißen dich dud.
WS15	Dau häscht haut d'meischt geliert, dau bischt ordig gewiescht, d'därfscht früher häm gien äs die anneren
WS16	Dau bischt noch nit grus g'nug für'n Flasch Wein se drinken, d'muscht drischt en Enn woosen und grießer genn.
WS17	Geih, sei so gut un so deiner Schweschter, se soll d'Kläder für dei Muder firtig nähn un mit dr Bischt rän maagen.
WS18	Hätschte hän kannt dann wäret annerschter kumm, un et hät besser met ehm geschtann.
WS19	Wenn hät mir mei Kärf met Fläsch geschtell.
WS20	Enn deit a su, als hätten sei henn zum Dreeschen beschtallt, s'hunt ewer selwer gedohn
WS21	Wäm hätt henn die nau G'schicht bezällt!
WS22	Mr muß a su hort gräschen, sus beschteid henn et gor nitt.
WS23	Mr sinn e su müd un e so duschterig.
WS24	Als mr gischter Owend z'rück kumm sinn, do hun d'annern schun im Bett gelä un woren fest am schlofen.
WS25	De Schnéi is heut Nood bei us leien bliew, awer heit Morjen is hen beschm...
WS26	Hinner usem Haus stiehn drei schiene Abbelbäumcher mit rude Äbbelcher.
WS27	Kinnt d'r nit noch en Aaenblick uf us waarten, dann giehn m'r mit eich.
WS28	D'r därft nit solch Kinnereie dreiwe.
WS29	Us Berg sinn nit siehr hoh, d'eiern sein viel heiher.
WS30	Wie viel Pund Wuuscht un weiviel Brud willt d'r hun?
WS31	Eich bestiehn eich nit, d'r mießt enn bischen lauter schwätzen </ sprechen>.
WS32	Hun dr kän Stückchen weiß Säf für meich ub meinen Disch gfunn?
WS33	Sei Bruder will seich zwei schiene neue Heiser in eierem Gaarten bauen.
WS34	Et Wurt kom him vun Härzen
WS35	Det war ganz ret von eich.
WS36	Wat sitzen <(hucken)> do für Vielcher owen ub dem Meierche?
WS37	D'Bauern hoden fünf Ochsen un nein Kieh un zwölf Schäfcher fir et Dorf brod, die wulle se bekäfen.
WS38	Diè Leit sein heit all draus uf'm Lèl un mähen.
WS39	Gieh numen, de braune Hund dut dr neischt
WS40	Eich sein mit d'Leit dr hinnen üwer d'Wies ind Kur g'fahr.
