---
Bogennummer: 32195
Ort: Kottweiler
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Im Winder fliegen die trocknen Blätter in der Luft erumm.
WS02	Es hert gleich uff zu schneen, dann werd das Wärrer wirrer besser.
WS03	Du Kohlen in den Owe, daß die Milch bald an zu kochen fängt.
WS04	Der gure alte Mann ist mit dem Perd durch's Eis gebrochen d in's kalte Wasser gefallen.
WS05	Er ist vor vier oder sechs Wochen gestorwe
WS06	D as Feier war zu stark, die Kuche sinn jo unne ganz schwarz gebrennt.
WS07	
WS08	Die Fiße dun mer sehr weh, ich gläb, ich hunn se durchgeloffen.
WS09	Ich bin bei der Fra gewesen und hunn es ihr gesaht, un sie saht, sie wollte es auch erer Dochter sahn.
WS10	Ich will's auch nimmer dun.
WS11	Ich schlage deich mit dem Kochlaffel um die Ore du Aff.
WS12	Wo gescht du hin solle mer met der geh'n
WS13	Es sinn schlechte Zeiten
WS14	Mein liwes Kind, bleinb hier unne steh'n, die bese Gens beißen deich dot
WS15	Du hoscht heite am menschde gelernt und bescht ardig gewäschd, du derfscht früher nach Haus geh'n als die Annern.
WS16	Du bescht noch nett groß genung, um en Flasch Wein auszutrinken, du muscht erscht noch etwas wachse und größer werre.
WS17	Geh, sei so gut und sa deiner Schweschder sie soll die Klärer für euere Motter ferdig nehen und mit der Berscht rein machen.
WS18	Hättest du ihn gekennt! dann wär es annersch kumm, und es det besser um ihn steh'n.
WS19	Wer hat mer meinen K[aè] mit Fläsch gestohlen.
WS20	Er that so, als hätten sie ihn zum Dreschen bestellt; sie hunn es awer selbst gedun.
WS21	Wem hat er die neue Geschichte erzehlt?
WS22	Mann muß laut schreien, sonscht versteht er uns nett.
WS23	Mer sinn müd und haben Dorscht.
WS24	Als mer geschter Owend zurückkamen, da lagen die Annern schon zu Bett und waren fescht am schlofe.
WS25	Der Schnee ist die Nacht bei uns leien gebleb, awer heit Morje ist er geschmelzt.
WS26	Hinner unserm Haus schten drei schene Eppelbämchen mit rore Eppelchen.
WS27	Kennt ehr nett noch en Aueblick auf uns warden, dann gehn mer mit euch.
WS28	Ihr derft nett solche Kindereien treiben
WS29	Unsere Berje sinn nett sehr hoch, die eiern sinn viel heher.
WS30	Wieviel Pund Worscht und wieviel Brod wollt er hawen.
WS31	Ich versteh eich nett, er mißt en bischen lauter spreche.
WS32	Hunn er ken Stickchen weiße Säf für meuch auf meinem Disch gefunden
WS33	Sein Brurer will sich zwä schene neie Häuser in eurem Garte bauen.
WS34	
WS35	Das war rechs von ehm!
WS36	Was sitzen do für Vegelche owe uff dem Mäuerche.
WS37	Die Bauern hetten fünf Ochse und nein Kihe und zwelf Schäfchen vor das Darf gebracht, die wollen sie verkafn.
WS38	Die Leite sinn heit all draußen uff'm Fäld und mehen.
WS39	Geh nur der braune Hund dut der nix.
WS40	Ich bin mett den Leiten do hüme üwer die Wies in's Karn gefahren.
