---
Bogennummer: 33248
Ort: Burrweiler
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Herrgen
Anmerkungen: ''
...
WS01	’M Wender fliegen die trockene Berrer in de Luft rum.
WS02	’S hört gleich uf se schneige, dann werd’s Werrer wirrer besser.
WS03	Dhu Kouhle in de Auwe, daß d Millich bald anfangt se koche.
WS04	Der gure alte Mann esch mim Perd durch’s Eis gebroche, un enns Wasser gfalle.
WS05	Er esch vor vier orrer sechs Woche gschtorwe.
WS06	Das Feuer war sou schtark, die Kuge sin unne ganz schwarz gebrennt.
WS07	Er ißt die Eier unne Salz un Peffer.
WS08	Die Füß dhun merr arg weh, ich gläb, ich heb se dorchgeloffe.
WS09	Ich benn bei dere Frää gewäst, un hab ser g’sagt, un do hot se g’sagt, sie wills ach ihrer Dochter sage.
WS10	Ich wills awer nimi wirrer dhu!
WS11	Ich schlach dehr gleich mir’m Kochlöffel um d’Ohre, du Aff!
WS12	Wo gehscht du anne, sellen merr mit der gäin.
WS13	Sinn schlechte Zeite.
WS14	Mei liebs Kend, bleib drunne stäih, die Gäns beißen dich daut.
WS15	Du hoscht heut am menschte gelernt, un bescht ardig gewest, du derfscht eder heem gäih, as die annere.
WS16	Du bescht noch nit grouß genunk um ehn Flasch Wein auszedrinke, du muscht noch wachse un größer werre.
WS17	Geh sei so gut un sags deiner Schwester, sie soll die Klärer färr ehr Mutter fertig nehe, un mit der Berscht sauwer mache.
WS18	Hetscht n gekennt! Dann wärs annerscht kumme un’s dhed besser um’n schtehin.
WS19	Wer hot mer mei Korb mir’m Fläsch gschtohle.
WS20	Er dhud sou, als hetten sen zum Dresche bschtelt, sie henns awer selberscht geduhn.
WS21	Wem horer die neu Gschicht verzäilt.
WS22	Merr muß laut greische, sunscht versteht’r uns nitt.
WS23	Merr sin Müd un henn Dorscht.
WS24	Wie merr geschdern Owend heme kumme sinn, da sinn se schun all im Bett gelege, un hen fescht gschlofe.
WS25	Der Schnee esch in der Nacht bei uns liege geblewe, heut Morge awer gschmolze.
WS26	Henner unserm Haus schten drei schöne Appelbämlich mit roure Äpplich.
WS27	Kinner kenn Ägeblick uf uns warde, gäin merr mirich.
WS28	Ehr derft kee sou Kennerei treiwe.
WS29	Unser Berg sinn nit sou hoch, die eire sinn vel häicher.
WS30	Wievel Pund Worscht un Brot wenner haun.
WS31	Ich versteh euch nit, ehr müß’n e bißl lauder blaurere <(spreche)>
WS32	Hennehr ke Stückl weißi Säf uff meim Disch gfunne.
WS33	Sei Brurer will sich zwe schäine neue Heiser in unsern Garte baue.
WS34	Das Wort esch’m vum Herze kumme.
WS35	Das war recht von ähne.
WS36	Was sitzen do värrVechlcher uff’m Mäuerle?
WS37	Die Baure hänn fünf Ochse, neu Küh un zwölf Schöflich vors Dorf gebrocht, un hänn se vekäfe welle.
WS38	Die Leut sinn heit all draus uff’m Feld un mehen.
WS39	Geh nerre der braune Hund macht der nichs.
WS40	Ich benn mit denne Leit do henne über d’Wiß ins Korn g’fahre.
