---
Bogennummer: 33271
Ort: Ottersheim
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Elizabeth & Hugo Herrgen
Anmerkungen: ''
...
WS01	Im Winter fliegen die trockne Blerer in de Luft erum.
WS02	S hert gleih uf se schneiche, nod wehrd's Wetter wirrer besser.
WS03	Dhu Kaoule in de Oufe, daßd Millich ball afangt se koche.
WS04	De gut alt Mann esch mirim Gaul durichs Eis gebroche unn ins kalt Wasser gfalle.
WS05	Er esch verr vier awer sechs Woche gschtorwe.
WS06	S Feier esch sa schtark gewässt, die Kuge sinn jo unne ganz schwarz gebrännt.
WS07	Er ißt d Är immer uhne Salz unn Peffer.
WS08	D Fis thin merr weh, ich gläb, ich häbb sä durchgeloffe.
WS09	Ich benn bärr därr Frä gewäßt unn häbb serr gsagt, unn do hott se gsagt, sie wills ach ehre Tochter sage.
WS10	Ich wills nimmi thau!
WS11	Ich schlach derr gleich mirimm Kochlöffl um derr Ohre, du Aff!
WS12	Wu gescht dann nah, sellinn merr mitter gäih.
WS13	Sinn schlechte Zeite.
WS14	Mei lieb Kend, bleib do unne stäih, d bäise Gäns beisin dich dout.
WS15	Du hoscht heit smenscht gelernt unn bescht sartigscht gewäßt, darum dirfscht früher hämgäih wie d Anre.
WS16	Du bescht na nitt grouß genunk um e Flasch Wei aussetrinke, du muscht serscht noch äbis wachse unn gräiser wäre.
WS17	Geh sei sou gut unn sags, dei Schweschter sell die Klärer ferr eier Mutter fertig nehe unn mit de Bürscht sauwer mache.
WS18	Hescht ihn dann gekennt.
WS19	Wer hot merr dann mein Korb mit Fläsch gschtohle?
WS20	Er hot sou gethau, als wie wenn sien zum Dräsche bschtellt herinn, sie henns awer selwer gethau.
WS21	Wemm horrer dann die nei Gschicht vezäillt?
WS22	Merr muß laut sage, sunscht vestehrer uns nit.
WS23	Merr sinn mied unn henn Durscht.
WS24	Wie merr geschtert Owitt serick kumme sinn, do sinn die anre schun im Bett geläche unn hänn fescht gschlofe.
WS25	De Schnee esch in dere Nacht bei uns liche geblewe, awer denn Morge escher gschmolze.
WS26	Henner unserm Haus stäin drei schäine Abelbämlich mit rour Äblich.
WS27	Kinner nit noch in Ägeblick uf uns warte dann gäin merr mirrich.
WS28	Er dürfn kä Kinnereie mä treibe.
WS29	Unser Berg sinn houch, awer eier sinn vel häicher.
WS30	Wiefehl Pund Wurscht unn wievel Braud wenn er hawe.
WS31	Ich ersteh ich nit, err missn e bisl laurer rere.
WS32	Henner kä Stickel weißi Sef ferr mich uf meim Tisch gfune.
WS33	Sein Brurer will sich zwou schäine neie Heiser baue.
WS34	Deß Wort esch vun Herze kumme.
WS35	Deß esch recht gewäßt vun Eich.
WS36	Was sitzen do ver Vöglich uf dem Maierle.
WS37	Die Baure henn finf Ochse unn nei Küh unn zwölf Scheflich vers Dorf gebrocht unn henn se vekäfe welle.
WS38	D Leut sinn heit all drauß uff im Feld unn mehen.
WS39	Geh nerre, der brau Hund thut derr niks.
WS40	Ich benn mit denne Leut do hinne übert Wiss ins Korn gfahre.
