---
Bogennummer: 33725
Ort: Rüsselsheim
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winder fliehe die trockne Blärre dorch die Luft erim.
WS02	'S hert glei uff ze schneije, dann werd 's Werre wirre besser.
WS03	Dhu Kohle in Owe, daß die Milch baal õ ze koche fengt.
WS04	De gure alte Mann eß merrem Gaul dorch den Eis gebroche unn in's kalt Wasser gefalle.
WS05	Er eß verr vier, orre sechs Woche gestorbe.
WS06	'S Feier wor ze haaß, die Kuche sein jo unne ganz schwarz gebrennt.
WS07	Er ißt die Aijer immer ohne Salz unn Peffer.
WS08	Die Fieß dhun merr sehr weh, ich glab, ich honn se dorch gelaafe.
WS09	Ich sein bei der Fraa gewest unn honn 'ser gesoht <(zw. o u. a)> und sie soht, sie wollt's aach ihrer Dochder souhe.
WS10	Ich well's aach nett meh wirre dhõ! <(Nasal)>
WS11	Ich schloue dich glei merrem Kochlöffel im die Uhrn, du Aff!
WS12	Wo gehst de hẽ, selle merr mit derr geh?
WS13	Es sein schlächte Zeite, auch Zeirre.
WS14	Mẽi lieb Kind, bleib do unne steh, die bese Gens beiße dich dodt.
WS15	Du host heit am mãste gelārnt unn best brov gewest, du darfst ehner hãm gẽh als die annern.
WS16	Du best noch nett groß genungk, um a Flasch Wẽi auszetrinke, Du mußt erscht noch ã Bißche wochse unn greßer werrn.
WS17	Geh, sei so gut unn sou deiner Schwester, sie sellt die Klaare ferr eier Modder fertig nehe unn mit der Berscht sauber mache.
WS18	Häst Du 'n gekennt! dann wär's annerscht kumme unn 's det besser um 'n stẽh. 
WS19	Wer <(war)> hott merr mein Korb mit Flasch gestohle?
WS20	Er hot so gedhõ, als hätte se ehn zum Dresche bestellt, se honn's awer selwer gedhõ.
WS21	Wem hot er die nei Geschicht vezehlt?
WS22	Merr muß laut kreische, sunst versteht er ahm nett.
WS23	Merr sein mied unn honn Dorscht.
WS24	Als merr gestern Owend ham kumme sein, do honn die Annern schunn im Bett gelej[e] unn worn fest am Schlofe.
WS25	D' Schnee eß heint Nocht <(zw. a u. o)> bei uns leie blewe, awer heit Morjend eß'r geschmolz[?] {hier ist das Papier beschädigt}
WS26	Hinner unserm Haus stehn drei schene Ebbelbemercher mit rore Ebbelcher. 
WS27	Kennt'r nett noch ã Ageblickche uff uns worde, dann gehn merr mit eich. 
WS28	Eer derft nett solche Kinnereie dreiwe.
WS29	Unser Berg sein nett so hoch, eier sein veel hecher.
WS30	Wie veel Pund Worscht unn wie veel Brod wollt'r hõ?
WS31	Ich vesteh eich nett, ēr mißt e Bische laure schwätze.
WS32	Hätt'r kã Stickelche weiß Saf ferr mich uff meim Disch gefunne?
WS33	Sẽi Brure well sich zwa scheene neie Heiser in eiern Goarte baue. 
WS34	Des Wort eß'm vum Herz kumme.
WS35	Des wor reecht vonn ehm!
WS36	Woas sitze do ferr Ve=elcher uwe uff dem Bemche?
WS37	Die Bauern honn finf Ochse, unn ne͡u Kih, unn zwelf Schefercher vorr's Dorf gebroocht, die wollte se vekaafe.
WS38	Die Leit sein heit all drauß uff'm Feld unn mehe.
WS39	Geh nor, de bra͡u Hund dhut dr nicks.
WS40	Ich sein mit de Leit do hinne iwer die Wies in's Korn gefohrn.
