---
Bogennummer: 34347
Ort: Hetzbach
Sprache: Deutsch
Bogentyp: NMD_1879/80
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winter fliehe die trockne Blerrer durch die Luft erum.
WS02	Es heiert glei uf se schneichen, dann wird des Werrer wirrer besser.
WS03	Thu Kaule in de Aufen, daß die Milch bal se koche afängt.
WS04	Der gure alde Mann is mit dem Perd durch’s Eis gebroche un ins kald Wasser gefalle.
WS05	Er is vor vier orer sechs Woche gestorbe.
WS06	Des Feuer wor se heeß die Kuche sin joh unne ganz schwarz gebrennt.
WS07	Er ißt die Ajer immer ohne Salz und Peffer.
WS08	die Fiß daun mir ser wei, ich gleb ich heb sie durch gelafe.
WS09	Ich bin bei der Frau gewese, un hab es ehr gesat, un sie hat gesat, sie wollte es ach ere Tochter sage.
WS10	Ich will es aach nit mei wirrer thu.
WS11	Ich schlaghe Dich glei mit dem Kochlöffel im die Oern, Du Aff.!
WS12	Wau geist du hi, solle wir mit Dir geh
WS13	Es sin schlechte Zeire.
WS14	Mei liewes Kind bleib hier unne ste, die beicse Gäns beise Dich daud.
WS15	Du host heut am meiste gelernt, un bist artig gewest, du dirhst früher noch Haus geh als die Annern.
WS16	Du bist noch nicht grauß genung, um e Flasch Wie auszetrinke, du mußt erscht noch e En wahse, un greißer wern.
WS17	Gei, sei so gut un sag deiner Schwester, sie sollte die Klärer für euer Mutter firtig nähe un mit der Bürst rein mache.
WS18	Häst du ihn gekennt! dann war es anners kumme, un es det besser um ihn steh.
WS19	Er hot getau, als härre sie ihn zum dresche bestellt; sie hewe es eber selber gethau
WS20	
WS21	Wem hot er die neue Geschichte erzeilt.
WS22	Man muß laut schreie, saust versteit er uns nitt.
WS23	Wie sin müd un han Durscht.
WS24	Als wir nächt Abend serück kumme sin, da habe die Annern scho se, Bett geleihe un habe fest geshclofe.
WS25	Der Schnei is nächt bei uns liege gebliebe; eber heut morge is er geschmolze.
WS26	Hinner unserm Haus stein drei scheine Üppelbäumche mit rore Äppelchen.
WS27	Könnt ihr nit noch en Ageblickche uf uns warte, dann gein wir mit euch.
WS28	Ihr dürft nit so Kinnereie treibe.
WS29	Unser Berje sin nit seir hauch, die euern sin viel heucher.
WS30	Wie viel Pund Wurscht un wie viel Braud wollt ihr habe.
WS31	Ich verstei euch nit, ihr müßt e bische laurer spreche.
WS32	Hät ihr kei Stückche weiße Säfe für mich uf meim Tisch gefunne.
WS33	Sei Brurer will sich zwä scheine neue Häuser in euerm Garte baue.
WS34	Des Wort kam ihm von Herze.
WS35	Des wor recht von ihne.
WS36	Wos sitze do für Vögelchen obe uf dem Mauerche?
WS37	Die Bauern hon gehat fünf Ochse un neun Küh un zwölf Schäfchen vor des Dorf gebrocht, die wollte sie verkaufe.
WS38	Die Leut sin heut all draus uf dem Feld un mähe.
WS39	Gei nur, der braune Hund thut dir nicks.
WS40	Ich bin mit den Leut da hinne über die Wies ins Korn gefahrn.
