---
Bogennummer: 36192
Ort: Ohlsbach
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Victoria Schaub
Anmerkungen: ''
...
WS01	Im Windr fliega druckana Bleder in d'r Luft rum.
WS02	S'hert glich uf zschneie, no wurds Wäder widr bess'r.
WS03	Dua Kohla in da Ofa, daß d Milich bal afangt zkocha.
WS04	Dr guad alt Mann isch midäm Roß durichs Is brocha un ins kald Wassr gfalla.
WS05	Är isch vor viär odr segs Wocha gschdorwa.
WS06	S'Fiar isch zschtarg gsi, dKuacha sin jo ganz schwarz brän̄d.
WS07	Är ißd d'Aier im̄r uni Salz un Bfäffer.
WS08	D Fiäs dimr weh, i glaub i hab si durchgloffa.
WS09	I bin bi dr Frau gsi un habs era gsait un si[e] het gsait sie wills au dr ihra Dochder saga.
WS10	I wills au nim̄i wiedr dua.
WS11	I schlag di gli mit em Kochleffl um dOhra du Aff.
WS12	Wo gesch hi, solla mer midr gi?
WS13	Sin̄ schlechti Zita.
WS14	Min liabs Kind, bli do unda schteh, dia bese Gens bißa di[e] dod.
WS15	Du hesch hit am mi[n]schte glehrt un bisch ardig gsi, du derfsch ehnder heim gi als d'andara.
WS16	Du bisch no nit groß gnua, um a Flasch Wie uszdringa, du muasch erscht noh a wing wachsa un großr wära.
WS17	Geh, sei so guad un sag dinara Schweschdr, sie soll d'Kleidr fir eiari Muadr ferdig naia un mid dr Birschd [s]ufr macha.
WS18	Hädsch nä ken̄t, no wär's anderscht kum̄a un s däd bessr midm schdin.
WS19	Wär het mir mi Korb mid Flaisch gschtohla?
WS20	Er duat so, as häta si na zuam Drescha bschdeld, si häns aber sälwer dua.
WS21	Wäm hedr d'nei Gschicht' verz[e]hld?
WS22	Mer muaß lud schreia, sunsch verschedr uns nid.
WS23	Mer sin miad un hän Durschd.
WS24	Als mer geschdr Owa zruck kuma sin̄, sin̄ dandra schu im Bed gläga gsi, un si[n] feschd am schlafa gsi.
WS25	Dr Schnee isch dia Nachd bi uns liega bliewa; awr hit Morga ischr gschmolza.
WS26	Hindr unsrm Hus schdän drei schini Epflbaimli mit roda Epfili.
WS27	Kint'r nid no ne Augablickli un uns warda, no gä mer midi.
WS28	Ihr derfa nid solchi Kindereia driewa.
WS29	Unsri Berg sin̄ nid arg hoch d'eiari sin̄ viel heher.
WS30	Wia viel Pfund Wurst un wia viel Brod welanar ha.
WS31	I vrschtei nit, [e]r miasa a bisli ludr schwäza.
WS32	Hänn'r kai Stückli wissi Saif fir mich uff mim Disch gfunda.
WS33	Si Bruädr will sich zwai netti nei'i in eiarm Garta baua.
WS34	Des Word kam ihm vo Herza.
WS35	Des war recht vo ihna.
WS36	Was sitza do fir Vegeli owa ufam Mirli.
WS37	D'Bura hän fünaf Ogsa un nin Kiha un zwelf Schof vors Hus brocht, dia wollta sie verkaufa.
WS38	D'Lit sin̄ hit alli dus uffam Fäld un maia.
WS39	Geh nur dr brun Hund duatr nigs.
WS40	I bin mid da Lita do hinda übr d'Matta ins Korn gfahra.
