---
Bogennummer: '36588'
Ort: Selbach
Gid: 133643
Transliterationsprojekt: REDE
Transliterent: Leonie Schulz
Erstelldatum: 2025-06-25 11:07:34.859487
Änderungsdatum: 2025-06-25 11:07:34.859487
Satzversion: 1
...
WS1	Ĭm Wintăr flieget die trůckène Blèttăr in dr Lůft rŭm. 
WS3	Dŭ Kōhlĕ in dĕn Ŏffĕ, daß d'Milĭch băl ā̂z' kŏchĕ fângt. 
WS4	Dăr gŭ̄t alt Mânn isch mit [?]e Roß dŭrch's Ĭß gĕbrŏchĕ ŭn in's kaltè Wăssăr g'făllè̆. 
WS5	È̆r isch vor vier ŏdr sechs Wŏchè̆ g'schdorwè̆. 
WS7	È̆r è̆ßt d'È̆iĕr immăr ōhnè̆ Sălz ů̆n Pfè̆ffăr. 
WS9	Ĭch bĭn bĭ dr Frā gwè̆ ŭn hè̆bb's è̆rè̆ gsāgt, ŭn sè̆ sāgt, sè̆ wé̆lls ā ĭhrè̆r Dōchtăr sārè̆. 
WS11	Ĭch schlāg dĭ glĭch mĭt'm Kŏchlé̆ffè̆l ům d'Ō̂hrè̆, dŭ Ăff!
WS15	Dŭ hăsch hĭtt âm mḕnschtè̆ g'lĕ̀rnt ŭn bĭsch ārtĭg g'wḕs, dŭ dărfsch nach Hū̆s gī̂h als d'Ândè̆rè̆. 
WS17	Gḗh, sei so gē̆t ŭn sāg dinè̆r Schwĕ́schtăr, sĭe sŏllt' d'Kleidăr fĭr d'éiĕr Mū̆dăr fĕ́rtĭg năiè̆ ŭn mĭt dr Bīrscht sūw'r măchè̆.
WS19	Wằr hăt mir mĭnè̆ [H]āin mit Flāĭsch gschdōhlè̆? 
WS20	È̆r hăt sŏ [d́a ̰̆un], ăls hè̆nn sè̆n zŭm Drĕ́schè̆ bschdĕ́llt; sè̆ hè̆nn's ăwèr sè̆lwăr [d́a ̰̆un]. 
WS24	Wô mir gĕ́schdè̆rt ā̂wè̆d zrŭck kŭmmè sĭe, nô[t[ sĭe d'Ă̂ndè̆rè̆ schô im Bĕ́tt glè̆iè̆ ŭn sin fĕ́scht â̆m Schlō̂fè̆ gwḕs. 
WS26	Hĭngè̆r ůnsè̆rm Hū̆s stḗhe drĕ́i schīnè̆ Ăpfè̆lbḕmlè̆ mit rō̂tè̆ Ăpfĕ̀lĕ̀. 
WS32	Hè̆nnt'r kèi Stĭkl Sāif fĭr mĭch ŭff'm Dĭsch gfŭngè̆? 
WS33	Sĭ Brū̆dè̆r will sich zwāi schînè̆ nŏuè̆ Hīsăr in ĕiè̆rm Gārdè̆ bŏŭĕ̀. 
WS34	Dăs Wōrt ĭsch'm vŏm Hè̆rzè̆ kû̆mmè̆. 
WS36	Wăs sĭtzĕ̀ dô fĭr Végĕ̀lĕ̀ ŏwè̀ ŭff'm Mīrlĕ̀? 
WS37	Die Bū̆rè̆ hĕ̀nn fü̆nf Ŏksĕ̀ ŭn nè̆i Rīh ŭn zwĕ́lf Schḕflè̆ vor's Dorf brō̂cht, die hè̆nn sè̆ vĕ̀rkāfĕ̀ wĕ́llĕ̀. 
WS38	Die Lĭt sĭn hĭt ăllè̆ dŭß ŭff'm Fĕ̀ld ŭn măiĕ̀t. 
WS40	I bin mit dĕ Lĭt da hinte üwĕr d'Wĭssĕ ins Korn gfāhră. Ĭch bin mit dè̆n Lĭt dă̂ hĭngĕ̀ ü̆wĕ̀r d'Wĭssè̆ in's Korn g'fāhrè̆. 
