---
Bogennummer: 36911
Ort: Yach
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Wintr fłiaga die trukana Bléttr in dr Luft rum.
WS02	s härt gli uf zschnéia, d̆rnā wirds Wättr widr béssr.
WS03	Thu Kohla in Ofa, aß d Milich bal z kocha afangt.
WS04	der gut alt Mann isch mit èm Pfärd durs Is brocha un ins kalt Wassr gfalla.
WS05	Er isch vor viar odr séks Wocha g’schtorba.
WS06	s Für isch z schtark gsi, d Kucha sin ja unta gans schwāz brènnt.
WS07	Er ißt d Aièr allawil ūni Salz un Pfäffr.
WS08	d Füß tü mr weh, i glaub i hangsi durgloffa.
WS09	J b̄in bi dèr Frau gsī un hangèr es gsait, un si hét gsait, si héts au ihrer Dochtr saga wélla.
WS10	I wills au ňimi widr thu.
WS11	I schla di glī mit èm Kochlöffl um d Ōhra, du Ăff!
WS12	Wu gosch na, solla mr mit dr gū?
WS13	Sin schlǟchti Zita!
WS14	Mi liaw King, blib unta schtu, di bäsa Gängs bissa di dot.
WS15	Du hésch hüt am müschta glèhrt un bisch brav gsi; du dérfsch früar hèim gu as di Andara.
WS16	Du bisch no nit groß gnu, um a Flascha Wi usztrinka, du musch èrscht no épis wāsa un gräßr wèra.
WS17	Gang, séi so guat un sag diner Schwéschtr, si hét solla d Klaidr für éuri Muatr fétig näia un mit dr Büsta suwèr macha. 
WS18	Hättscht du a kennt! dr̆nā wärs andärscht kuma, un ès thät béssr um a stū. 
WS19	Wär hét mr mi Korb mit Flaisch gschtohla?
WS20	Èr hét so thu, as hätta si a zum Drescha bschtellt, si hängs awr sälbscht thu.
WS21	Wäm hét r di néi Gschicht vèrzélt?
WS22	Mr muaß lut schréia, suscht vèrstōht èr is nit.
WS23	Mr sin müad un hän durscht.
WS24	Wu mr geschtr Awa zruk kumma sin, da sin die Andara schu im Bett glega un sin fescht am schlafa gsi.
WS25	Dr Schnee isch di Nacht bi is liga bliwa, awr hüta Morga isch r gschmolza.
WS26	Hintr iserem Hus schtän drei schüni Epflbaimli mit rotan Epfili.
WS27	Känan r nit no a Augablickli uf is wāta, drnā gämr mit i.
WS28	Ihr déffa nit so Kindaréia triwa.
WS29	Isèri Bèrga sin nit sélli hoh, eüri sin viel häiar.
WS30	Wiaviel Pfung Wuscht un wiaviel Brod wä̆ng r ha?
WS31	I vèrstang i nit, ihr mīasa a Bitzili lütr schwätza.
WS32	Hän r a Stückli wissi Saipfa fürmi uf mim Disch gfunga?
WS33	Si Brudr will sich zwai schüni néüi Hüsr in éuram Gata boua.
WS34	Dés Wōt isch èm vu Hèza kumma.
WS35	Dés isch rächt von Ihna gsi!
WS36	Was sitza da für Vögili owa uf dèm Mürli?
WS37	D Bura häng fümf Oksa un nü Küei un zwölf Schäfli vor s Dorf bracht, di häng si vrkaufa wélla. <(meistens di häng si wella verkaufa)>
WS38	D Lüt sin hüt alli dussa uf èm Fäld un mäia.
WS39	Gang nur, dr bru Hung dut dr ninnt!
WS40	I bin mit da Lüta da hinta üwr d Wīsa <(mehr Matta)> ins Korn gfahra.
