---
Bogennummer: '40065'
Ort: Neukirchen beim Heiligen Blut
Gid: 86333
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-05-29 12:49:55.814743
Änderungsdatum: 2026-06-01 08:04:35.971086
Satzversion: 1
...
WS1	Im Winta fluign dö druckan Lauba in da Luft um̄aa|tum {senkrechter Strich}.
WS2	Ös hert glei āf zum Schneim, nacha wirds Wäda wieda bessa.
WS3	Da͡ou Kula in Ofa, das Mül bā|üd {senkrechter Strich} z'kocha ōfangt!
WS4	Da guat oalt Mo is mitn Ros durs Eis brŏcha und is öns koalt Wossa gfoalln.
WS5	Voa vĭa oda söx Woacha is a gschtarm.
WS6	Dös Leö|üd {senkrechter Strich} brinnt zschtarg; K|eö̆ü|chal {senkrechte Striche} san ja am Ban gans schwoaz eabrennt.
WS7	Ehr ißt dā|üer {senkrechter Strich} allmos ohne Soaz und Pfäffa.
WS8	D' Fē|üß {senkrechter Strich} dant ma we|üh {senkrechter Strich}; i glau ös san ma offa.
WS9	I bi bei da Frau gwön & hon ihrs gsāgt und düsel hod gsoāgt, dā̰s es ir|ran̄a {senkrechter Strich} Dochta scho soāgt.
WS10	I wöll's gwiß nim̄a dăou. 
WS11	I schloag dö glei midn Koo|lüffö {senkrechter Strich} āf't Oa|rn {senkrechter Strich} ăuffi du Ăff.
WS12	Wo gĕö|jst {senkrechter Strich} den hī; solma mitgöh?
WS13	Ös san schlächt Zeidn!
WS14	Mei liabs Kind, blei hör|unt {senkrechter Strich} stöh; dö be|üsn {senkrechter Strich} Göns dabeißn di!
WS15	Du host heḭ̄ts finehra glernt und bist broav gwen; du därfst ehnda hoamgöh wos dö andarn.
WS16	Du bist no nöt gra͜ŏu|us {senkrechter Strich} <tief!> gn|oṵ {senkrechter Strich} <tief sprechen.> dast a Flaschn <tief> Weḭ|ö {senkrechter Strich} dringa ko̰st; du m|oṵst <tief> zsörst no waxn und größa wern.
WS17	Ge|öü {senkrechter Strich} <tief> se|͡ü {senkrechter Strich} so guat und sogs deina Schwestan, daß's Gwanta füa enga Muadaa firti mocht und mit da Bürschtn ausbürschtet.
WS18	Hä|üstn {senkrechter Strich} kennt, nacha wärs an|nas {senkrechter Strich} kem̄a und ös ständ <hoch!> bössa um erm.
WS19	Wer hoad ma denn mein Ko|ahr {senkrechter Strich} midn Fleisch gschtehln?
WS20	Ähr ho̰a̰d aa so̰ do̰, als wen̄s'n zon dröschn ḛḭ|jgschte|üt {senkrechter Strich} he|ütn, ham̄ats oaba nochat se|ül {senkrechter Strich} do.
WS21	Wäm hoad aa den dö nu|ü {senkrechter Strich} Gschicht daze|üt {senkrechter Strich}.
WS22	Ma|u {senkrechter Strich} m|a͡ou {senkrechter Strich} schtarg schre|ü {senkrechter Strich}, sist vorschted aa uns nöt.
WS23	Mia san me|üjd {senkrechter Strich} und ham̄a Dūascht.
WS24	We|ü {senkrechter Strich} ma göstan am Ōamt zruckkem̄a sand, do san dö andarn scho im Bött gwen & ham̄at gschloffa.
WS25	Da Schnee ist hḛḭnt Nacht bei uns liagn bliabn, obr heit fre|ǖ {senkrechter Strich} is aa gschmulzn.
WS26	Hinta unsan Haus hint schtehnat dru|i {senkrechter Strich} schönö Apfelbäumal mit ro͜utn Epfln.
WS27	Könnts nöt a <hoch> aa {Anmerkung undeutlich} bissal wartn, dann gem̄a mit önk.
WS28	Ös däefts ko͜a|n̄ö solchan Kinda|rei|an {senkrechter Strich} dreim. {siehe GWS 30}
WS29	Unsarö Bergn sand nöt recht ha͜ou; dö engan san vo|üll {senkrechter Strich} hö|͜üa {senkrechter Strich} <tief>. {siehe GWS 28}
WS30	Wo|üll {senkrechter Strich} vöüls Pfund Wurscht undt wöüll wo͜üll Bro͜ăud wö|ülls {senkrechter Strich} habe?
WS31	I voschteh önk nöt, ös me|üßts {senkrechter Strich} aa weng gre|üßa {senkrechter Strich} schwatzn.
WS32	Habts koa Bröckl weißö Soaffa für mi af mein Disch funna̰?
WS33	Sei|ü {senkrechter Strich} Bruada wu|üll {senkrechter Strich} sö zwoa|a {senkrechter Strich} schönö nu|ü {senkrechter Strich} Heisaa ön önkan Goadn ei|üba̰ṵ {senkrechter Strich}.
WS34	Dös Woard is erm vum Herzn kem̄a.
WS35	Dös is rächt von enk gwen!
WS36	Was sitzn den da fü|a {senkrechter Strich} Vögal om aufn Mei|al {senkrechter Strich}?
WS37	Dö Bauan ham̄at fümf Oxn und nei|ü {senkrechter Strich} Ke|üh und zwe|üf {senkrechter Strich} Scho͡af vos Doad außü brāad und we|üllns {senkrechter Strich} vokāffa.
WS38	Dö Leid san hḛint oaltzan daust am Fe|üld {senkrechter Strich} und ma<hoch>nd.
WS39	Ge|üh {senkrechter Strich} no, da bra̰ṵ Hund tho̰ṵd da nix.
WS40	"I bi mid dö Leidn da̰|ṵ {senkrechter Strich} <tief> hint übert Wies ö̰s Koarn gfoarn. <Fast sämtl. Vokale, namentl. aber das ""ü, e, a, o"" s̱e̱ẖṟ tief & durch d. Nase sprechen."">"
