---
Bogennummer: 41309
Ort: Feldkirch
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: ''
...
WS01	Im Winter fliä̆ge diĕ truckene Blätter in d'r Luft rum.
WS02	's hört gli uf z schneie drno wurd s Wetter widder besser.
WS03	Dua chole in de Ofe, daß d Milch ball anfangt z choche.
WS04	Dr guet alt Mann isch mit dm Roß dur s Is broche un ins chalt Wasser keit.
WS05	Èr isch vŏr viër odder sex Woche gschtorbe.
WS06	S Für isch z schtarch gsi d Chueche sin̄ jo unte ganz schwarz brännt.
WS07	Èr ißt d' Eier alliwiel uhni Salz un Pfäffer.
WS08	D' Füeß düén mer selli weh i glaub i há 's durgloffe.
WS09	I bḭ bi dr Frau gsi un han eres gsait un sie hett gsait, sie will s a ihrer Dochter sage.
WS10	I will's a nimmi dua.
WS11	I schla dĭ gli mit dm Chochlöffel um d Ohre du Aff.
WS12	Wu gosch hi miämĕr mit dr goh.
WS13	S' sin schlachti Zitte.
WS14	Mi liëb Chind blieb dunte stoh dië böse Gäns' bisse dĭ dot.
WS15	Du hesch hit am mehste glehrt un bisch artig gsḭ, du darfsch füjer heim goh aß dië Andere.
WS16	Du bisch no nitt groß guã, um e Fläsche Wī usztrinke, Du muăsch zerscht noch ebis waxe un größer wäre.
WS17	Gan̰g bḭ so guat un sag dire Schweschder, si sollt d' Chleider für euer Muetter fertig naje un mit dr Bürschte sufer mache. 
WS18	Hätsche chän̄t, no wär's anderscht chu, un's det besser ume stoh.
WS19	Wär hett mr mī Chorb mit Flaisch gschtohle?
WS20	Er hett so dua, aß hätte s'nä zum Dresche bschtellt si hän̄ s aber sälber do.
WS21	Wem̄ hett'r di neu Gschicht verzellt?
WS22	Mä̆ mues lutt brüalla suscht verstoht'r uns nitt.
WS23	Mr sinn müad un hän̄ Durscht.
WS24	Als m'r geschd'rt z'obe zruck chumme sinn, do sinn die Andere scho im Bett gläge u sin̄ fescht am Schlofe gsi.
WS25	D'r Schnee ist hütt z'Nacht lige blibe, ab'r hütte Morge isch'r vergange.
WS26	Hinter unserem Hus stehn drei nätti Epfelbaim rote Epfili.
WS27	Chön̄tener nitt no en Augeblickli uf is warte, dr no gehm'r mit üch.
WS28	Ihr derfet nitt so Chindereie triebe.
WS29	Unseri Bärg sin̄ nitt selli hoch, diè eurige sind viel hächer.
WS30	Wiëviel Pfund Würscht un wiëviel Brod wän̄'r ha.
WS31	I verstand üch nitt, ihr müeß a bitzili lutter schwätze.
WS32	Hänn'r chei Stückli wissi Saipfe für mich uf mim Disch gfunde?
WS33	Sī Bruadr will sich zwei schöni neui Hǖser in euer Garte boue.
WS34	S' Wort isch ĕm vă Härze chu.
WS35	Des isch rächt gsi vun ene.
WS36	Was sitze do für Vögili obe uf ĕm Mürli?
WS37	D' Bure hen̄ fünf Oxe un nün Chüe un zwölf Schöfli vor's Dorf brocht cha, diē hen̄ sī verchaufe welle.
WS38	D' Lütt sin̄ hütt alli dusse uf'm Fäld un maje.
WS39	Gang nur d'r brun Hund duat d'r nitt.
WS40	I bi mit de Lütte do hinte über d' Matte ins Korn gfahre.
