---
Bogennummer: 42067
Ort: Garmisch
Sprache: Deutsch
Bogentyp: SD
Erhebung: ''
Transliterationsprojekt: REDE
Transliterent: Lars Vorberger
Anmerkungen: ''
...
WS01	Im Winter flieag'n dia trockna Blätter in dr Luft umanand.
WS02	Es hört glei auf z'schneim, nocha wird s' Wetter wieder besser.
WS03	Thua Kohl'n in Of'n, daß d' Milli bold z' kochen anfangt.
WS04	Der guate olte Mon ischt mit'm Roß durch's Eis broch'n und ins kolt Wasser g'folln.
WS05	Er ischt vor' a vier oder sechs Woch'n g'schtarbn.
WS06	S' Fuier war z'keiht d' Kuachn san ja unt ganz schwarz verbrent.
WS07	Er ißt d' Oar ollwö ohne Salz u. Pfeffer.
WS08	D' Füaß thean ma weah, i glob i hons durchgloff'n.
WS09	I' bin bei der Frau g'wesn und hons ihr g'söt und sie söt sie wollt's ihra Tochter sog'n.
WS10	I' wills ou nimmer thoan.
WS11	I' schlog di glei mit'm Köller um d' Oahrn; du Aff.
WS12	Wo gea'scht hin, solln ma mit' dr geah'n
WS13	Es san schlechte Zeit'n.
WS14	Mein liab's Kind, bleib dunt steah'n dia böas'n Gäns beiß'n di toadt.
WS15	Du hascht heunt am merscht,n g'lernt und bischt hau_li gwes'n du därfscht früher hoam geah'n als dö Ander'n.
WS16	Du bischt no it groaß genua um a Flasch'n Wein ausz'trinken, du muascht erscht no a biss'l wachsen u. gröaßer wern.
WS17	Geah sei so guat u. sog deiner Schweschter sie soll s' G'wand für Encher Muater ferti nahn u. mit dr Bürscht'n sauber mach'n.
WS18	Hascht'n kennt, nacha wär's anderscht kömma und s' that anderscht um eam steah'n.
WS19	Wer hat ma mein <#>K[?]rb mit Fleisch g'schtuhln? </: g'schtuln:/> #Karb:/>
WS20	Er hat so thon als ob s'n zum dreschen b'schtellt hob'n sie hob'ns aber sell thon.
WS21	Wem hot er dia nui G'schicht erzählt?
WS22	Ma muaß keiht schrei'n sinscht versteaht er uns it.
WS23	Mir sön müad und hob'n durscht.
WS24	Wiea me nacht auf d'Nocht z'rückkömma sön, sön die oan schon im Bett g'legn und hob'n keiht g'schlafen.
WS25	Der Schneea ischt d' Nocht bei'n üns lieg'n blieb'n aber heunt z'margascht ischt er g'schmolzen.
WS26	Hinter unserm Haus steah'n drui schöane Aepfelbamlan mit roathe Aepfel.
WS27	Könnt's ihr it no a bissle auf üns warten, nacha geah'n mr mit Ench.
WS28	Oes dürft's koan sölle Lollereien treiben.
WS29	Uensern Berg sön it so hoach, die Enchern sön viel höcher.
WS30	Wiea viel Pfund Würscht und wieaviel Broad mögt's oes hob'n?
WS31	I' versteh ench it, oes müaßt's a bissle lauter red'n.
WS32	Habt's ös koan Stückle Soift'n für mi auf mei'm Tisch g'funa?
WS33	Sein Bruader will sie zwoa schöane nuie Häuser in encherm Garten bau'n.
WS34	Dös Woart ischt eam von Herzen kömma.
WS35	Dös ischt von ench recht g'weßt.
WS36	Was hocken da für Voegel auf dem Mäuerle?
WS37	Diea Bauern hob'n fünf Ochsen 9 Küah, und 12 Schof vor's Dorf brocht, und hobn's verkoffen wöll'n.
WS38	D' Leut sön heunt ollsamm auf'm Feld und mah'n.
WS39	Geah nur dear braun Hund thuat dr niacht's.
WS40	I' bin mit dö Leut da hinten über d' Wiesen in's Koarn g'fohr'n.
