---
Bogennummer: '42401'
Ort: Hautcharage
Gid: 143137
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Erstelldatum: 2025-06-10 08:47:25.151167
Änderungsdatum: 2025-06-10 08:47:25.151167
Satzversion: 4
...
WS1	Amm Wanter rennen de drechen Blierder ann der Lugt erem.
WS3	Dé Kôelen ann den U͡även dass t' Melech bald un fängt ze kachen.
WS4	De guden alen Mann ass mam Pierd durch t' Eis <Eeis> ge brach ann ann dat kual Waser gefo͡al.
WS5	Hen ass fier feér Wochen oder sechs Wochen geschtuerven.
WS7	Enn esst t' Eerr emmer ohne Salz a Peffer.
WS9	Ech war bei der Fro͡a an ech hun er et gesot an sie huett gesot sie géf hierem Mädchen et och soen.
WS11	Ech schloen dech mam Ko͡achläffel em t' O͡eeren, du Aaf.
WS15	Du huess haut amm meschten geléert, du bass orrtlech gewiescht du ko̊͡annst éschter häm goenn wie de Āner <Ānner>.
WS17	Géh, séh so͡en gut ann soo denger Seschter si soll Kläder fir deng Mamm férdeg maen ann matt der Bischt ränglech ma|en.
WS19	Wén huett mer <máer> män Kuerff maé Flääsch ges͡tuell
WS20	En huett eso͡eu gemäht, ewé wann sé hien tzum Dreschen bestallt hätten sie hun ett ierver selver gemäht.
WS24	Wé merr gescht t'en Ovend erem sin ko̊͡am, lugen dé anner schun all am <ann> Bett ann waren ferem um schlōffen.
WS26	Hanner eisem Haus schtinn dréé schéner Äppelbémercher matt ro͡euden Appelcher.
WS32	Huert derr é Stck weis Sééf fir mech opp eisem Desch fonnt.
WS33	Sän Brudder wiellt sech zwé schéner neier Heiser an ierem Go͡art bauen.
WS34	t' Wuert ass hiem fum Härz [komm].
WS36	Watt zett zen fier Fillercher do opp der Maierchen.
WS37	T' Bauern haoten feneff Oxzen, ann neng Keé, ann zwielleff Schévergen dir und t't Duerff bruett dée wollten se werko͡afen.
WS38	T' Leit sinn h[au]tt all do ba͡ussen opp dem Feld am ze méhen.
WS40	Ech zin matt de Lett do hannen iver t' Wissen ann Ko͡ar gefuerr.
