---
Bogennummer: 42662
Ort: Frauenkirchen
Sprache: Deutsch
Bogentyp: A_II
Erhebung: ''
Transliterationsprojekt: SyHD
Transliterent: ''
Anmerkungen: '{Es konnten nicht alles Diakritika übertragen werden.}'
...
WS01	Im Winter fliegn die tien Plaln in der Luft umarnanda.
WS02	Es heat schon auf von schneim unds Weda wied pessa.
WS03	Leg Khuin ein in Ofa, dass die Müli zum sian anfangt.
WS04	Ta kujdi ojdi Man is mitn Ross in Eis einbrocha und ins koidi Wossa kfolln.
WS05	Er ist voa via oda sechs Wochan gstoam.
WS06	Das Feuer zo stoak, dass si die Peigln olli anprennt ham.
WS07	Er ist die Oa ohni Soiz u Pfeffa.
WS08	Die Fiess tama so wehm als wan i mas duachkrennt hät.
WS09	Ich bin bei der Moam kewst u. hob ia ksogt, u sie hot ksogt, sie wiads a ihra Tochta sogn.
WS10	I tuas nima mea.
WS11	I schloch ti klei mitn Khollefl um die Oawaschl du Off.
WS12	Wo kesten hin, loss mi a mit kein.
WS13	Die Zeitn san hiaz schlechts.
WS14	Mei liabs Kind pleib truntn stei, die Gäns freissen di tot.
WS15	Tu host heit am meistn kleant u. bist prar kwest, tu teaost glei hoam kei. - ois die aundan.
WS16	Bist nonid kros, knua um a Floschn Wein aussaufa, muast nau wokon u kressa wean.
WS17	Geh soks deine Schwesta si suj die Kwanda für deine Mujda fiati nah u auspierstn.
WS18	Hettn die eam fria khennt to waskanz anest, keima u es stangat bessa um eam.
WS19	Wea hot mia mein Khoab u Fleisch kstuin.
WS20	Ea hot so tan ojs wans eam hättn zum Treschn k[??]ma tawei hamsas söbst kmocht.
WS21	Wen hot ea die neichi Kschicht ta zöht?
WS22	Man muss stoak schrein sunst vesteht er unsa net.
WS23	Mia san miad und san tuasti.
WS24	Als mia kestan auft Nocht hoam kema san san ti aundan scho klegn u ham kschloffa.
WS25	Ta Schnee is üba Nocht bei uns liegn plibn ova heit in der fria isa wida zkann.
WS26	Hinter unsa Haus stehna trei Epfülpama u ham roui Epfün.
WS27	Woats a pird, taun keima mitananda.
WS28	Ia teafz nid soa Kindekspü treim.
WS29	Unsari Beach san nit so hoch engare san fü hehe.
WS30	Wia fü Pfund wuast u. Prod wolzn hom.
WS31	I vasteh eng nit miaszt a pisst pessa schrei.
WS32	Hobz es kha trum Soaf auf mei Tisch kfundn.
WS33	Sei Pruida wird si zwoa neihi Häusa in Gaatn paun.
WS34	Das Wot khimmt eam von Heaz.
WS35	Tes hoda recht kmocht.
WS36	Was sizn to fia Vögl fromat auf da Maua
WS37	Ti Pauen ham fünf Ochsn u nein Khia u 12 Schof vias Doaf procht, te wölns vakaffa.
WS38	Ti Leut san heit olli trausan am [beca] und tan maa.
WS39	Ke fuat ta Hund is prav ea tuita nix.
WS40	I pin to hinta mit ti Leit übet wiesn ins Troat kfoan.
