---
Bogennummer: '42775'
Ort: Robach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 89f3b43c-b178-451a-bdcb-fe3febcd75d4
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.632416'
...
WS1	"Im Weentĕ flüügid di trockna Blacka ""i dĕ Loft"" umme-n-and."
WS2	'shöĕt wädli ūf schneiĕ, denn wärd s'Wättĕ widĕ bessĕ.
WS3	Tos Chohlĕ in Ofĕ iĕ, dass d'Milĕch bald süüt.
WS4	Dä guet alt Maa ischt met-ĕm Ross dös Is is chald Wassĕ iĕ keit.
WS5	Ea ischt voă viă odä sechs Woche gschtoōbä.
WS6	s'Für ischt z'gross, k'Kuächa sönd onne (ganz schwarz) verbrennt.
WS7	Eă esst d'Eiă all ohni Salz ond Pfeffä.
WS8	Pfüess tönd meă weh, i globă sỹ sönd off.
WS9	I bi bi de Frau gsee ond hanneres gsäd. Sie hed gsäd, sie wells eă-n-eră Meëtl sägä.
WS10	I will's au nommă tuă.
WS11	I hau de sofoät met em Chochlöffl omm d' Ohrä ommi, du Aff.
WS12	Wohee gohscht? Törid mer met chō?
WS13	's sönd schlechti Zită.
WS14	Mi liebs Chend, bliib do onne, die böse Gäns biissed di tod.
WS15	Du bischt de fliissischt gsee ond am brävste. Du tarscht vor de andere hä (ei) (ä geschlossen).
WS16	Du bischt z'chlii zom so viel Wii trinkä. Du moscht zeäscht no grössā weädā (wachsä).
WS17	Gang bis so guăt ond säg dinä Schwöschta si söll för eueri Muata Kleida näia ond su̱ba usböasta.
WS18	Hettischt-a kennt. Denn wärs andescht usa cho ond ständ bessă met-em.
WS19	Weă hed meă de Chorb voll Fleisch gschtŏlă
WS20	Sü händ tue as öbs ea gsee wär. Sü sönds abă selbă gsee
WS21	Wemm häd eă di neu Gschicht verzellt?
WS22	Meă mos luut rüăfă sös veschtohd ea üs nüd.
WS23	Mea̯sönd müed ond hend Toascht.
WS24	Wo-mma gescht z'Oobed zrogg (hä) chō sönd, sönd die änă scho im Bett gsee ond händ fescht gschlōfä.
WS25	I dere Nacht ischt de Schnee bi üs ple̊bă. Abä hüttä Moregă isch ea vegangă.
WS26	Hender üserem Hus schtönd drei schö (offen) Epfelbömm met rote Epfl.
WS27	Chönntid Eer no ĕ Wiili off üs waăta. Denn chömă met.
WS28	Eă törid kä derĕ Buobastöckli măchă.
WS29	Üseri Beăg sönd nüd asa höch. Eeneri sönd höcher.
WS30	Wia vill Pfond (offen) Brōd ond wia vill Wöăscht wend-ēr? - hettid eă geăn
WS31	I veschto-ne en nüd, ea mönd luută schwätze.
WS32	Händ ea mini wiiss Säpfa off  mimm Tisch nüd gfonda?
WS33	Em sin Brüadă will i enerem Gaăta zwä schöni neui Hüüsa baue.
WS34	's ischt em vo Heăza cho wa-n-a gsääd hed.
WS35	Da ischt recht gsee vo eu.
WS36	Wa för Vögeli setzid zobescht off em Müurli?
WS37	Pura hend föf Ochsă ond nü Chüa ond zwölf Schö̱fli vor-s Dorf usa pracht. Sü hends wela vechaufa.
WS38	T'Lüüt sönd hütt ali off emm Feld ossa ond tönd mäja.
WS39	Gang no, de brū Hond tod-deă nütz.
WS40	I bi met de Lüt do henna (abe nüd im Appazellaland) öbe d'Wes is Chorn gfahra.
