---
Bogennummer: '42790'
Ort: Wolfhalden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 621114d7-33e4-4306-b280-c0175af633e5
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.865909'
...
WS1	Im Wenter flügid di trochne Blacke i de Loft ommanand.
WS2	S' hört grad uf schneia, denn werd s'Wetter wieder besser.
WS3	Tos Chola in Ofa, das d'Milech gschwind afangt süda.
WS4	De guet alt Maa ischt met em Ross dörs Is broche ond is chalt Wasser gfallä.
WS5	Er ischt vor vier oder sechs Woche gstorbe.
WS6	S'Für ischt gross gsi, d?Chueche sönd jo onne ganz abronne.
WS7	Er isst d'Eier all ohni Salz ond Pfeffer.
WS8	D'Füess tömmer schuli weh, i globe, i ha Blotera.
WS9	I bi bi de Frau gsi, ond anneres gseid, ond sie hed gseid, sie wells au ihrnere Töchter säge.
WS10	I will au nomma tue.
WS11	I schlo der gad de Chochlöffel ob d'Ohren ommi, du Aff.
WS12	Wohee goscht, söllid mer met dr goh?
WS13	Es sönd schlechti Zitäe.
WS14	Liebs Chind, blieb do onne stoh, di böse Gäns biessetti tod.
WS15	Du hescht hüt am meiste glernet ond bist ordli gsi, du t[ä]rscht früejer ha goh as di andere.
WS16	Du bist no nüd gross gnueg zum e Fläsche Wii ustrinke, du moscht zerscht no e chli [wachli] ond grösser werde.
WS17	Bis so guet ond säg diner Schwöster, sie söl s'Häss füer d'Muetter ferti näye ond met de Börste suber mache.
WS18	Wennte du gkennt hettischt, so wärs anderst usecho, ond es stüend besser om ee.
WS19	Wer hed me min Chorb metem Fleisch gstole.
WS20	Er hed tue, wie wenns eh zum trösche bstellt hettid; sü hents aber selber tue.
WS21	Wem hed er di neu Gschicht verzellt?
WS22	Me mues lut bröhle, sös verstohd er em n[ü]d.
WS23	Mer sönd müed on hend Torscht.
WS24	We mer gester z'Obet zrogg cho sönd, sönd di andere scho im Bett gsi und hend scho fest gschlofe.
WS25	De Schnee het si die letscht Nacht scho möge legge, aber hüt de Morge ischt er wieder vergange.
WS26	Hender üserem Hus stönd drei schö Öpfelböm met roten Öpfeli.
WS27	Chönid er nüd e chli of üs wärte, dem göhmer me egi.
WS28	Ihr törid nüd e so ggööfelet tue.
WS29	Üseri Berg sönd nüd gär e so höch, eueri sönd viel höcher.
WS30	Wöviel Pfond Wüerst ond wöviel Brod wönd er?
WS31	I verstohnegi nüd, er mohnd e chli lüter schwetze.
WS32	Händ er ka Stückli wyssi Sapfe of mim Tischli fonde.
WS33	Sin Brüeder will zwa schöni, neui Hüser i euerem Garte baue.
WS34	S' Wort ischt em vo Herze cho.
WS35	Das ischt recht gsi vo ene.
WS36	Wa setzid do für Vögeli of em Mürli obe?
WS37	D'Bure hand föf Ochse ond nü Chüe ond zwölf Schöfli vors Dorf brocht u. hand's wela verchaufe.
WS38	Die sönd hüt ali of em Acker osse ond mäjid.
WS39	Gang noo, de bru Hond tuetter nünt.
WS40	I bi met de Lüte do henna ü[ö]ber d'Wies is Chorn gfahre.
