---
Bogennummer: '42817'
Ort: Wald
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 104aed6b-6beb-4803-9b72-0a3401f01e44
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.359336'
...
WS1	Um Wenter flügit die trockne Blacke i de Loft omme-n-and.
WS2	S'fört jetz wädli uf schneie, denn werd s'Wetter wieder besser.
WS3	Tue Chole in Ofe-n-ine, ass d'Milch bald afangt süüde.
WS4	De guet alt Ma ischt mit-em Ross iibroche ond is chalt Wässer gfalla.
WS5	Er ischt vor viar oder segs Woche gschtorbe.
WS6	Me hät z'fest gfüüret, die Chuacha sönd onna ganz aabrennt.
WS7	Er esst d'Eier allewil[l] ohni Salz ond Pfeffer.
WS8	D'Füess tüend mr weh, i glob i ha Blootere dra.
WS9	I bi bi de Frau gseh ond han-er-es gsäät ond sie het gsäät, sie wells ou erne Mätel säge.
WS10	I wills nomme meh tue.
WS11	I hau dr mit em Löffel öber d'Ohre, du [H]alli.
WS12	Wohe goscht, söllid mer mitcho?
WS13	Es sönd schlechti Zite.
WS14	Mi liabs Chend, blib do onne stoh, die böse Gäns bissit di sös tot.
