---
Bogennummer: '42832'
Ort: Oberriet
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a078acf7-3b0a-4e7f-877e-9de8a023801f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.060592'
...
WS1	Im Weanter (ea Nasal-Laut) flügid di truckne Blätter i dr Luft ummä.
WS2	Es hört bald uf schneie, denn werd ́s Wetter wieder besser
WS3	Tue Koohla (o geschlossen) in Ofa, dass 'Milch bald z' Kocha kund (oder südt)
WS4	Dar guat alt Ma isch mit em Ross dur 's Ys 'brocha und is kalt Wasser g'falla/gheit.
WS5	Er isch vor vier ode(r) seggs Wuche g'schtorba.
WS6	s'Für isch z'schtarch gsi/hesch z'rooss g'füret, 'Küache seand unna ganz schwarz 'brennt.
WS7	Er esst d'Eier allawil uni Salz un(d) Pfeffer
WS8	D'Füess tommer rooss (offenes o) weah, i globa i ha's dorg'loffa.
WS9	I be bi der Frou gsy und hanere's gead, und sie hed gseed, sie wells ou ehrer Töchter säga (oder: ehrem Moatli säga)
WS10	Y will's numma to (o durch die Nase gesprochen)
WS11	I schlagg di gad mit der Kochkella um d'Oara, du Aff.
WS12	Wo goascht ani (hea - ea durch d. Nase) söllemmer mit der goah (oa d. d. Nase)?
WS13	Es seand schleachti Zitta
WS14	Mi liabs Göfli (oder: Keand), blib do unna schtoah (oah d. d. Nase) di bösa G[unvollst.] bissid di toad.
WS15	Du hesch hüt am meischte g'learnat und bischt brav/frei gsy, und darscht früener hoa goah (oa nasal).
WS16	Du beasch no nüd gross gnueg, für a Fläscha Wy usz'trinke, du muoscht z'erscht no eppas Waggse und gröasser were.
WS17	Bis so gued und säg diner Schwöschter, sie sötti s'Häs för öueri Muotter fertig büetze und mit de Börschta butze
WS18	Hettischt ä kennt, denn wär's anderscht koa (oa d. d. Nase) und es wür besser um eu schtoah (oa d. d. Nase)
WS19	Wer hed mer min Korb mitem Fleisch g'schtola?
WS20	Er hed toa (o offen u. Nasal) wie wenn's en zum Trösche bschtellt hettid, sie hont's (on Nasal) aber seb toa (o offen nasal)
WS21	Wem hed er di nöu Gschicht verzellt?
WS22	Ma moas lut rede, bis er oam verschtohd, (süss verschtohd er us nöd.)
WS23	Mer seand (nasal) müad und hond (nasal) Dorscht.
WS24	Wommer geschter Obed zrugg ko seand (nasal), seand (nasal) die andere scho km Bett gsy und hond (nasal) scho fescht g'schlòfa.
WS25	De  Schea (nasal) isch die Nacht bi üs ligga 'bliba aber hüttä Morga isch er gschmoza (verganga)
WS26	Heander (nasal) üserem Hus stond (nasal) drei schöani (nasal) Öpfelbömli mit roate-n-Öpfeli
WS27	Küned er/ör nüd no e Kli (au Oogabliggli) uf us warte, denn gommer oo mit öu.
WS28	Ehr törid nüd dera Kindereia tribe (Narestucki triba)
WS29	Üseri Berg seand (nasal) nüd gad rooss (o offen) hoch, öueri seand (n.) viel höcher
WS30	Wüvil Pfund Wöarscht und wüvil Brod wend/mond er ha? (mond er nasal)
WS31	I verschtan öu nüd, ör moand (nasal) a Kli lutter reda.
WS32	Hoand (nasal) ör koa Stückli wissi Soapfe för mi uf mim Tisch g'funda?
WS33	Sin Brüeder will sich zwoa schöani (nasal) nöui Hüser in öuerem Garta boua.
WS34	Es (nasal e) Wort isch eam (nasal) vo Hearze koa (nasal)
WS35	Das isch recht gsy vo/vu öu.
WS36	Was sitzid do für Vögeli uf dem Mürli oba?
WS37	Die Bura hond (nasal) füf Ochsa, nü Küeh und zwölf Schöfli vors/us em Dorf 'brocht die honds (nasal) wella verkoofa (o geschlossen)
WS38	D'Lüt seand (nasal) hüt alli dussa uf em Feald un meiid.
WS39	Gang no (nasal), der bru Hond tuet der nünt.
WS40	I be/bea (bea nasal) mit de Lütta do heanne über d' Hostet/Wease is Korn g'fahra.
