---
Bogennummer: '44486'
Ort: Schaffhausen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 89ab092a-9fb1-4625-9490-98fc94fd7639
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.039040'
...
WS1	Im Winter flüged di trochene Bleter i dr Luft umenand.
WS2	S'hört grad uf scheie, dänn würt's Wätter wider besser.
WS3	Tue Chole-n-in Ofe, dass 'Milch bald afangt choche.
WS4	De guet alt Ma isch mit em Pfärt dur's Is dureproche und i's chalt Wasser gfalle.
WS5	Er isch vor vier oder sechs Wuche gschtorbe.
WS6	S'Für isch z'schtarch gsi, 'Chüeche sind jo unne ganz schwarz abrennt.
WS7	Er isst d'Eier immer uni Salz und Pfeffer.
WS8	D'Füess tömmer fescht weh, i glaub, i ha si duregloffe.
WS9	I bi bi der Frau gsi und hane-res gsät, und si hät gsät, si well's au ierer Töchter säge.
WS10	J will's au numme tue.
WS11	J schlag der grad mit em Chochlöffel um d'Ohre, du Aff!
WS12	Wo gosch ane, sölled mer mit der gu?
WS13	'Sind schlechti Ziite!
WS14	Mi lieb Chind, bliib do nume stuh, di böse Gäns biised dich sunscht tod!
WS15	Du häsch hüt em meischte glernt und bisch artig gsi, du tarfsch hüt früener heim gu als di andere.
WS16	Du bisch no nid gross gnueg, zum - e Fläsche Wii ustrinke, du muesch zerscht no-ne wengili wachse und grösser werde.
WS17	Gang bi-sso guet und säg dinere Schwöschter si söli 'Kleider für eui Mueter fertig näje und mit dr Bürschte butze.
WS18	Hettisch du en kennt, dänn wär's anderscht chu und 's tät besser umen stuh.
WS19	Wer hät mer min Chorb mit Fleisch gschtole?
WS20	Er hät so tue, als hettid si in zum Trösche bschtellt, si händ's aber selber tue.
WS21	Wänn hät er dir (....) Gschicht verzellt?
WS22	Me mue lut chräje, suntsch verstoht er üs nid.
WS23	Mier sind müed und händ Turscht.
WS24	Womer geschtert z'obid z'rück chu sind, do sind di andere schu im Bett gläge und sind fescht am schlofe gsi.
WS25	De Schnee isch die Nacht bi-n-üs lige blibe, aber hüt-e-morge isch er gschmolze
WS26	Hinder üsem Huus schtönd drei schöni Öpfelbömmli mit rote Öpfili.
WS27	Chönd er nid no-ne-n-Augeblickli uf üs warte, dänn gömmer mit eu.
WS28	Jer törfed nid sonigi Chalbereie triibe.
WS29	Üseri Berg sind nid e so hoch, eui sind vill höcher.
WS30	Wevill Pfund Wurscht und wevill Brot wänd er ha?
WS31	J verschtand eu nid, ier mönd e bitzili luter rede.
WS32	Händ er ka Stückli wiissi Seife für mich uf mim Tisch gfunde?
WS33	'S Wort isch im vu Härze chu.
WS34	'S Wort isch im vu Härze chu.
WS35	Da'sch recht gsi vu-ne-ne!
WS36	Wa sitzed do für Vögili uf däm Mürli obe?
WS37	'Pure händ füf Ochse und nü Chüe und 12 Schöfli vor's Dorf procht, si händ's welle verchaufe.
WS38	d'Lüt sind hüt alli uf em Feld usse und mäjed.
WS39	Gang nu, de bru Hund tuet der nüt.
WS40	J bi mit de Lüt do hinne über d'Wis i's Chorn ggfahre.        Schaffhausen, d. 20. Mai 1933  Dr. H. Peyer.
