---
Bogennummer: '44556'
Ort: Neuwilen
Gid: 19038
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Häufig ist (beim nachträglichen Durchlesen?) ein ''i'' mit einem ''e''
  überschrieben worden. Dabei ist jeweils der i-Punkt stehen geblieben. Bei der Transkription
  wird jedoch nur darauf hingewiesen, was zunächst notiert wurde, so in WS 07: "Er
  esst {zunächst ''isst'', dann ''i'' mit ''e'' überschrieben; der i-Punkt bleibt
  stehen}..."; im Folgenden steht nur noch wie in WS 11: "mit {zunächst ''met''}".}'
Erstelldatum: 2025-11-13 14:48:30.858392
Änderungsdatum: 2025-11-14 18:37:56.981717
Satzversion: 1
...
WS1	Im {zunächst 'Jm' ?} Winter flüget die trochne Bletter i die {oder nur 'di' ?} Loft ome.
WS2	Es hort gli uf schneie, denn wür s' Wetter wieder besser.
WS3	Tue Chole in Ofe, [d]as {'d' ist ganz dünn} d' Milach bald wieder afangt choche.
WS4	De guet alt Ma ist met em Ross durs Is broche und is chalt Wasser ine {nachträglich an den Zeilenanfang gesetzt} gfale {zunächst 'eigf', dann 'ei' durchgestrichen und 'ale' ergänzt}.
WS5	Er ist vor {'4' ist durchgestrichen} vier oder segs Woche g'storbe.
WS6	s' Für ist z starch gsi, die {zunächst 'de', dann 'i' zwischen 'd' und 'e' eingequetscht} Chueche sind jo one {zunächst 'une', dann 'u' durchgestrichen und 'o' darüber notiert} ganz schwarz brennt.
WS7	Er esst {zunächst 'isst', dann 'i' mit 'e' überschrieben; der i-Punkt bleibt stehen - s. Kommentar zum gesamte Bogen} die Eier allewil ohni Salz und Pfeffer.
WS8	D' Füess tüe mr recht weh, ich glaube, ich ha si dorglaufe
WS9	I bi̱ bi de {wohl zunächst 'di', denn es sieht nach einem i-Punkt aus} Frau gsi, und han e res gsat {zunächst 'und sie het gsat' , dann 'het' (nicht aber 'sie') durchgestrichen und 'han e res'  über 'sie het' notiert}, und sie het gsat, sie wölls au ere Töchter säge.
WS10	I will es au nume wieder tue.
WS11	I schlagt'er grad mit {zunächst 'met'} em Chochlöffel um d' Ohre, du Aff.
WS12	Wo go̱scht du he̱, söled mer mit der cho.
WS13	Es sind schlechti Zi̱te.
WS14	Mi liebs Chind, blieb do une stoh, die böse Gens bissed dich tod.
WS15	Du häst hüt am meiste g'le̱rt und best {zunächst wohl 'bist'} artig g si, du darfst früener ham go als de {zunächst 'di'} andere.
WS16	Du best {zunächst 'bist'} no ned gross gnug, um e Fläsche Wi {zunächst 'Wie', dann 'e' durchgestrichen} ustrenke, {am 'u' rumkorrigiert und zunächst 'usztrinke'}, du muosch zersch no e chli wachse und grösser {'werde' ist durchgestrichen} wäre. 
WS17	Gang, bis so guet, und säg diner Schwöster, sie söll Kleider för eure Mueter fertig näie, und met {zunächst 'mit'} de Börste suber mache.
WS18	Hettest du en kennt, denn wärs anderstcho und es wür besser umen stoh.
WS19	Wer hät mer min Chorb mit Fleisch gstole.
WS20	Er hät tue, als hettet mer en {zunächst 'em', dann korrigiert} zum Trösche bscchtellt, sie hönds aber selber tue. 
WS21	Wem {zunächst 'Wenn', dann korrigiert} hät er die neu Gschicht verzellt ?
WS22	Me mues lůt rüefe, sos verstot er üs ned.
WS23	Mer send {zunächst 'sind'} müed und händ Du̱rst.
WS24	Wo mer gest obed zrug cho send, send {zweimal zunächst 'sind'} die andere scho im Bett glege und händ fest gschlofe.
WS25	De Schnee est {zunächst 'ist'} nächt bi üs lege {zunächst 'liege', dann 'i' durchgesrichen} blebe {zunächst 'blibe'}, aber hüte morge est {zunächst 'ist'} er vergange.
WS26	Hender {zunächst 'Hinder'} usem {sic!} Hus stönd drei schöni Öpfelbömli mit rote Öpfeli.
WS27	Choned {zunächst 'Chonet} er {zunächst 'ir'} ned no e {zunächst weiterer Buchstabe angefangen, dann nur langer Aufstrich nach 'e'} Augebligli warte  denn gömer met {zunächst 'mit'} eu.
WS28	Ir {zunächst 'Ihr', dann 'h' durchgestrichen} dörfet ke deregi Chindereie tribe.
WS29	Üseri Berg send {zunächt 'sind'} ned fest hoch, die euere send {zunächst 'sind'} vel höcher.
WS30	Wie vel {zunächst 'viel'} Pfund Wurst und wie vel {zunächst 'viel'} Brot wend er ha ?
WS31	I verstand eu ned, ehr {zunächst 'ihr'} müend e bizeli luter schwätze.
WS32	Händ er {zunächst 'ihr'} ka Stückli Sapfe für mech uf mim Tisch gfonde <(o¨ offen)>  {was bedeutet das Trema neben 'o' ?} ?
WS33	Sin Brüeder will sich zwa schöne {zunächst 'schöni'} neue Hüser  e {zunächst 'i'}  euen Garte baue.
WS34	Das Wort est {zunächst 'ist'} em vo Herze cho.
WS35	Das est {zunächst 'ist'} recht vo ene.
WS36	Was sitzed do für Vögeli obe uf dem Mürli.
WS37	"Die Bure {zunächst 'Pure'} hand {zunächst 'hend'} füf Stier und nü Chüe und zwölf Schöfli vor 's d' Dorf brocht die hand's {zunächst ""hend 's""} wöle verchaufe."
WS38	Die Lüt send hüt alli dosse uf em Feld und mäiet.
WS39	Gang nu, de bru Huͦnd {'o' steht unter der Zeile, unter 'u'} tuet der nünt {zunächst 'nüt', dann 'n' unter der Zeile zwischen 'ü' und 't'  eingefügt}.
WS40	I be {zunächst 'bi'} mit de Lüte do hene über d' Wes {zunächst 'Wiese', dann durchgestrichen und 'Wes' darunter notiert} is Chorn gfare.
