---
Bogennummer: '44558'
Ort: Lippoldswilen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 490d1ab4-5ca5-445c-961e-545a480eca03
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:54.039424'
...
WS1	Im Wenter flǖged di trochne Blätter i de Loft omenand
WS2	S'hört grad uf schneie, denn wärds Wätter wider besser
WS3	Tue Cholä in Ofä, dass d'Milech bald afangt chochä.
WS4	Dä guet, alt Ma ischt mit em Ross dor's I[...]s i broche und is chalt Wasser gfalle
WS5	Er ischt vor vier oder sächs Wochä g's[ch]torbä
WS6	S'Füür ischt z'schtarch gsi, d'Kueche send jo one ganz schwarz bre[nn]t
WS7	Er ässt d'Eier allewil ohni Salz ond Pfeffer
WS8	D'Füess tönd mer grusig weh, i glaub, [i] hasi dorgloffä
WS9	I bi bi dä Frau gsie ond han äres g'saat, ond sie hät gsaat si wells o erer tōchter sägä
WS10	I will's [...] o nüme to!
WS11	I hau di grad mit em Chochlöffel om d'Ohre, du Aff!
WS12	Wo ane goscht, söllet mer mit dr go?
WS13	S'end schlächti Zyte!
WS14	Mi liebs Chend, blieb do onä stoh, diä böse Gäns biesset di tot.
WS15	Du häscht am meischte gle[...]rt ond bischt brav gsi, du darfscht früener ham go als di andere
WS16	Du bischt no ned gross gnueg, om e Fläsche Wi usztringge, du muescht z'erscht no chli wachse ond grösser wärde.
WS17	Gang, bis so guet ond säg diner Schwöschter, si söll Kleider för eueri Muetter fertig näie ond mit de Börste suber mache.
WS18	Hettischt du en kennt, denn wärs anderscht cho, und's tät [unvollst.] om en sto.
WS19	Wär hät mer min Chorb mit Fleisch gstole?
WS20	Er hät toh, wie wenn sen zom Dräsche bschtellt hetted. si h[ä]nds aber selber toh.
WS21	Wem hät er di neu Gschicht verzellt?
WS22	Me mues lut brüelä, soss verstoht er üs ned.
WS23	Meer send müed ond hend Dorscht
WS24	Wo mer gescht z'obed zrogg cho send, so send di andere scho im Bett gläge und send fest am schlofe gsi.
WS25	Dä Schnee ischt die Nacht bi üs lige blebe, aber hüt morgä ischt er gschmolze
WS26	Hender üsem Hus stond drei schöni Öpfelbömli mit rote Öpfeli
WS27	Chönd er ned no e Augebliggli warte uf üs, denn gömmer o mit
WS28	Er dörfet ned därigi Chendereiä tribe
WS29	Üseri Berge send ned sehr hoch, di euere send viel höcher
WS30	Wieviel Pfond Worst und wieviel Brot wend er ha?
WS31	I verstand eu ned, er mönd e bitzli luter rede.
WS32	Hend er ka Stüggli wysi Sapfe für mi uf mim Tisch gfonde?
WS33	Sin Brüeder will sech zwa schöni neui Hüser baue i e[...]em Gartä
WS34	S' Wort isch em vo Herzä cho!
WS35	Da isch recht vo ehne!
WS36	Wa setzed do für Vögeli of dem Mürli [...]
WS37	D'Buure hend füf Chüä ond nü Stiär ond zwölf Schöfli vors Dorf brocht, hiä hend si welle verchaufä
WS38	D'Lüüt send hüt alli uf em Feld ond maied
WS39	Gang no, de brun Hond tuet d[...]r nünt
WS40	I bi mit dene Lütä do henä ober die Wes is Chorn gfahre.
