---
Bogennummer: '44572'
Ort: Illighausen
Gid: 17141
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-12-17 19:10:05.477431
Änderungsdatum: 2025-12-21 19:09:23.929055
Satzversion: 1
...
WS1	Im Wenter flüged di trochne Bletter i de Luft omme.
WS2	s'hört bald uf mit {'Scheje' ist durchgestrichen} Schneje, denn werds-Wätter wid'r besser.
WS3	Tue Cholle in Ofe, dass d' Milech bald afangt choche.
WS4	Dä guet alt Mă ischt {zunächst 'ist' angefangen} mit-em Ross dors {zunächst 'durs', dann 'u' gestrichen und 'o' darüber notiert} Is broche und is calt Wasser ghe-i̱t.
WS5	Är ischt vor vier oder seggs Wuche gschtorbe.
WS6	s' Füür ischt dschtarch gsi, d' Chueche send jo onne ganz schwarz {zunächst ''onne schwarz', dann oben im Zwischenraum 'ganz' eingefügt} brännt.
WS7	Är esst d' Eier all' ohni Salz {'o' ist gestrichen} und Pfäffer.
WS8	D' Füess tond mer so fest weh. i glaub', i ha 's du̱rgloffe.
WS9	I bi bi dr Frau gsi und ha n eres gsaat, und sie hätt gsaat, si-wèll's erer {zunächst 'ehrer', dann 'h' durchgestrichen} Töcher au säge.
WS10	I wills nümme to.
WS11	I' hau-der jetz-denn go mit-m Chochlöffel om d' Ohre omme, du {zunächst  'Ohre , du', dann oben im Zwischenraum 'omme' eingefügt}   Aff' ! 
WS12	Wo gŏscht anne, sölled mer mitdir go ?
WS13	Äs send schlechti Ziete.
WS14	Mi liebs Chend, blieb dŏ {'u' ist durchgestrichen} onne sto, die̱ böse Gäns biesset-di tod.
WS15	Du häscht hütt {'a' ist durchgestrichen} em-meischte glehrt , und bischt brav gsi̱, du darscht früener ham go als di andere.
WS16	Du bischt no nöd gross gnueg zomm e Fläsche Wi usztringge, du muescht zerscht no e chli wachse und grösser wärde.
WS17	Gang, bis so guet und säg dr {zunächst 'der', dann 'e' gestrichen} Schwöschter, sie sell s' Häehs {'h' ist in Kurrentschrift} für eui Mueter fertig naje {zunächst 'näje, dann Trema gestrichen} und mit dr {zunächst 'der', dann 'e' gestrichen} Börschte suber mache.
WS18	Hettscht-en kennt !  denn wärs anderscht cho, und s' schtänd besser omm͜ en {zunächst 'ommen'  fast zusammen geschrieben, unter dem winzigen Zwischenraum steht ein Böglein}.
WS19	Wer hätt mer min Chorb mit-em Fleisch gschtolle ?
WS20	Er hätt to, als öb-se zom Trösche bschtellt hetted, sie hond's aber sälber {zunächst 'selber', dann 1.'e' durchgestrichen und 'ä' darüber gesetzt} to.
WS21	Wemm hätt-er die neu Gschicht verzellt ?
WS22	Mä mue {zunächst 'muess', dann 'ss' gestrichen} lut brüele, soss verstoht er üs nöd.
WS23	Mer send müed und hand Dorscht 
WS24	W0 mer gesch-Zobed zrugg cho send, send d andere scho im Bett gläge und hend fescht gschlofe.
WS25	De Schee ischt nächt bin ̱is {zunächst 'binis' in einem Wort, dann zwischen 'n' und 'i' Unterstrich eingefügt} ligge blebe, aber de Morge ischter gschmolze.
WS26	Hender üsem Hus schtond dre|i schönni Öpfelbömmli mit rote Öpfeli.
WS27	Chönd-er nöd no e Wieli uf is warte, denn gom ̱mer {zunächst 'gommer', dann Unterstrich zwischen beide 'm'} mit-i.
WS28	{'Er' ist durchgestrichen} Ehr dörfed nöd därigi Chendereie triebe.
WS29	Üseri Berg send nöd so höch, eueri send vill höcher.
WS30	Wie vill Pfond Worscht und wievill Brot wender hŏ ?
WS31	I verschtand i nöd, er mond e bitzli lüter rede.
