---
Bogennummer: '44607'
Ort: Stettfurt
Gid: 18559
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2026-05-17 17:30:20.298894
Änderungsdatum: 2026-05-29 13:05:52.181009
Satzversion: 1
...
WS1	Im Winter flüged die trochene Bletter i der Luft ome
WS2	Es hört grad uf schnaaie, denn wird 's Wetter wider besser
WS3	Tue Chole in Ofe, dass d' Milech bald  <(aafangt choche)> <(chochet)> süüdt, ufgoht {unterstrichen}, chunnt, strodlet
WS4	De guet alt Ma ischt mit em Ross im Is iibroche <(durs) Is (dure)broche> {der Lehrer notiert zunächst 'im Is iibroche', danach '(durs)' über 'im' und '(dure)' über 'ii'} und is chalt Wasser gfalle    
WS5	Er ischt vor vier oder sechs Wuche gstorbe
WS6	's Für ischt z' starch gsi, d' Chueche <(d' Tüle = Wähe?) > {der Lehrer notiert die Alternative in Klammern über 'Chueche'}sind jo unne ganz verbrennt, a = brennt
WS7	Er isst d' Eier aal <, alewil,> ohni Salz und Pfeffer
WS8	D' Füess tüem = mer fescht < , elend, usw., > weh, i glaub, si sind offe
WS9	I bi bi der Frau gsi und han = er = es gsat, und si hät gsat, si wells au ihrer Töchter säge
WS10	I wills au nümme <(nid wider)> tue !
WS11	I schlag der grad <(mit der)> d' Chelle um d' Ohre, du Aff !
WS12	Wo ane gohscht, söll i mit der {'goh?' (mit durchgestrichenem 'h') ist durchgestrichen} goo ?
WS13	Es sind schlechti Zite {zunächst 'Ziite', dann 2.'i' durchgestrichen; über 'i' ist 'kurz' notiert} !
WS14	<(Mi)> liebs Chind, bliib do unne stoo, di böse Gäns biisṡed {über dem 2.'s' steht ein Punkt (?)} di tod < z' tod>
WS15	Du häscht hüt am meischte g' lehrt <, tue, gschafft, > und bischt artig gsi, du tarfscht früener haa <(go)> als die andere.
WS16	Du bischt nonid gross gnueg, zum e Fläsche Wii uuzstrinke {zunächst 'uustrinke', dann 'z' zwischen 2.'u' und 's' eingefügt}, du muescht z' eerscht no e chli wachse-n-und grösser werde.
WS17	Gang, bisse̱guet {zunächst 'bissoguet', dann 'e̱' über 'o' notiert} und säg diner Schwöschter, si söll d' Chleider für {'euri' mit '(e)' unter 'ur', dann beides durchgestrichen} eui Mueter fertig mache <(näie)> und <(mit der Bürste butze)>  bürschte.
WS18	Hettischt en kennt !  Dänn wärs anderscht <(use =)> cho, und <(e)>s stiend besser um en
WS19	Wer hät mer min Chorb mit Fleisch gschtole ? 
WS20	Er hät tue <(er hät si gschtellt)>, we wänn s' en zum Trösche bschtellt hetteͥd; si händs aber sälber gmacht <(tue)>
WS21	Wäm hät er die neu Gschicht verzellt ?
WS22	Me mue <mo> {'mo' ist über 'mue' notiert} luut rüefe <, rede (chraaie)>, suscht verstoht er is nööd
WS23	Mer sind müed und händ Tuurscht {zunächst 'Turscht', dann oben 2.'u' zwischen 'u' und 'r' notiert}
WS24	Wo mer gescht {zunächst 'geschter', dann 'er' gestrichen} zobed  <Gescht zobed {zunächst 'Geschter', dann 'er' gestrichen} , wo mer>  zruck <ume> {'ume' steht über 'zruck'} cho sind, <(doo)> sind di {zunächst 'die', dann 'e' gestrichen} andere scho im Bett gsi und händ fescht gschlofe
