---
Bogennummer: '44621'
Ort: Schmidshof
Gid: 17425
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-10-21 16:51:35.414118
Änderungsdatum: 2025-11-03 14:58:45.980440
Satzversion: 1
...
WS1	Im Winter flüged die trochne Blätter i de Luft ome.
WS2	Es hört gli uf schneie, denn wird s' Wetter besser.
WS3	Tue Chohle in Ofe inne, dass d' Milech bald afangt choche.
WS4	De guat alt Ma ischt mit am Ross is Is ibroche und is chalt Wasser inne gheit.
WS5	Er ischt vor vier oder sächs Wuche gschtorbe.
WS6	S' für ischt z' starch gsi, d' Kueche {zunächst 'Kuche', dann 'e' zwischen 'u' und 'c' eingeklemmt} sind unedra ganz schwarz brennt gsi. 
WS7	Er isst d' Eier ohni Salz und Pfeffer.
WS8	D' Füss tümer fest weh, i ha sie durgloffe.
WS9	I bė  bi de frau gsi und han er es gsat, und sie hät gsat, sie wölls au ere Tòchter säge.
WS10	I will 's au nümme tue.
WS11	I hau der grad de Chochlöffel om d' Ohre.
WS12	Wo goscht anne, sölled mer mitcho ?
WS13	S' sind schlechti Zite.
WS14	"Mis lieb's Chind, blieb d' unne stoh; di böse Gäns bissed di tod. {Weil Satz 15 auf der Zeile mit der Nummer 14 notiert wurde, beginnt Satz 14  in Zeile mit der gedruckten Nummer 15. Vor dem Satz ist manuell ""14."" notiert und doppelt unterstrichen}"
WS15	Du häscht hüt am meischte gleert, und bischt brav gsi, du darfscht früner hamgo als die andere. {Dieser Satz ist auf der Zeile mit gedruckten Nummer 14 notiert und endet in der Zeile mit der gedruckten Nummer 15.}
WS16	Du bischt nonnig gross gnueg, zom e fläsche Wy [u]sz'trinke {es scheint, es sei ein Bogen zuviel, aber 'ui' scheint unwahrscheinlich, weil deri-Punkt fehlt}, du muescht zerscht noe wachse und grösser werde.
WS17	"Gang, bis so guet, und säg 's de Schwester, sie söll Kleider för [e]ui {sieht fast aus wie 'o'; zunächst "" d' "", dann durchgestrichen und darüber 'eui' notiert} Muetter fertig mache und mit de Bürste suber  mache."
WS18	Hetschte {am 2.'t' rumkorrigiert} kännt {wohl zunächst 'kennt'}, denn wär 's anderscht cho, und s' tät besser omen stoh.
WS19	Wer hät mer min Chorb fleisch g' stolle.
WS20	Er hätt so tue, wie wenne mer en zum Trösche bschtellt het, sie händs aber selber tue {zunächst mit 'd' begonnen}
WS21	Wem hät er die neu G' schicht verzellt ?
WS22	Me mue lut {'brüla' (?) ist durchgestrichen} brüela, sus verstoht er üs nöd.
WS23	Mer sind müed {zunächst 'müd', dann 'e' zwischen 'ü' und 'd' gequetscht} und händ Durscht.
WS24	Wo mer gescht obed ham cho sind, sind di andere scho im Bett gsi, und händ fescht {zunächst 'fest', dann 't' mit 'c' überschrieben und zu 'fescht ergänzt} g' schlofe.  
WS25	De Schnee ischt die Nacht ligge blibe, aber hüte morge ischt er vergange.
WS26	Hinder üsem Hus stönd drei schöni Öpfelbömli mit rote Öpfeli.
WS27	Chönd er nöd no e Wili uf üs warte, denn chöm er mit {zunächst 'mt', dann 'i' zwischen 'm' und 't' gesetzt} eu ?
WS28	{Satzanfang korrigiert und in eckige Klammern gesetzt: '[{etwas ist durchgestrichen} Ehr törfed nöd]' } Er töred nöd derigi Lumpereie mache.
WS29	Üsi Bärg sind nöd a so hoch, eueri sind viel höcher.
WS30	Wie viel Pfund Würscht und wie viel Brot wönd er ?
WS31	I verstand eu nöd, er münd e chli lüter rede.
WS32	Hend er ka Stückli wi[s]si Sapfa für mi uf mim Tisch g'funde ?
WS33	Sin Brüeder will für sich zwa schöni, neui {zunächst 'schöne, neue', dann zweimal i-Punkt auf 'e' gesetzt} Hüser i euem Garte baue.
WS34	S' Wort isch em vo Herze cho.
WS35	Das isch recht gsi vonene.
WS36	Wa {korrigiert durch Lehrer zunächst 'sitzed do', dann in eckige KLammern gesetzt: '[sitzed do]'} hocked do für Vögeli  {'obe uf em' ist durchgestrichen} uf em Mürli obe.
WS37	D' Bure händ füf Stiere und nü Chüe und zwölf Schöfli vors Dorf brocht, si händ 's wölle verchaufe.
WS38	D' Lüt sind hüt alli uf em Feld usse und maied.
WS39	Gang no, de bru Hund tuet der nünt.
WS40	I bi mit de Lüta do hine übr d' Wies is Chorn g'fahre.
