---
Bogennummer: '44638'
Ort: Buch am Irchel
Gid: 16029
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-03-25 17:25:03.023023
Änderungsdatum: 2025-03-25 17:25:03.023023
Satzversion: 1
...
WS1	Im Winter flüged di trochne Bletter i dr Luft ume.
WS2	Es hört grad uf z' schneie, dänn wird s Wätter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch gli süt.
WS4	Dä guet alt Ma ischt mit em Ross durs Is broche und is Wasser gfalle.
WS5	Er ischt vor vier oder sächs Wuche gschtorbe.
WS6	s Füür isch z schtarch gsi, d' Chueche sind ja une ganz verbrännt {Verdoppelungsstrich auf 'n'}.
WS7	Er isst d' Eier immer ohni Salz und Pfeffer.
WS8	D Füess tüe mer schüli weh, ich glaube, ich ha si wund gloffe.
WS9	Ich bi bi dr Frau gsi und han er es gseit, und si hät gseit, si wells au ihrer Tochter säge.
WS10	Ich wills au nüme tue.
WS11	Ich schla dr grad d' Chelle um d' Ohre ume, du Aff !
WS12	Wo gahscht du ane, sellid mr mit der chu ?
WS13	Es sind schlächte Zite !
