---
Bogennummer: '44673'
Ort: Engishofen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.788156'
...
WS15	Du häscht hüt em meischte glärnt und bischt brâf gsy, du târfscht früener hei (ham) als di anderè.
WS16	Du bischt no z'chly, zum (zom) ä Fläsche Wy z'tringge; du muescht no ä chli wachse und grösser wärdè.
WS17	Gang bis so guet und säg dinner Schwöster, si söll d'Chleider för eueri Mueter fertig näje und und ûsbörschte.
WS18	Wänn du in kännt hettischt, wär's anderscht chô und ès schtändi besser om (um) in.̇
WS19	Wär hätt mèr min Chorb samt èm Fleisch gschtole ?
WS20	Är hätt so tue wiè wänn' r èn zum (zom) Trösche âgschtellt hett, si hand's aber sälber g'macht.
WS21	Wemm hätt' r diè neu G'schicht verzellt ?
WS22	"Mè muend [oder ev. ""muond""?] (mönd, müend) lût brüele, soscht verstôht' r üs nöd."
WS23	Mer send (sind) müed und hend (händ) Tûrscht.
WS24	Wo mèr gescht Obed zrugg cho send, send di Andere scho im Bett g'läge und hend g'schloofe.
WS25	Dè Schnee ischt diä Nacht bi üs ligge plebè, abèr hütte Morge ischt' r vergange.
WS26	Hendèr üsem Hus (kurz) schtönd drü schöni Öpfelbömli mit rotè Öpfeli.
WS27	Chöned 'r nöd no ä Wyli uf üs wârte, dänn gömmèr mitt öi (eu).
WS28	Er törfed nöd ggêgelè !
WS29	Üseri Bärg send nöd eso höch, eueri (öjeri) send vill höcher.
WS30	Wièvill Pärli Wörscht und wièvill Brôt mönd' r ho (hâ) ?
WS31	I verschtôh' n eu nöd, èr mönd e bitzli lûter rede (schwätze)
WS32	Hend'r (hond'er, hönd er) ko Schtüggli (kon Brogge) wyssi Sapfe (Seife) för my g'funde.
WS33	Sin Brüeder will zwâ neui Hüser i euem Gârte bauè.
WS34	S' Wort ischt' m vo Härze cho.
WS35	Da ischt rächt gsy vo eu (öi)
WS36	Wa hogged do för Vögeli uf dem Mürli obe ?
WS37	D'Pûre hend füf Stier und nü Chüe und zwölf (ä Totzet) Schof vor's Dorf use procht und wänds verkaufe.
WS38	D'Lüt send hütt ali dosse uf'm Fäld und mäjed.
WS39	Gang nô, de bru Hond tuet 'r nünt.
WS40	I bin mit de Lüt dohenè öbèr d'Wes zo de Frucht hendere gange.
