---
Bogennummer: '44676'
Ort: Erlen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.863552'
...
WS1	Im Wenter flüged di trochene Bletter i de Loft ome
WS2	Es hört gad uf schneie, denn werd's Wetter wieder besser.
WS3	Tue Chole in Ofe, dass Milech bald zom choche hont.
WS4	De guot alt Moh ist mit em Ross dor s'Is proche ond is chalt Wasser gheit.
WS5	Er ist vor vier oder sechs Woche gstorbe.
WS6	s'Für ist z'starch gsi, d'Chueche send jo ohnedore ganz schwarz oprennt.
WS7	Es esst d'Eier allewill ohni Salz ond Pfeffer.
WS8	Pfuess tond mer weh, i glaub i hei si doreglaufe.
WS9	J bin bi de Frau gsi ond honeres gsat und si het gsat si wells erer Töchter säge.
WS10	J will's au nüme tue.
WS11	J haud der de Chochlöffel om d'Ohre nome, du Aff.
