---
Bogennummer: '44676'
Ort: Erlen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.863552'
...
WS12	Wo goost hee, seled mer miter cho ⅟₂ [Das Zeichen für ein-halb ist mit waagrechtem Bruchstrich, einer kleinen '1' oben und einer kleinen '2' unten getippt; vermutlich war auf dieser Schreibmaschinentaste auch '?' vorhanden: Tippfehler?]  
WS13	Es send schlechti Ziete.
WS14	Mis lieb Chend, blieb do ohne stoh, die böse Gäns biessed di ztood.
WS15	Du häst hut äm meiste glernt und bist brav gsi, du tarst früener hogo als die andere.
WS16	Du bist no nöd gross gnueg om e Fläsche Wii usztringge, du muest zerst no e chli wachse ond grösser werde.
WS17	Gang, bis so guet ond säg diner Schwöster, si sell Kleider för öueri Muetter fertig neie ond mit der Börste suber mache
WS18	Wenn du ehn kennt hettist denn wärs anderst cho und es ständ besser um ehn.
WS19	Wer hät mer min Chorb mit Fleisch gstole ?
WS20	Er hät e so tue, als hetted si ehn zom Tröschebstellt, si hond's aber selber gmacht.
WS21	Wem hät er die neu Gschicht verzellt ?
WS22	Me mues lut schreie, sost verstoht er üs nöd.
WS23	Mer send mued ond hond Doorst.
WS24	Wo mer gest zobed zrugg cho send, send di andere scho im Bett gsie ond hond scho fest gschlofe.
WS25	De Schnee ist die Nacht bi üs ligge plebe aber hütemorge ist er vergange.
WS26	Hender üsem Huus stond drei schöni Oepfelböm mit rote n Oepfel .
WS27	Chöned er nöd no e bitzli uf üs warte, mer gönd denn mit eu.
WS28	Es törfed nöd dere Chindereie triebe.
WS29	Ueseri Berg send nöd so höch, eueri snd viel höcher.
WS30	Wieviel Pfond Wörst ond wieviel Brot wender ?
WS31	J verstand Eu nöd, er mönd e bitzli lüüter schwätze.
WS32	Hönd er nöd e Stückli wiessi Sapfe för mie uf mim Tisch gfonde ?
WS33	Sin Brueder wot zwa schöni neui Hüüser i eurem Garte baue.
WS34	Das Wort ist em vo Herze cho.
WS35	Das ist recht gsi vo eu.
WS36	Was hocked do för Vögeli uf em Müürli obe ?
WS37	Die Pure hond füf Stier ond nüü Chue ond zwölf Schöfli vors Dorf procht, si honds welle verchaufe.
WS38	D'Lüüt send hüt alli im Feld osse ond mäied.
WS39	Gang no, de bruu Hond tuet der nünt.
WS40	"J bi mit de Lüüte do hene über [oder "" öber""?] d'Wes [wahrscheinlich zuerst ""Wis"" und dann übertippt] is Chorn gfahre."
