---
Bogennummer: '44678'
Ort: Amriswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.373908'
...
WS11	J hau der grad d'Chelle om d'Ore, du Aff!
WS12	Wo gost du he, sölled mer mit der go ?
WS13	Es send schlächti Ziite!
WS14	Mi liebs Chend, bliib do onne sto, di böse Gens biißed di tot.
WS15	Du häst [?] hüt am meiste gleert, und bist brav gsi, du darfst früener ham [?] go als di andere.
WS16	Du bist nonöd [?] groß gnueg zom e Fläsche Wii ustrinke, du muest no echli wachse ond größer wärde.
WS17	Gang, bis so guet ond säg diner Schwöster, si sött d'Kleider vo de Mueter fertig naie ond mit der Börste suber mache.
WS18	Wenn du en kennt hettist, so wärs anderst cho ond es wör besser um en sto.
WS19	Wär hät mer min Chorb mit em Fleisch gstole.
WS20	Er hät tue. als het mer en zum Trösche bstellt, si honds aber sälber to.
WS21	Wemm hät er di neu Gschicht verzellt ?
WS22	Me mues lut schraie, sus verstot er üs nöd.
WS23	Mer send müed ond hod Torst.
WS24	Wo mer gest z'Obed umecho send, send di vm [?] scho im Bett gsi ond send fest am Schlofe gsi.
WS25	De Schnee ist die Nacht bi üs ligge blebe, aber hüt de Morgen ist es vergange.
WS26	Hender üsem Hus stönd drü schöni Öpfelbömli mit roten Öpfeli.
WS27	Chönd er nöd no en Augeblick uf üs warte, denn gömmer mitti.
WS28	Er törfed nöd därige Chindereie tribe.
WS29	Üseri Bärg send nöd so höch, eueri send vil höcher.
WS30	"Wievil Pfond Wörst ond wievil Brot wender ho̊o [? oder ""å"" ?] ?"
WS31	J verston eu nöd, er mond [?] echli lüüter schwätze.
