---
Bogennummer: '44680'
Ort: Hagenwil bei Amriswil
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.699980'
...
WS2	Es hört bald ůf z'schneie, denn wird s' Wetter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afangt choche.
WS4	De guet alt Mā isch mit' em Ross dur' s Īs brochê, und is chalt Wasser gflogê.
WS5	Er isch vor vier oder sächs Wuche gstorbe.
WS6	S' Füür isch zstarch gsy, Kuêche sind jo unê ganz schwarz abrênnt.
WS7	Er esst d' Eier immer ohne Salz und Pfeffer.
WS8	d' Füess tüend mer so weh, i glob i has důrgloffe.
WS9	I bi bi de Frau gsy und haneres gsaat, und sie hêtt gsaat, sie wöll s' au ihrer Töchter säge.
WS10	Ich wills au nüme tue !
WS11	I schlo (schlag) di grad mit em  Chochlöffel um d' Ohre, du Aff !
WS12	Wo goscht hêre, söllet mer mit dir goh ?
WS13	Es sind schlêchti Zyte !
WS14	Mys lieb Chind, blyb do une stoh, die böse Gäns bisset di tod.
WS15	Du häscht hütt am meischte glernt und bischt arig gsy, du tarsch früener hangoh als di āne.
WS16	Du bisch no nöd gross gnůeg, um ä Fläsche Wi ůsztrinke, du můesch ersch no öppis wachse und grösser werde.
WS17	Gang, bis so gůet und säg dinere Schwöster, si söll Kleider für eueri Muetter fertig naie ůnd mit de Bürschte sůber mache.
WS18	Hetteschte kennt ! denn wärs anderscht cho, und es wör besser ům en stoh.
WS19	Wer hätt mer min Chorb mit Fleisch gstole ?
WS20	Er hätt so tue, als öpps en zům Trösche bstellt heiget. sie händs aber selber tue.
WS21	Wem hätt er di neu Gschicht verzellt ?
WS22	Me můes lůůt brüele, süss verstoht er üüs nöd.
WS23	Mer sind müed und hand Turscht.
WS24	Wo mer gescht Obed zrůgg cho sind, dasind di āne scho im Bett gläge und sind fescht am Schofe gsy.
WS25	De Schnee isch die Nacht bi üüs lige plibe, aber hüt Morge isch er vergangê.
WS26	Hinder üsem Hůůs stönd drei schöni Öpfelbömli mit rote Öpfeli.
WS27	Chònned ehr nöd no en Augebliggli warte, denn gömer mit eů.
WS28	Ihr dörfet nöd so Chindereie trybe.
WS29	Üseri Berg sind nöd so hoch, eueri sind vill höcher.
WS30	"Wiêvill Pfünd Wörscht [oder ""Wärscht""?] und wiêvill Brot wönd er ha ?"
WS31	I verstoh eu nöd ihr müend echli lüüter schwätz̄e [Akzent auf 'z'?].
WS32	Hand er kei Stüggli wyssi Seife für mi uf mim Tisch gfůnde ?
WS33	Sin Brüêder will sich zwa schöni Hüser i euem Garte baue.
WS34	Da Wort isch em vo Härze cho.
WS35	Da isch rêcht gsy vo inê.
WS36	Was sitz̄et [Akzent auf 'z'?] do für Vögeli obe ůf dem Müürli ?
WS37	D' Bure hand füüf Ochse und nüü Chüê und zwölf Schöfli vors Dorf procht, die hands wölle verchaufê.
WS38	D' Lüüt sind hüt alli dusse uf em Feld und tüend maie.
WS39	Gang nů de brů Hůnd tuêt dir nünt.
WS40	I by mit de Lüüt do hine ūber d' Wisê is Chorn gfahre.
