---
Bogennummer: '44689'
Ort: Halden
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.709029'
...
WS1	Im Wenter flüget di trochne Bletter i de Loft ome
WS2	Es hört bald uf schne-je, denn werd's s'Wetter wider besser
WS3	Tue Kole in Ofe, dass d'Milch bald afang choche
WS4	"De guet alt Maa ischt mit em Ross dors [""dars""? undeutlich korrigiert] Iis broche ond is chalt Wasser g'fale."
WS5	Er ischt vor vier oder sächs Woche g'stôorbe
WS6	S' Füür ischt z'starch, Kueche send jo one ganz schwarz brennt.
WS7	Er esst die Eier immer oni Salz und Pfeffer,
WS8	Pfüess düemmer veroggt weg, i glaube, i has dorgloffe.
WS9	I bi bi de Frau gsi ond hanneres gseit ond sie het gseit, sie wölls au irer [das zuerst notierte 'h' in  'ihrer' ist korrigiert] Töchter säge
WS10	I will's au nüme tue
WS11	I schlag dr de Chochlöffel um d'Ore du Aff
WS12	Wo gohscht ane, sölled mer mit-er cho ?
WS13	Es sind schlächti Zite.
WS14	Mis liebs Chind, blib do one stoh, die böse Gäns bisset di z'tod
WS15	Du häscht hüt am meischt glehrt ond bischt brav gsi, Du darfst früener hei go als die andere.
WS16	Du bischt no nöd gross gnůeg zom die Fläsche usz'tringge. Du muescht zerscht no wachse ond grösser wärde
WS17	"Gang biss so guet ond säg dinner [Verdoppelungsstrich auf 'n'] Schwöster, sie söll die Chlaider [oder ev. ""Chleider""?] vo dr Muetter fertig büeze ond mit dr Börste suber mache."
