---
Bogennummer: '44690'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.558501'
...
WS1	Im Winter fliege die droggene Bletter in der Luft umme.
WS2	S'heert gly uff schneye, derno wird s'Wädder wider besser.
WS3	Due Kohle-n-in Härd, dass d'Milch bald afoht koche.
WS4	Dä guet alt Ma isch mit em Ross ins Ys ybroche und ins kalt Wasser gfalle.
WS5	Er isch vor vier oder säggs Wuche gschtorbe.
WS6	S' Fyr isch z'schtaark gsi, d'Kueche sinn jo unde ganz schwarz verbrennt.
WS7	Er isst d'Eier immer ohni Salz und Pfäffer.
WS8	D'Fiess diemer fescht weh, i ha glaub d'Soole duregloffe.
WS9	I bi by der Frau gsi und ha-n-eres gsait, und si het gsait, si wells au ihrer Dochter saage.
WS10	I wills au nimme due.
WS11	I schloo dr graad der Kochleffel um d'Ohre, du Aff !
WS12	Wo gohsch aane, solle-mer mitdr koh ?
WS13	S'sinn schlächti Zyte !
WS14	Lieb Kind, blyb do unde schtoh, die beese Gäns bysse di zdood.
WS15	Du hesch hit ammaischte gleert, de darfsch friejer heim als die andere.
WS16	De bisch noni grooss gnueg, fir e Fläsche Wy uuszdringge, de muesch z'erscht none bitzeli waggse-n-und greesser wärde.
WS17	Gang syg so guet und saag dyner Schweschter, si sotti d'Klaider fir eieri Mueter fertig naaje und mit der Birschde suuber mache.
