---
Bogennummer: '44690'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.558501'
...
WS18	Hätsch du-n-en kennt, so wärs anderscht koh, und s'wurd besser um-en schtoh.
WS19	Wär het mer my Korb mit-dem Flaisch gschtoohle ?
WS20	Er het eso doh, wie wenn si-n-en zum Dresche bschtellt hädde, si händs aaber sälber gmacht.
WS21	Wämm het er die neji Gschicht verzellt ?
WS22	Me muess lut briele, suscht verschtoht-er-is nit.
WS23	Mer sinn mied und händ Durscht.
WS24	Wo mer geschter z'Obe heimkoh sinn, sinn die andere scho i Bett gsi und hänn scho fescht gschloofe.
WS25	"Der Schnee isch die Nacht by und [""uns""?] lige blibe, aaber hit-e Moorge-n-isch er gschmulze."
WS26	Hinter unserm Huus schteen drei scheeni Epfelbaimli mit roote-n-Epfeli.
WS27	Kennte-n-er nit no-ne-n-Augebliggli uff is waarte, derno kemme mer mitich.
WS28	Er derfe nit soonigi Kindereje mache.
WS29	Unseri Bärg sinn nit grad hooch, eieri sinn vyl heecher.
WS30	Wie mäng Pfund Wurscht und wievyl Brot wänder ?
WS31	I verschtandich nit, er mien e bitzeli luter reede.
WS32	Händer nit e Schtiggli wyssi Saifi vo mir uff mym Disch gfunde ?
WS33	Sy Brueder will sich zwai scheeni neji Hyser in-eiere Gaarte baue.
WS34	Daas Woort ischem vo Härze koh !
WS35	Daas isch rächt gsi vo-n-ene.
WS36	Was fir Veegeli sitze doo uffem Myrli oobe ?
WS37	D'Buure hänn fümf Oggse-n-und Kieh und zwelf Scheefli, wo si hänn welle verkaufe, vors Doorf uusebroocht gha.
WS38	Alli Lyt sinn hitte dusse-n-uffem Fäld und maaje.
WS39	Gang numme, dä bruun Hand machter nyt !
WS40	I bi mit de Lyt deert hinde iber d'Matte ins Korn gfahre.
