---
Bogennummer: '44693'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 909f8b70-10fe-4950-b132-6b783da24cb2
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.567416'
...
WS1	Im Winter fliege die trockene Blätter in dr Luft umme.
WS2	Es hert gly uff z'schneie, derno wird 's Wätter wider besser.
WS3	Due Kohle [unvollst.] in Ofe, ass d'Milch bald afangt koche.
WS4	Dr guet alt Ma isch mit-em Ross durs Ys broche und ins kalt Wasser gfalle.
WS5	Er isch vor vier oder säx Wuche gschtorbe.
WS6	's Fyr isch z'stark, d'Kueche sind jo unde ganz schwarz brennt. (verbrennt)
WS7	Er isst d [...]ier allewyl ohni Salz und Pfäffer
WS8	D'Fiess dient mehr fescht weh, i glaub, i ha sie wund gloffe.
WS9	I bi by dr Frau gsi und ha-n-er-es gsait, und sie het gsait, si well's irer Tochter au sage.
WS10	I will's au nie meh due.
WS11	Y hau dr gly mit-em Kochleffel um d'Ore, du Aff!
WS12	Wo gohsch ane; soll-i mit der goh?
WS13	Es sind schlächti Zyte.
WS14	My lieb Kind, blyb do unde stoh, di beese Gäns bysse di z'dood.
WS15	Du hesch bitte am maischte gleert und bisch ordlig gsi, du darfsch friener haim goh ass die andere.
WS16	Du bisch no nit groos gnueg fir e Fläsche Wy uusztringge, du muesch zerscht no-n-e bitzli wayse und greesser wärde.
WS17	Gang, syg so guet (bisch so guet), und sag dyner Schwester, si soll d'Klaider für eiri Mueter fertig naye und uusbirschte.
WS18	Hättsch-en kennt! Derno wär's anderscht ko, und es stiengti besser um-en.
WS19	Wär het mer my Korb mit-em Flaisch gstohle?
WS20	Er het derglyche do, wie wenn si-en zuem Dresche bstellt hätte; sie händ's aber sälber gmacht.
WS21	Wämm het-er die neÿi Gschicht verzellt?
WS22	Me muess luut schreie (gröber: briele), sunscht verstoh-er-is nit.
WS23	Mer sind mied und händ Durscht!
WS24	Wo mer geschtert z'obe zruck ko sind, sind die andere scho im Bett gläge und sind fescht am Schloofe gsi.
WS25	Dr Schnee isch hit z'nacht by-n-is lige blibe, aber hitti morge isch er gschmulze.
WS26	Hinter unserem Huus stehn drei scheeni Epfelbäumli mit rote-n- Epfeli.
WS27	Kennet-er nit wo-ne-n-Augebliggli uff-is warte? derno gehnd mer mit-ich.
WS28	Ihr derfet nit sonigi Kindereie trybe.
WS29	Unseri Bärge sind nit fescht hoch, eieri sind vyl heecher.
WS30	Wievyl Pfund Wurscht und wievyl Brot mient-er ha?
WS31	I verstand-ich nit, er mient e bitzli luuter rede (schwätze).
WS32	Händ-er kai Stiggli wyssi Saifi fir mi uff mym Tisch gfunde?
WS33	Sy Brueder will sich zwai scheeni neÿi Hyser in eierem Garte baue.
WS34	Das Wort isch-em vo Härze (uss-em Härz) ko.
WS35	Das isch nit rächt gsi vo-n-em.
WS36	Was fir Vegeli sitze uff-em Myrli obe?
WS37	D'Buure händ fünf Oxe und nyn Kieh und zwelf Scheefli vors Dorf brocht; die händ sie welle verkaufe.
WS38	D'Lyt sind hitte alli dusse-n-uffem Fäld und maije.
WS39	Gange numme, dr bruun Hund duet dr nyt.
WS40	I bi mit de Lyt do hinde iber d'Matte ins Korn gfahre.
