---
Bogennummer: '44694'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.600536'
...
WS1	Im Winter fliege die droggene Blätter in d'r Luft umme.
WS2	s'Hert gly uff z'schneije, derno wird s'Wätter wieder besser.
WS3	Due Kohle in Ofe, dass d'Milch bald afoht z'koche.
WS4	Dä guet alt Ma isch mit em Ross (Gaul) dur s'Ys broche und in s'kalt Wasser gfalle.
WS5	Er isch vor vier oder sa(◌̉)chs [der Kringel sollte über dem 'a' stehen] Wuche gstorbe. 
WS6	s'Fyr isch z'stark gsi, d'Kueche sin jo unde ganz abrennt.
WS7	Er isst d'Eier allewyl ohni Salz und Pfa(◌̉)ffer [der Kringel sollte über dem 'a' stehen].
WS8	d'Fiess dien m'r heillos weh, y glaub, y ha si dure gloffe.
WS9	Y bi by där Frau gsi und han-er-es gsait, und si het gsait, si well's au ihrer Dochter sage.
WS10	Y will's au nimme due !
WS11	Y schloh d'r gly mit em Kochleffel an d'Ohre, du Aff !
WS12	Wo gosch hi, solle m'r mit d'r goh ?
WS13	s'Sin schlächti Zyte !
