---
Bogennummer: '44695'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.571575'
...
WS26	Hinder ŭnserm Hŭs stönde drei schöne Öpfelbäŭmli mit roten Öpfeli.
WS27	Chönntet Ihr nit no en Aŭgebliggli ŭf ŭns warte, dann chönnte mier mit Euch goh.
WS28	Ihr dörfet nid so tŭe wie Chindsköpf. | Ihr dörfet nid so dŭmms Züg mache.
WS29	Unsri Bärge sind nid so hoch, Eŭri sind viel hecher.
WS30	Wieviel Pfünd Würst ŭnd wieviel Brot wänd ier ?
WS31	Ich verstand Eŭch nit, ihr müend e bitzeli lŭter rede.
WS32	Händ ier kai Stückli wissi Saifi für mis [?] uf mim Tisch gfŭnde ?
WS33	Si Brŭeder will sich zwei scheni neŭi Hüser in Eŭrem Garte baŭe.
WS34	Das Wort isch iem vo / ŭssem [beide Ausdrücke stehen übereinander] Härze cho.
WS35	Das händ sie rächt gmacht.
WS36	Was für Vögeli sitze do obe ŭff em Mürli ?
WS37	D'Búre händ fünf Ochse ŭnd nün Chüeh ŭnd zwölf Schöfli vor 's Dorf brocht; die wänd sie verkaufe.
WS38	Alli Lüt sind hütte dŭsse ŭff em Fäld ŭnd mai=je.
WS39	Gang nŭmme, der brŭn Hŭnd tŭet dier nüt.
WS40	"Ich bi mit däne Lütt, wo do hinder mier [oder ""min""?] sind, über d'Wiese / d' Matte [beide Ausdrücke stehen übereinander] ins Chorn gfahre."
