---
Bogennummer: '44696'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.562998'
...
WS3	tuə kôlə ĭn ôfə înə, ăss d'milch glî kŭnnt (băld âfangt kŏchə.)
WS4	ðr guət(ͥ) ălt(ͥ) [der Lehrer setzt eine kleine Klammer um die beiden hoch gestellten ' ͥ '] mâ ĭsch ŭff əm îs îprochə ŭnd ĭns k(h)ălt [das 'h' ist klein und hoch gestellt] wassər gfăllə (g'flôgə)
WS5	ər i̊sch [?] viər ôdər säx wŭchə g'schôrbə.
WS6	s'fîr ĭsch z'schtârgg g'sĭ. t'k(h)uəchə [das 'h' ist klein und hoch gestellt] (wâjə) sĭnn jô ŭndə ganz schwârz. (âprennt)
WS7	ər ĭsst ð'eiər ĭmmər ônĭ sălz ŭnd pfä̆ffər.
WS8	ð'fiəss tĭən mər ârg* wê, ĭ glaub ĭ haigsĭ wŭnd glŏffə. || * fŭrchtbar, zĭmpftig schrĕgglig
WS9	"I bê bĕdər [oder ""be̊dər""?] frau g'sî ŭnd hânərəs g'sait, ŭnd sî het g'sait, sĭ well's au îrər ðŏchtər sâgə."
WS10	I wĭll's g'wĭss nĭə mê duə.
WS11	I hau (gĭb, schlô) dər mĭtəm k(h)ŏchleffəl [das 'h' ist klein und hoch gestellt] (mit'r chĕllə) ŭmm tốrə*, dŭ ăff.  * offenes ô [doppelt unterstrichen].
WS12	wŏ gôsch ânə, sŏlləmər mĭtər k'(h)ô [das 'h' ist klein und hoch gestellt] ?
WS13	S'sĭnn schlä̆chtĭ zĭttə.
WS14	li̊əbs k(h)ĭnd [das 'h' ist klein und hoch gestellt], blîb dŏ ŭndə schtô, dĕ bêsə gä̆ns bîssə dĭ sŭsch tŏt.
WS15	"ðû hesch hĭttə ăm maischtə g'lêrt ŭnd bĭsch liəb g'sî, dû dârfsch vo̊r [oder ""vŏr""?] ðən ăndərə haimgô."
WS16	dŭ bĭsch nônig grôss gnuəg fĕr ə flä̆schə wî ûszðrĭnggə, dû muəsch z'erscht nŏ wåggsə ŭnd grêssər w^ärdə [das ' ^' kann ich nicht auf das 'ä' setzen].
WS17	"Găng, sĭgg sŏ guət ŭnd sâg dînər schwĕschtər sĭ sell / söll [steht unter ""sell""] ð'k(h)laidər [das 'h' ist klein und hoch gestellt] fŭr öiri muətər fĕrtĭg nâiə ŭnd mĭtər bîrschtə ăbpŭtzə."
WS18	hätsch'n dû k(h)ennt [das 'h' ist klein und hoch gestellt], (sŏ) w^ärs [das ' ^' kann ich nicht auf das 'ä' setzen] andərs k(h)ô [das 'h' ist klein und hoch gestellt] ŭnd s'schtiənd bessər mĭtəm. (s't^älli [das ' ^' kann ich nicht auf das 'ä' setzen] bessər mitəm schtô.)
