---
Bogennummer: '44708'
Ort: Giebenach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: c127e1f3-f368-44ee-85ce-b483260ee298
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.394403'
...
WS1	Im Wintr fliäged diä trochne Bletter in der Luft ume
WS2	Es hört gli uf schneiä, do wird ds Wätter wider besser
WS3	Tue Cholä in Ofä, dass d Miläch gli afoht chochä.
WS4	Dr guet alt Ma isch mit em Ross durs Ys ibrochä und ins chalt Wasser gfallä.
WS5	Es isch vor viär oder sächs Wuchä gstorbä.
WS6	Ds Füür isch z'starch gsi, dänn d'Chuechä si unde ganz schwarz verbrännt.
WS7	Er isst d Eier allewil oni Salz un Pfäffer.
WS8	D Füess tüen mer fest weh, i glaub i bi uf gloffä.
WS9	I bi bi dr Frau gsi und ha neres gseit, und sie hät gseit, sie wells au ihrem Meitli säge
WS10	I wills au nümä me tue.
WS11	I hau dr gli emol dr Chochlöffel um d'Ohrä, du Aff.
WS12	Wo gohsch hi, sellemer mit dr cho?
WS13	Es si schlächti Zite!
WS14	Du liäb Chind, blib do undä schtoh, diä böse Gäns bissä di süscht z'tod.
WS15	Du häsch hütä am meistä glehrt und bisch ordli gsi, du darfsch jetz drum ehnter hei ass diä anderä.
WS16	Du bisch nid gross gnueg um e Fläschä Wi uszdringgä, du muescht zerst no wachsä und grösser wärdä.
WS17	Bisch so guet und gang sägs diner Schwestr, si sell Kleider für öji Muettr fertig näjä und abbürschtä.
WS18	Hättschen du kännt, dernoh wers anterscht cho, es tet besser umen stoh.
WS19	Wär hät mer mi Chorb mit Fleisch gstohlä?
WS20	Er hät eso to, wiä wenn er en zum tröschä bstellt hät, sie heis aber sälber to.
WS21	Wäm het er diä noji Gschicht verzellt?
WS22	Mä muess lut brüelä, susch verstoht er is nit.
WS23	Mr si müed und hai Durscht
WS24	Wo mr geschter Zobä zrugg chu si, do si diä andrä scho im Bett gläga und hei scho fest gschlofä.
WS25	Dr Schnee hät si die letzscht Nacht bi öis gleit, und isch de Morgä scho abgangä.
WS26	Hinder öisem Huus stönde drei schöni Öpfelböimli mit rote Öpflä.
WS27	Chötted er nidno e chli uf öis wartä, dä chömä mer au mit.
WS28	Ihr dörfet jetz nüma so Chinderzüüg machä.
WS29	Öisi Bergä si nid so höch, öji si halt vil höcher.
WS30	Wiä mäng Pfund Wurscht und Brot weit er?
WS31	I verstoh nech nit, dr müesst e chli luter schwätzä!
WS32	Heit er kei Stückli wissi Seifi für mi uf mim Tisch gfundä?
WS33	Si Brueder will zwöi schöni nöji Hüser in eurem Gartä baue.
WS34	Das Wort isch em vo Härzä cho.
WS35	Das isch rächt gsi vunene.
WS36	Was hocke do für Vögeli uf em Mürli obä?
WS37	D Buure hei fünf Stiärä und nün Chüe und zwölf Schof vor s Dorf brocht; si heis ä wellä verkaufä.
WS38	D Lüt si hüt alli duss uf em Fäld und meijä.
WS39	Gang numä, dr brun Hund macht dr nüt.
WS40	I bi mit dä Lüte dahindä über d'Mattä ins Chorn gfahrä.
