---
Bogennummer: '44709'
Ort: Olsberg
Gid: 16300
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Über den 40 Wenker-Sätzen notiert der Lehrer: "x  k  wird gesprochen
  wie in Bäcker (hinterer Gaumen!)

  Ein t (th) gibt es in unserer Mundart nicht. An seiner Stelle steht ein starkes
  d, etwa wie in Widder" -

  Dabei findet sich ''x'' in Satz 6 vor ''Kuèche''; in Satz 17 vor ''Kläider''; in
  Satz 18 vor ''kènnd'' und in Satz 32 vor ''ck'' in ''Schddööckli''.

  Offenbar ist die Schreibweise mit ''dd'' dem Lehrer erst beim Schreiben des 1.Satzes
  eingefallen: bei ''im 1.Satz ist das 2.''d'' oben eingefügt und später oft am Wortanfang
  oder -ende angefügt worden. Dadurch sind Wortabstände sehr klein geworden.}'
Erstelldatum: 2024-10-23 14:36:31.812047
Änderungsdatum: 2024-10-25 19:00:04.613179
Satzversion: 1
...
WS1	Im Wēndder {2.'d' ist nachträglich oben engefügt} fliège di ddrochne Blèdder i dr Lōfdd ōme.
WS2	Es hördd glii uuf z' schnèie, denn wēērd 's Wädder wēder besser.
WS3	Ddue Chòlen-in-Òfe, daß d' Mīlch bald aafèèdd chòche.
WS4	De guedd aldd Maa ēsch mēddem Roß dōrs Jis b'bròche ōnd is chaldd Wasser gfalle.
WS5	Er ēsch vòr vièr oder sächs Wōche gschddōōrbe {zunächst nur mit einem 'ō'} <(ōō)>.
WS6	S' Füür ēsch ddschddarch gsii, *Kuèche {auf dem Wenker-Bogen steht ein hochgestelltes 'x' anstelle von '*' und verweist auf die Bemerkung ganz oben auf dem Blatt - siehe Bemerkung zur Aussprache von 'K' im Kommentar zum kompletten Wenker-Bogen} sēnd jò ōnde ganz schwarz b'brènndd.
WS7	"Er ēßdd <(auch ""äßdd"")> dd' Äier ēmmer òni Salz ōnd Pfäffer."
WS8	D' Füeß ddüend {angefangenes Wort ist durchgestrichen} mer fèschdd <(schddarch)> wēē, i glaͣ̈ube, i häig si dōōrgglòffe.
WS9	I bè bi der Fraͣ̈u gsii ōnd han-er-es gsäidd, ōnd sē hedd gsäidd, sē wèlls aͣ̈u ērer Dochdder {'sàge' ist durchgestrichen} sääge
WS10	J wēlls aͣ̈u nȫmme dduè.
WS11	J schlòò dèr graad dè Chòchlö̀ffel ōmm dd' Ōōre, du Aff.
