---
Bogennummer: '44712'
Ort: Füllinsdorf
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.251741'
...
WS29	Öisi Bärgè si nit grad höch, öi-i si vill höchr.
WS30	Wièvill Pfund Wurscht und wièvill Brot weitr ha ?
WS31	I verschtand öich nit, dr müesst è bizli lutr schwätzè.
WS32	Heitr kei Schtückli wissi Seifi gfundè für my uf-em Disch ?
WS33	"Si Bruèdr will sy [oder ""si""? (übertippt)] zwöi shöni nöi-i Hüsr in öïem Gartè bauè."
WS34	Das Wort isch-èm vo Härzè cho.
WS35	Das isch rächt gsy vo-n-ech !
WS36	Was sitzè do für Vögeli uf dèm Mürli obè ?
WS37	D'Burè hei föif Schtièrè und nün Chüè und zwölf Schöfli vor s'Dorf brocht, diè hei sy wellè verchaufè.
WS38	D'Lüt si hüt alli dussè uf-em Fäld und mäjè.
WS39	Gang, nummè, dr brun Hund macht-dr nüt.
WS40	I bi mit -dè Lütè do hindè übr d'Mattè ins Chorn gfahrè.
