---
Bogennummer: '44724'
Ort: Buus
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: c127e1f3-f368-44ee-85ce-b483260ee298
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.305563'
...
WS1	Im Winter fliege die dürre Bletter in der Luft umme.
WS2	Es loht glih noh schneie (Es hört gli uf z'schneie), derno wird s'Wetter wieder besser.
WS3	Tue Chohle in Ofe, ass d'Milch bold afeht z'choche (afeht choche).
WS4	Dr guet alt Ma isch mit im Ross durs Iis broche und in das (ins) cholt Wasser gfalle.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	's Füür isch z'schtark gsi; d'Chueche si jo [...] ganz verbrennt.
WS7	Er isst d'Eier allewil ohni Solz und Pfäffer.
WS8	D'Füess tüje mir grüsli weh; i glaube, i heig se durloffe.
WS9	I bi bi dr Frau gsi und ha-n-er es gsait, und si het gsait, si wöll's au ihrer Tochter säge.
WS10	I will's au nümm wieder tue.
WS11	I schlo dr glii mit im Chochlöffel um d'Ohre, du Aff.
WS12	Wo gohsch du ane (hi), selle m'r mit d'r goh?
WS13	Es si schlechti Zite.
WS14	Mis liebs Chind, blib do unde schtoh; die böse Gäns bisse di z'tod.
WS15	Du hesch hüt am mehrste glehrt und bisch brav gsi; du darfsch früijer hei go ass die andere.
WS16	Du bisch no nid gross gnueg für e Fläsche Wi usztrinke, de (du) muesch zerst no echli wachse u. grösser werde.
WS17	Gang, bisch so gut und säg diner Schwester, sie sell d'Chleider für eui Mueter fertig naihe und mit dr Bürste sufer mache.
WS18	Hätsch du ihn kennt, derno wer's anderscht cho und es teet besser mit ihm stoh.
WS19	Wer het m'r (mir) mi Chorb mit Fleisch gstohle? (Chorb, wo Fleisch drin gsi isch)
WS20	Er het e so to, ass wie wenn sie ihn zum Drösche agstellt hätte; sie hei's aber selber to (g'macht).
WS21	Wemm het er die neue Gschichte verzellt?
WS22	Me mues lut schreie (brüele), süscht verstoht er is nit.
WS23	M'r (mir) si müed und hei Durscht.
WS24	Wo mir gester z'Obe zrugg cho si, so si die andere scho im Bett gläge und hei fescht g'schlofe.
WS25	D'r Schnee isch die Nacht bi eus blibe ligge; aber hütt am Morge isch er gschmolze.
WS26	Hinder eusem Huus stönde drü Öpfelbäumli mit rote Öpfele.
WS27	Chönnet er nit no-nes Augeblickli uf is (eus) warte; derno gange m'r mit ech (euch)
WS28	Dir (d'r) dörfet nit sonigi Chindereie tribe.
WS29	Eusi Berge si nit gar höch; eui si vill höcher.
WS30	Wie menggs Pfund Wurst und wie vill Brot weit er ha?
WS31	I verstoh-n-ech nit; d'r müesst e chli lüter rede (spreche).
WS32	Heit d'r (dir) keis Schtückli wissi Seipfi für mi uf mim Tisch gfunde?
WS33	Si Brüeder will sich zweu schöni neui Hüser in euem Garte baue.
WS34	Das Wort isch i'm (ihm) vo Herze cho!
WS35	Das isch recht gsi vo ihne.
WS36	Was sitze do für Vögeli obe-n-uff dem Mürli?
WS37	"Die Bure hei feuf Ochse und nün Chüe und zwölf Schöfli vors Dorf brocht gha; die hei sie wölle verchaufe. (""Die Bure"" demonstr.; ""D'Bure"" Artikel)"
WS38	D'Lüt sii hüt alli duss uff im Feld und maije.
WS39	Gang num̄e; d'r brun Hund tuet d'r (dir) nüt.
WS40	I bi mit de Lüte do hinde über d'Matte ins Chorn gfahre.
