---
Bogennummer: '44729'
Ort: Schwaderloch
Gid: 18024
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Auch dieser Bogen ist wohl nachträglich durch jemand kontrolliert und\
  \ mit rotem Farbstift korrgiert worden. Am oberen Blattrand steht ganz dünn mit\
  \ rotem Farbstift \"eu  au = öi\". Ist dabei 'a' von 'au' mit einer Art Tilde versehen?\n\
  Hier ist die Übersetzung des Lehrers transkribiert. Rote Korrekturen sind in geschweifter\
  \ Klammer mit \"2.Hand: ... \" vermerkt.\nDer Lehrer schreibt oft einen kleinen\
  \ Punkt über 'e'; auf der Rückseite des Bogens steht jedoch ein kleiner senkrechter\
  \ Strich über 'e' - in der Transkription der Wenker-Sätze verwende ich den vom Lehrer\
  \ verwendeten Punkt. \nWeitere Schwierigkeit: manchmal ist nicht klar, ob der Lehrer\
  \ 'ė' oder 'i' geschrieben hat, Beispiele: WS13, 15, 29, 30.}"
Erstelldatum: 2024-07-17 14:36:52.009236
Änderungsdatum: 2024-09-16 12:06:07.175739
Satzversion: 1
...
WS1	Im Winter flüged di trochne Blätter i der Luft ume.
WS2	Es hört glii uuf schnėie, dro {2.Hand: rote Wellenlinie unter 'dro' und rotes '?' am linken Blattrand} {(wohl) 3.Hand: weitere Korrektur: mit dickem schwarzem Stift 'n' oben zwischen 'r' und 'o' eingefügt und am linken Blattrand schwarz 'drno' notiert - andere Schrift: senkrechte Druckbuchstaben}  wird's Wätter wider besser.
WS3	Tue Chole in Ofe iė, ạs d' Milch bald aafangt süde.
WS4	De guet alt Ma isch mitde Rosse durs Iis bbroche und is chalt Wasser iė ghėit
WS5	Er isch vor viėr oder sechs  <ä breit> {über 'sechs' notiert der Lehrer 'ä breit'}  Wuche gschdorbe.
WS6	s' Füür isch z' starch {2.Hand: 's' rot unterstrichen und am linken Blattrand rot 'sch' notiert} gsii, Kuėche {bei 'K' wurde rumkorrigiert} sind jo unde ganz schwarz bbrännt.
WS7	Er isst d' Eier immer oni {zunächst 'uni', dann 'u' mit grossem 'O' eingekreist: Vermutung von Frau Prof. Glaser: damit wird angedeutet, dass der Laut zwischen 'u' und 'o' liegt} Salz und Pfäffer. <(ä breit)>
WS8	D' Füėss tüė mer seumäsig weh, i glaub, i has durggloffe.
WS9	I bi bi dėr Frau gsii und haneres gseit {2.Hand: rot 'e' unterstrichen und am rechten Blattrand dünn rot 'a' notiert}, undsi hett gsait {unter 'gs' ist ein Kleckslein}, si wells au irer Tochter säge.
WS10	I wills nümme tuė  {über 'u' ist ein kleines Drecklein} !
WS11	I hau der grad mittem Chochlöffel umd Ohre umme, du Aff.
WS12	Wo goosch hi <(i=e)>, selle mer mitter cho <(goo)>
WS13	Es sind schlächti {wohl zunächst 'ė' und dann mit 'i' überschrieben} Zitte !
WS14	Mi liėb Chind, bliib unde stoh {2.Hand: rot 's' unterstrichen; 'sch' rot am linken Blattrand notiert}, di bööse Gǟns biissetti tod.
WS15	Du hesch hütt am meischte gleert und bisch brav gsi[ė] {unklar, ob 'ė' oder 'i'} , du tarfsch eeh hei ass di andėrė.
WS16	Du bisch nonid grōss {ganz dünner Strich über 'o'}̇ gnuėg, zu̇m ė Fläschė Wii uustrinke, du muėsch zerscht no chli wachse und grösser werde.
WS17	Gang, bis|so guėt und säg dir Schwöschter {zunächst 'Schwöster', dann dünn oben 'ch' zwischen 's' und 't' eingefügt}, si sell Kleider für eui Muėtter fertig näie und mit der Bürschte butze.
WS18	Wänn en nu kännt hettisch !  dänn wärs anderscht cho, undsschtiėnd besser mittem.
WS19	Wer hett mer min Chorb mittem Fleisch gschtolė.
WS20	Er hett dergliiche to, si heigeden zum Trösche bschtellt; si hends aber sälber gmacht.
WS21	Wemm hetr di neu Gschicht verzellt ?
WS22	Mer muė lut brüėle, suscht verschtoht er is it.
WS23	Mer sind müėd und hend Durscht.
WS24	Wo mer geschter Zoobėd zrugg cho sind, sind di {zunächst 'die'} andėrė scho im Bett gläge und hend {'scho' ist durchgestrichen} fescht gschlooffe.
WS25	De Schnee het hinicht bi eus ghebt, aber hüt am Morge ischer vergange.
WS26	Hindusse schtönd drü schöni Öpfelbäumli mit roten Öpfelene.
WS27	Chöneder {'it' ist durchgestrichen} id nu en Augeblickli úfis warte, dänn gömer mitti.
WS28	Ir törffed id eso gfätterle.
WS29	Eusi Berg sind id e so höch, euė {oder 'eui' ?} sind vil hȫcher.
WS30	Wi mengi Pfund Würscht und wėvėl  {oder 'wivil' ?} Brot wenndr ? {aus dem Punkt scheint nachträglich ein Fragezeichen gemacht worden zu sein}
WS31	I verschandi {2.Hand: rot 't' oben zwischen 'h' und 'a' eingefügt} it, er müėnd e chli lutter schwätze. <(rede)>
WS32	Hend er e kei Stückli {2.Hand: 'S' rot unterstrichen, 'sch' rot am linken Blattrand notiert} wiissi Seupfe für mi uf mim Tisch funde.
WS33	Sin Brüėder will für inn zwöi schöni neui Hüüser i euem Garte bouė.
WS34	's Wort ischem vo Herze cho
WS35	Da isch rächt gsii vonech.
WS36	Was hocked do für Vögeli ufem Mürli obe.
WS37	D' Pūre hend feuf Stiėrė {2.Hand: 'S' rot unterstrichen und rot 'sch' am linken Blattrand notiert} und nüün Chüė und zwölf Schȫfli vors Dorf use bro̱cht gha, si hend's welle verchaufe.
WS38	D' Lǖtt sind höt {zunächst 'hüt', dann 'ü' mit grossem 'Ö' eingekreist: Laut zwischen 'ö' und 'ü' ?} alli ufem Feld uss und maied. <(mäjed  ä breit)>
WS39	Gang nu, de brun Hund machtder nüt.
WS40	I bi mit de Lütte do hìnd ü̇ber d' Matte is {hier ist am Wortende etwas radiert: 't' ?} Chorn g'fahre.
