---
Bogennummer: '44730'
Ort: Mettau
Gid: 20255
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Der Lehrer notiert gelegentlich eine Art \"Kringel\" über 'u' und dazu\
  \ überdies ein Gravis (für die Aussprache). Ich nehme an, dass der Kringel nur dazu\
  \ dient, 'u' und 'n' klar zu unterscheiden. Deshalb lasse ich diesen \"Kringel\"\
  \ in der Transkription weg. Beispiele: WS1 'Lùft', 'ùme' und WS2 'uuf'; nicht aber\
  \ in WS3 'tùe' und WS4 'gùèt' 'dùrs', 'ùnd'. \nAb WS11 verwendet der Lehrer manchmal\
  \ einen kleines Böglein ' ̆ ' über 'u' und dazu Gravis oder Querstrich. Diese Böglein\
  \ findet sich auch in der Transkription. Beispiele WS11 'um', 'ume'; WS18 'use'.\n\
  Ferner setzt er über 'e' in manchen Fällen ein kleines 'o' (in der Liste des Diakritika\
  \ bei den hoch gestellten Vokalen) ; während andere Lehrer in diesen Fällen das\
  \ Kreislein ' ̊ ' verwenden (in der Liste der Diakritika nach dem Trema).}"
Erstelldatum: 2024-07-18 15:19:51.344557
Änderungsdatum: 2024-09-16 13:24:18.880881
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flüüge di tròchne blètter i̇̀ deͦr lùft ùme. 
WS2	eͦs höört grad uuf schnèije, deͦrnò wi̇̀rt s' wätter wi̇̀der bèsser.
WS3	tùe chòle-n-i̇̀n òfe-n-ie, as <(d')> mi̇̀lch glii a fang‿kòche {Der Lehrer notiert noch einen Bindestrich über dem Verbindungsbogen} .
WS4	deͦ gùèt alt maa i̇̀sch mi̇̀t-eͦm ròss dùrs iis bròche ùnd is chalt wasser ie ghèit
WS5	eͦr i̇̀sch vòr vièr oder sächs wùche gschtoorbe {zunächst 'gstoorbe', dann zwischeb 's' und 't' oben 'ch' eingefügt}.
WS6	s' füür i̇̀sch z' schtarch gsii, <(g')> chùèche si̇̀nd jò ùnde ganz schwarz brännt.
WS7	eͦr isst-äier i̇̀mmer ōni salz ùm-pfäffer.
WS8	<(p')> fǜèss tǜemer chäibe wee, i glaͣ̈ub i has dùre glòffe.
WS9	i bi̇̀ bi̇̀der fraͣ̈u gsii ùnd ha-n-i̇̀r eͦs gsäit, ùnd si hèt gsäit {bei 'a' rumkorrigiert}, si häigs i̇̀rer tòchter ä wèlle sääge.
WS10	i wi̇̀ls ä nǜme mē mache.
WS11	i haͣ̈u - deͦr grad deͦ chòchlö̀ffel ŭ̀m t' oore ŭ̀me {in beiden Fällen sieht das Böglein über 'u' anders aus als der bisherige Kringel: 'u' mit Böglein und Gravis} , dū {'u' nur mit Querstrich} aff.
