---
Bogennummer: '44733'
Ort: Hottwil
Gid: 15923
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: ''
Original Anmerkungen: '{Der Lehrer notiert auf der Rückseite unter den übersetzten
  Einzelbegriffen: "N.B. In Hottwil wird das  o  auffällig geschlossen gesprochen."}'
Erstelldatum: 2023-04-15 14:17:27.262699
Änderungsdatum: 2023-04-19 12:39:34.397256
Satzversion: 1
...
WS1	Im Winter flüge di trochne Blätter i der Luft ume.
WS2	"Es hört gly uf schneie {zunächst versehentlich ""scheie"", dann zwischen 'h' und 1.'e' oben 'n' eingefügt}, denn isch s' Wätter wider besser."
WS3	Tue Chole in Ofe, dass d' Milch gly chochet.
WS4	De guet alt Ma esch mit em Ross dors Ys i s' Wasser abegheit.
WS5	Er esch vor vièr oder sächs Woche gstorbe.
WS6	s' Füür het z' fescht brennt, d' Chueche sind ja unde ganz schwarz
WS7	Er isst d' Eier emmer oni Salz & Pfäffer.
WS8	Pfüess tüemmer weh, i glaub i ha 's doregloffe.
WS9	I be bi der Frau gsie und haneres gseit, und si {zunächst 'sie', dann 'e' durchgestrichen} het gsäit, si well's au {zunächst 'äu', dann Trema durchgestrichen} irem Maitli säge.
WS10	I wills nümme mache.
WS11	I hau der grad eis mit em Chochlöffel hinder d' Ohre, du Aff.
WS12	Wo gosch he ? Müe'mer meter cho ?
WS13	Da send schlächti Zitte.
WS14	Blyb do unde stoh, di böse Gānse byse di z' tod.
WS15	Du hesch hött am meiste gleert u besch brav gsi, du dafsch ehner hei as di andere
WS16	Du besch no z' chly für e Fläsche Wy z' trinke, du muesch zerscht nochly wachse.
WS17	Bes so guet und gang säg diner Schwöschter {zunächst 'Schwöster', dann zwischen 's' und 't' oben '(ch) eingefügt} , si sell s' Chleid fūr d' Mueter fertig mache und usbörschte.
WS18	Hättischte du kännt !  denn wèr's {zunächst wohl 'war', dann 'a' dick mit 'è' überschrieben} anderscht cho, und er stiend o {hier bin ich unsicher, ob ev. angefangener Buchstabe leicht durchgestrichen ist; normalerweise hat 'o' rechts oben ei kleines Häkchen} besser do ! 
WS19	Wer hett mer de Chorb mit Fleisch gstole.
WS20	Er het so to, wie wenns e zum Trösche agstellt hätte und derby händ si sälber
WS21	Wemm {Verdoppelungsstrich auf 'm'} hett er di neu Gschicht verzellt.
WS22	Me muess lutt brüele, sosch verstoht er is ned.
WS23	Mer sind müed und händ Torscht.
WS24	Womer gester zrogg cho sind, sind di andere scho im Bett gläge und händ fescht gschlofe {zunächst 'gl,,', dann 'l' mit 's' überschrieben} .
WS25	De Schnee isch huͦ̈tt z' Nacht bi eus {'li' mit angefangenem 'g' ist durchgestrichen} blybe, aber huͦ̈tt am Morge isch er vergange.
WS26	"Hinder {nicht ganz klar, ob vielleicht statt 'i' ein 'e' gemeint ist} eusem Hus stönd drü {zunächst wohl 'drei', dann 'ei' dick mit 'ü' überschrieben} schöni Öpfelbe[u̇]mli {zwischen 'b' und 'm' wurde korrigiert, für die Version 'beuimli' fehlt jedoch ein ""Bein""} mit roten Öpfeli."
WS27	Chöned {zunächst mit 'S' begonnen, dann mit 'C' überschrieben} er nid {oder soll vielleicht 'ned' gemeint sein?} no es Augeblickli uf euis warte denn chömemer mit euich {zunächst 'euch', dann zwischen 'u' und 'c' ein 'i' eingequetscht} .
WS28	Er töfe nid dere Chindereie trybe.
WS29	Eusi Bärge sind nid es so höch, euji sind vill höcher.
WS30	Wie mängs Pfund Worscht {wohl zunächst 'Wurscht', dann 'u' dick mit 'o' überschrieben} und wivill Brot wänd er ha ?
WS31	Ich verstoh euch ned, er müènd es bitzli lütter rede.
WS32	Händ er kes St[ö]ckli {vielleicht zunächst 'ü', das zu 'ö' korrigiert wurde?} wyssi Seipfe för me uf mim Tisch g'funde.
WS33	Sin {zunächst 'Sind', dann 'd' durchgestrichen} Brüeder well em zweu schöni neuji Hüser i eue Garte boue.
WS34	Das Wort {'k' durchgestrischen} isch em vo Härze cho.
WS35	Da 'sch rächt gsy von em.
WS36	Wa hocke do fōr Vögeli uf em Mürli obe ?
WS37	Buure händ feuf Stiere-n-und  {zunächst 'Stiere und', dann zwischen den beiden Worten '-n-' von oben eingefügt} nün Chüe und zwölf Schöfli vors Dorf brocht, si händs welle verc[h]aufe {zunächst wohl 'verk', dann 'k' mit 'ch' überschrieben} .
WS38	D' Lüt mäje hütt alli uf em Fäld.
WS39	Gang nume, de brun Huͦnd macht' er nüt.
WS40	I be mit de Lütte do hinde übe d' Matt is Chorn iegfahre
