---
Bogennummer: '44738'
Ort: Oeschgen
Gid: 20263
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-08-12 13:07:09.159986
Änderungsdatum: 2024-08-14 16:42:57.482283
Satzversion: 1
...
WS1	ìm Wìnter flǖgĕ̀ di {zunächst 'die', dann 'e' durchgestrichen} trochnè blètter i dè lùft umme.
WS2	e̊s hȫrt grād ūūf schnējè, dèrnṑ wirds Wätter wìder bèsser.
WS3	tuä chōle i ōfe, as d' mìlch bald afèt chochè.
WS4	dĕ guèt alt māā ìschsch mìt èm ṙoss dùrs i̇̄i̇̄s prochà, ùnd is chalt Wasser iè̆ ghäït.
WS5	e̊r isch vor vièr ōder sächs wū̀che gschtorbè.
WS6	s' füürr i̇̀sch d' schtārk gsī, d' chùächä sind jò unde ganz verbrä̀nnt.
WS7	ĕr {oder 'e̊r' ?} i̇̀sst d' eier alle wiil ōni salz ùnd pfäffer.
WS8	pfüèss tüèmer bédäͣ̈nklìch wē, i glaͣ̈ubè i haͣ̈ig sī̇ dù̄re glòffè.
WS9	i bi̇̀ bė̀dè fraͣ̈u gsi ùnd han èr ès gsäit, ùnd si het gsäit, sī {zunächst wohl 'sìe', also anderer Akzent und dann 'e' durchgestrichen} wèlls äͣ̈u ì̄hrèm mäitli sàgè.
WS10	i wells äͣ̈u nümmè machchè.
WS11	i haͣ̈u der jèz {zunächst 'jètz', dann 't' durchgestrichen} dèrnṑ äͣ̈is mi̇̀t è̊m chèllèn um {zunächst 'chèllè um', dann 'n' ergänzt, und mit senkrechtem Strich beide Wörter getrennt} d' ōrä[u] ùmmè, dū à̆ff.
WS12	wō hé gṑsch, mùäs mèr mit d 'er chōo.
WS13	e̊s si̇̀nd schlächtĭ zi̇̆tte.
WS14	mis lièbs chìnd bliib dò̄ ū̀ndà schtṑṑ, di bȫse gäns bi̇̄ssè di ( ) <(dod)>  {unklar! entweder 1. aus Platzmangel nur '( )' am Zeilenende und in der folgenden Zeile folgt das Fehlende: '(dod)'   - oder 2. : es gibt zwei Alternativen  a) nur  'bissè di' und b) 'bissè di dod'} 
WS15	Du hèsch hù̈tt am mäischtè glēērt, ùnd bìsch ordli gsi̇̄, dū dārfsch ēnder häi gò as di andèrä̀
WS16	Du bi̇̀sch nò|i̇̀tt grōss gnūă̈g um è̆ fläschà̈ wīī ūsztri̇̀nk̈̀, du muèscht zērscht nò nè chli wàchsä ùnd grȫsser wǟrdè.
WS17	Gang, bi̇̀s so gūè̀t ùnd säg dinèr schwöschtèr, si sell Kleider för ö̀i̇̀si muè̀tèr fērtig nä̀iä̀ ūnd mi̇̀t dèr bȫȫrschtà bùtzè.
WS18	hättisch dū si̇̄ kännt. dènn wèrs anderscht chō, ùnd es schtiènd besser um nè.
WS19	Wèr hètt mèr mi chorb mìt èm flä̀isch {zunächst wohl 'fleisch'} gschtōōlè.
WS20	e̊r hètt èsō tòò wiè wenn si i̇̀nn zùm trȫschtè {sic!} bschti̇̀mmt hättè, si händs āber sälbèr gmacht.
WS21	wenn hḕtter di̇̄è nöji gschi̇̀cht vèrzèllt.
WS22	mèr mūès lutt {zunächst 'lùtt', dann Gravis durchgestrichen} brüèlà̈, sūscht vèrschtòt e̊rs {oder 'ĕrs' ?} itt. 
WS23	mèr sìnd müèd ùnd händ tòrscht.
