---
Bogennummer: '44753'
Ort: Döttingen
Gid: 20117
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Dieser Bogen ist auf Blankopapier geschrieben. In der rechten oberen
  Ecke auf der Seite mit den Angaben zur Herkunft, den übersetzten Einzelbegriffen
  und den Wenker-Sätzen 1 bis 11 (Satzanfang) ist mit rotem Farbstift "B" markiert.
  - Häufig werden über den Vokalen zwei Diakritika gesetzt; in manchen Fällen stehen
  diese Zeichen nebeneinander. In der Transkription werden beide Zeichen übereinander
  geschrieben, ausser der Vokal ist bereits ein Umlaut und die Diakritika sind deutlich
  nach dem Umlaut notiert.}'
Erstelldatum: 2023-09-14 16:36:10.535222
Änderungsdatum: 2023-10-02 12:43:38.376506
Satzversion: 1
...
WS1	Ìm Wi̇̀nter flüge̊d di tròchne blètter i dr Lù̀ft ùme̊nand.  
WS2	S hȫrt grad uuf schnèeie {zunächst 'schnè', dann 2.'e' hochgestellt und dann 'ie' angefügt} dänn wi̇̀rd s wätter wider besser.
WS3	Tue̊ Chòlen‿i dr òfen i'e ass d mi̇̀lch glii afö̀d chòche̊.
WS4	De̊ guet alt mā i̇̀sch mi̇̀t e̊m Ròss dùrs ii̇̄s bròche ùnd is chalt wasser i'e gfalle̊.
WS5	E̊r i̇̀sch vòr vi'er òder sächs woche gstorbe.
WS6	S für i̇̀sch z schtarch {zunächst 'starch', dann 'st' mit 'scht' überschrieben} gsii, d chueche sind jò ùnde ganz schwarz bbrännt.
WS7	E̊r i̇̀sst d eier i̇̀mmer ōne {zunächst 'ōhne', dann 'h' durchgestrichen} Salz ùnd Pfäffer.
WS8	D füess tüe[nd]‿mer {unklar, ob ggf. 'tüem‿mer' gemeint ist} fest weh, i glaub, i ha si dùreglòffe.
WS9	I bi bi dr frä ͣ̈uw gsi und ha n er es gsäid, und si häd gsäid {in beiden Fällen zunächst 'gseid' und dann 'e' mit 'ä' überschrieben}, si wells i̇̀rer tochter ä ͣ̈u säge. 
WS10	Ì wìlls ä ͣ̈uw nǜmme mache.
WS11	Ì schlò di̇̀r grad mi̇̀t e̊m Chòchlö̀ffel ùm d óóre ùme, du àff !
WS12	Wó gòscht du hère̊, sèle̊ me̊r mi̇̀t dr chō ?
WS13	E̊s si̇̀nd schlächti zite.
WS14	Mi li'eb chìnd, bliib dȯ ùnde schto, di bȫse Gänse biissed tē̇ z tód.
WS15	Dú häsch hǜt am mä ͣ̈ischte gglēert ùnd bi̇̀sch brav gsii, dú ddarfsch früe̊ner häi gṑ as di̇̀ andėre..
WS16	Dú bi̇̀sch nò ne ggróss gnueg, fǜr e̊ fläsche wii ús z tri̇̀nke, dù muesch z érscht nò chli wachse und grösser wèrde̊.
WS17	Gang, bisch so guet und säg dėr schwö̀ster si {zunächst 'sie', dann 'e' durchgestrichen} soll kläider fǜr eue mue̊ter fèrtig nä ͣ̈ie ùnd mit dr bǜrschte bóze.
WS18	Hètsche̊ kännt ! dänn wèrs anderscht cho ùnd e̊s sti'end besser ùmen.
WS19	Wèr hätt me̊r de chorb mi̇̀t fläisch gschtòle̊ ?
WS20	E̊r hät‿to wi̇̀ wänns e̊n zùm dròsche bstèllt hètted; si händs àber sälber gmacht.
WS21	I wèm häd e̊r di neu gschi̇̀cht verzèllt.
WS22	Me̊r mue̊ lút rüe̊fe, sóscht verstòd e̊r is ni̇̀d.
WS23	Me̊r si̇̀nd müed ùnd händ dùrscht.
WS24	"Wó me̊r gèste̊r z' òbig z rùgg {zunächst 'gèste̊r z rùgg', dann im Raum zwischen 'r' und 'z' oben ""z' òbig"" eingefügt} chṓ si̇̀nd, si̇̀nd di ánde̊re schó i̇̀m bètt gsii ùnd händ fescht {zunächst 'fest', dann ergänzt zu 'fescht'} gschlṑffe."
WS25	De̊ Schnee i̇̀sch di'e nacht bi ö̀is li̇̀gge bli̇̀be, àber hǜt am mòrge i̇̀sch e̊r gschmólze.
WS26	Hi̇̀nder öisem hús schḋönd  drü schööne Ö̀pfelbäumli mi̇̀t rote ö̀pfle.
WS27	"Chö̀ned e̊r ni̇̀d nò e̊n aͣ̈ugeblick òf ĭ̀s {sic! - dünne Markierung mit Bleistift, wohl dass ein Wort fehlt, z.B. ""warte""}, dänn chö̀med mer aͣ̈u mi̇̀t."
WS28	Ìr ddö̀rfed ni̇̀d sö̀ttige chinderè ͤie {zunächst war auf dem 2.'e' ein Akut, das aber dick mit dem Gravis überschrieben wurde} triibe {zunächst 'tribe', dann 2.'i' hinter 'i' eingefügt} .
WS29	Ö̀ise bèrg si̇̀nd ne̊d e̊ sṓ hōch, ö̀ié si̇̀nd hö́cher.
WS30	Wi̇̀vi̇̀ll pfùnd wǘrscht ùnd wi̇̀vi̇̀ll br[ó̄]t {unklar, ob mit dem Querstrich der Gravis durchgestrichen werden sollte} wänd e̊r.
WS31	I verstòni néd, e̊r müend e̊ chli lüte̊r rè̊de.
WS32	Händ e̊r kè Stǜckli wiisse Säupfe̊ {zunächst wohl mit 'Säuf' begonnen, dann 'f' mit 'p' überschrieben und als 'Säupfe̊' beendet} fǜr mé ùf e̊m ti̇̀sch gfùnde.
WS33	Sin brüe̊der wi̇̀ll fǜr si̇̀ch i̇̀m Garte zweui schö́ni hüser boue.
WS34	S wort i̇̀sch e̊m vòm hèrze ch[ō] {unsicher, ob Akut oder Querstrich}.
WS35	Da isch rächt vò n e̊ne̊ gsi !
WS36	Wa si̇̀zed d[ȯ] {unsicher, ob ein Punkt oder ein Akut auf 'o'} fǜr vö̀geli ùf e̊m mürli ?
WS37	Bbūre händ föif ochse und nǖn chüe̊ ùnd zwö̀lf schö̀fli vòrs dōrf bbrocht, di'e händ di wèlle verchaͣ̈ufe.
WS38	D' lüt si̇̀nd hǜt álli úf e̊m fäld ùsse ùnd maͣ̈ie̊d.
WS39	Gang nù, de̊ brú hùnd machder nüd.
WS40	I bi mi̇̀t de̊ Lü̆te dō hi̇̀nden über di'e Mátte is chòrn i'e gfaare.
