---
Bogennummer: '44783'
Ort: Brügg
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:51.041433'
...
WS1	Im Winter würble die düre Bletter i der Luft ume. 
WS2	Aes hört jetz de gly schneie, de besseret de ds'Wätter wieder. 
WS3	Leg öppis a (Howz oder Turbe, Chole verbrönnt me hie i mene settige Faw nid) dass d'Miwch gli chunnt. 
WS4	Dä guet awt Ma isch mit dem Ross uf em Ysch ybroche un ids chawt Wasser gfawe (gheit)
WS5	Aer isch vor vier oder sächs Wuche gstorbe. 
WS6	Ds Für isch z'schtarch gsi, der Chueche isch jo ungeruf ganz schwarz verbrönnt.
WS7	Aer isst d'Eier gäng ohni Sawz un Pfäffer. 
WS8	D'Füess tue mer schuderhaft weh, i gloube, i sig dürglüffe. 
WS9	I bi bi der Frou gsi u ha res gseit u si het gseit, si wews ihrer Tochter o säge. 
WS10	I wotts o nie meh mache!
WS11	I schloh der jetz de gly ds Cheweli um d'Ohre, du Aff!
WS12	Wo geisch (wosch) hi, söw i mer mit der cho?
WS13	Aes si schlächti Zyte. 
WS14	Mys liebe Ching, blyb do unger stoh, die böse Gens bysse di sünsch z'tod. 
WS15	Du hesch hüt am meischte glehrt, u bisch as liebs gsi, du darfsch früecher hei aws die angere. 
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztrinke, du muesch zersch no chly wachse u grösser wärde. 
WS17	Gang, bis so guet u säg dyr Schweschter, si söw d'Chleider für eui Mueter fertig näje u se suber bürschte. 
WS18	Hättisch du ne gchennt, de wäres angers usecho un es tät besser um ihn stoh. 
WS19	Wär het mir my Chorb samt em Fleisch gschtohle?
WS20	Aer het der glyche to, si heigine zum Drösce bschtewt, si heis aber säwber gmacht. 
WS21	Wäm het er di neui Gschicht erzewt?
WS22	Mi mues lut brüele, sünsch versteit er eim nid. 
WS23	Mir sy müed u hei Durscht. 
WS24	Wo mir nächti hei cho sy, sy die angere scho im Bett gsi u hei scho fescht gschlofe.
WS25	Dr Schnee isch bi üs über Nacht blybe lige, aber hüt am Morge isch er vergange. 
WS26	Hinger üsem Hus stöh drü schöni Opfubäumli mit rote Oepfeli.
WS27	Cheut dir  id no äs Augeblickli uf üs warte, mir chöme de mit ech.
WS28	Dir dörfit nid eso chingele. 
WS29	Ueser Bärge sy nid so grüsli höch, eui sy viw höcher. 
WS30	Wie mängs Pfung Wurscht u wie viw Brot weit der ha?
WS31	I verstoh nech nüt, dir müessit äs Bitzeli lüter rede. 
WS32	Heit der keis Bitzli wyssi Seife für mi uf mym Tisch gfunge?
WS33	Sy Brueder wott zweu neui, schöni Hüser i euem Garte lo boue. 
WS34	Das Wort isch ihm vo Härze cho. 
WS35	Das isch rächt gsi vo ne. 
WS36	Was hocke do für Vögeli uf em Mürli obe?
WS37	D'Bure hei feuf Stiere, u nün Chüe u zwöwf Schöfli vor ds Dorf brocht u se wewe verchoufe. 
WS38	D'Lüt sy hüt awi dusse uf em Fäwd u mäie. 
WS39	Gang nume, dä brun Hung tuet der nüt.
WS40	I bi mit de Lüte do hinger über d'Matte i ds Chorn gfahre. 
