---
Bogennummer: '44786'
Ort: Ipsach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: a65238f7-0190-42c6-88cc-613ac205893f
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.348888'
...
WS1	Jm Winter flüge die trochne Bletter i dr Luft ume. 
WS2	Es hört gly uf mit schneie, de wird z'Wätter wider besser. 
WS3	Tue Chole i Ofe, dass Milch gly afat choche. 
WS4	Dä guet alt Maa isch mit em Ross dürs Jsch broche u is chaute Wasser gheit. 
WS5	Aer isch vor vier oder sächs Wuche gschtorbe. 
WS6	Ds 'Füür isch schtarch gsy, dr Chuche isch unde ganz a'bränntet. 
WS7	Aer isst d'Eier gäng ohni Salz u Pfäffer. 
WS8	J by bi dr Frou gsy u ha'res gseit, u si het gseit, sy wölls ihrer Tochter o säge. 
WS9	D'Füess tüe mir unerchannt weh, i gloube, i hase düregloffe. 
WS10	J wotts o nümme mache. 
WS11	J schlo dr 'Suppechelle um dOhre, du Aff. 
WS12	Wo geisch du hi, sölle mr mitt dr cho. 
WS13	Aes sy schlächti Zyte.
WS14	Mys liebe Ching, blib hie unde stah, die böse Gäns bysse di z'tod. 
WS15	Du hesch hüt am meischte glert u bisch artig gsy, du dafsch früecher hei als die angere. 
WS16	Du bisch no nid gross gnue um e Fläsche Wy usztrinke, du muesch zersch no wachse und grösser wärde. 
WS17	Bis so guet u gang säg dir Schwöschter, sy söl d'Kleider für eui Mueter fertig mache u mit dr Bürste putze. 
WS18	Hättisch du ne kennt, de wärs angersch scho u es tät besser um in stah. 
WS19	Wär het mir my Chorb mit Fleisch gstole. 
WS20	Aer het ta, als hätte sy ne zum Trösche bstellt, sy heis aber sälber gmacht. 
WS21	Wäm het'rdy neui Gschicht erzelt?
WS22	My muess lut rede, süsch versteit är is nit.
WS23	Myr sy müed u hei Durscht. 
WS24	Wo mer geschtr am Abe sy zrügg cho, sy di angere scho im Bett gläge u hei gschlafe. 
WS25	Dy Nacht het dr Schnee aghäicht gha, aber dä Morge ischer vergange. 
WS26	Hinder üsem Huus stöh drü schöni Oepfuböimli mit rote Oepfeli. 
WS27	Cheut dr nit no nes Augeblickli uf is warte, de chö me mr mitnech. 
WS28	Jhr dörfet nit settegi Chindereie trybe. 
WS29	Uesy Bärge sy nit grad höch, euer sy viel höcher. 
WS30	Wie mängs Pfung Wurscht u wie viel Brot müesst dr ha. 
WS31	J verstah nach nid, dir müesst es Bitzeli lüter rede. 
WS32	Heit dir keis wysses Stück Seife uf mym Tisch gfunge. 
WS33	Sy Brueder wott zwöi schöni, neui Hüser i euem Garte boue. 
WS34	Das Wort isch im vo Härze cho. 
WS35	Das isch rächt vo n ech. 
WS36	Was sitze da für Vögeli uf em Mürli obe. 
WS37	D'Pure hei föif Ochse u nün Chüe u zwöuf Schöfli vor s Dorf bracht wo sy hei wölle verchoufe. 
WS38	DLüt sy hüt alle ufsFäld usse u mäie. 
WS39	Gang nume, dä brun Hung machtr nüt. 
WS40	J bi mit dene Lüt dahinde über Matte ids Chorn gfahre. 
